var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
2109	Antipina_a11	3.0	155.0	Alnus incana	Alnus glutinosa-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	545.0	0.5504587155963303
2105	Antipina_a11	32.0	127.0	Betula nana-type	Betula nana-type	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	545.0	5.871559633027523
1240	Antipina_a11	88.0	128.0	Betula alba-type	Betula pubescens-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	545.0	16.14678899082569
130	Antipina_a11	17.0	130.0	Ericaceae	Ericales (tetrad)	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	545.0	3.1192660550458715
126	Antipina_a11	18.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	545.0	3.302752293577982
1361	Antipina_a11	13.0	124.0	Pinus sibirica	Pinus cembra-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	545.0	2.385321100917431
788	Antipina_a11	345.0	125.0	Pinus sylvestris	Pinus sylvestris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	545.0	63.30275229357798
99	Antipina_a11	1.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	545.0	0.1834862385321101
7	Antipina_a11	7.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	545.0	1.2844036697247707
33	Antipina_a11	6.0	33.0	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	545.0	1.1009174311926606
724	Antipina_a11	1.0	270.0	Plantago	Plantago	HERB	Herbs	HERB	True	True	Herbs	5	545.0	0.1834862385321101
80	Antipina_a11	6.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	545.0	1.1009174311926606
147	Antipina_a11	6.0	147.0	Bryales	Bryophyte spores	BRYO	Bryophytes	VACR	True	True	Ferns	6	545.0	1.1009174311926606
146	Antipina_a11	2.0	146.0	Polypodiaceae	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	545.0	0.3669724770642202
2116	Antipina_a11	1.0	2116.0	Centropyxis	Centropyxis	ALGA	Algae	AQUA	False	True	Aquatics	7	545.0	0.1834862385321101
660	Antipina_a11	2.0	308.0	Arcella	Arcella	RHIZ	Rhizopods	NOPO	False	False	Nonpollen	30	545.0	
687	Antipina_a11	3.0	687.0	Assulina	Assulina	RHIZ	Rhizopods	NOPO	False	False	Nonpollen	30	545.0	
144	Antipina_a11	175.0	144.0	Sphagnum	Sphagnum	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	545.0	
