var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
560	Atanassova_e11	12.0	321.0	Abies	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	973.0	1.2332990750256936
5	Atanassova_e11	12.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	973.0	1.2332990750256936
12	Atanassova_e11	44.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	973.0	4.522096608427543
563	Atanassova_e11	48.0	16.0	Carpinus betulus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	973.0	4.933196300102774
201	Atanassova_e11	70.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	973.0	7.194244604316546
192	Atanassova_e11	116.0	42.0	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	973.0	11.921891058581705
57	Atanassova_e11	6.0	57.0	Juglans	Juglans	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	973.0	0.6166495375128468
126	Atanassova_e11	220.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	973.0	22.61048304213772
75	Atanassova_e11	226.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	973.0	23.227132579650565
189	Atanassova_e11	62.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	973.0	6.3720452209660845
122	Atanassova_e11	14.0	122.0	Vitis	Vitis	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	973.0	1.4388489208633095
6	Atanassova_e11	1.0	6.0	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	973.0	0.10277492291880781
7	Atanassova_e11	4.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	973.0	0.41109969167523125
1032	Atanassova_e11	10.0	25.0	Asteraceae (Liguliflorae)	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	973.0	1.027749229188078
13	Atanassova_e11	1.0	13.0	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	973.0	0.10277492291880781
600	Atanassova_e11	8.0	29.0	Centaurea jacea type	Centaurea nigra-type	HERB	Herbs	HERB	True	True	Herbs	5	973.0	0.8221993833504625
24	Atanassova_e11	32.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	973.0	3.28879753340185
650	Atanassova_e11	11.0	649.0	Geum type	Geum-type	HERB	Herbs	HERB	True	True	Herbs	5	973.0	1.1305241521068858
3	Atanassova_e11	1.0	3.0	Achillea type	Matricaria-type	HERB	Herbs	HERB	True	True	Herbs	5	973.0	0.10277492291880781
80	Atanassova_e11	46.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	973.0	4.72764645426516
725	Atanassova_e11	16.0	262.0	Polygonum aviculare	Polygonum aviculare-type	HERB	Herbs	HERB	True	True	Herbs	5	973.0	1.644398766700925
699	Atanassova_e11	6.0	512.0	Potentilla type	Potentilla-type	HERB	Herbs	HERB	True	True	Herbs	5	973.0	0.6166495375128468
135	Atanassova_e11	1.0	135.0	Ranunculaceae	Ranunculaceae	HERB	Herbs	HERB	True	True	Herbs	5	973.0	0.10277492291880781
1041	Atanassova_e11	3.0	1041.0	Scleranthus	Scleranthus	HERB	Herbs	HERB	True	True	Herbs	5	973.0	0.3083247687564234
653	Atanassova_e11	3.0	653.0	Verbascum	Verbascum	HERB	Herbs	HERB	True	True	Herbs	5	973.0	0.3083247687564234
1043	Atanassova_e11	1.0	177.0	Unidentified	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	973.0	
