var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
3671	Bakker_a8	20.0	3044.0	Juniperus excelsa/J. oxycedrus		TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	328.0	6.097560975609756
12	Bakker_a8	2.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	328.0	0.6097560975609756
3247	Bakker_a8	24.0	340.0	Cedrus libani	Cedrus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	328.0	7.317073170731707
75	Bakker_a8	118.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	328.0	35.97560975609756
4024	Bakker_a8	94.0	85.0	Quercus coccifera	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	328.0	28.65853658536585
3796	Bakker_a8	2.0	3049.0	Myricaria		HERB	Herbs	HERB	True	True	Herbs	5	328.0	0.6097560975609756
4109	Bakker_a8	4.0	3049.0	Rumex acetosa-type/R. acetosella-type		HERB	Herbs	HERB	True	True	Herbs	5	328.0	1.2195121951219512
6	Bakker_a8	2.0	6.0	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	328.0	0.6097560975609756
3134	Bakker_a8	2.0	7.0	Artemisia herba-alba-type	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	328.0	0.6097560975609756
447	Bakker_a8	14.0	25.0	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	328.0	4.2682926829268295
13	Bakker_a8	16.0	13.0	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	328.0	4.878048780487805
18	Bakker_a8	6.0	18.0	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	Herbs	HERB	True	True	Herbs	5	328.0	1.8292682926829267
22	Bakker_a8	2.0	22.0	Cerealia	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	328.0	0.6097560975609756
24	Bakker_a8	10.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	328.0	3.048780487804878
547	Bakker_a8	2.0	547.0	Epilobium	Epilobium	HERB	Herbs	HERB	True	True	Herbs	5	328.0	0.6097560975609756
52	Bakker_a8	2.0	52.0	Helianthemum	Helianthemum	HERB	Herbs	HERB	True	True	Herbs	5	328.0	0.6097560975609756
59	Bakker_a8	2.0	59.0	Lamiaceae	Lamiaceae	HERB	Herbs	HERB	True	True	Herbs	5	328.0	0.6097560975609756
725	Bakker_a8	2.0	262.0	Polygonum aviculare	Polygonum aviculare-type	HERB	Herbs	HERB	True	True	Herbs	5	328.0	0.6097560975609756
1869	Bakker_a8	4.0	1869.0	Solanum	Solanum	HERB	Herbs	HERB	True	True	Herbs	5	328.0	1.2195121951219512
969	Bakker_a8	36.0	177.0	Unknown	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	328.0	
