var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
3044	Bakker_b18	2.0	3044.0	Abies cilicica		TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1283.0	0.1558846453624318
3553	Bakker_b18	2.0	3044.0	Fontanesia/Phillyrea		TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1283.0	0.1558846453624318
5	Bakker_b18	2.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1283.0	0.1558846453624318
3247	Bakker_b18	13.0	340.0	Cedrus libani	Cedrus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1283.0	1.0132501948558068
201	Bakker_b18	1.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1283.0	0.0779423226812159
34	Bakker_b18	83.0	34.0	Daphne	Daphne	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	1283.0	6.46921278254092
46	Bakker_b18	1.0	46.0	Fraxinus angustifolia	Fraxinus angustifolia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1283.0	0.0779423226812159
44	Bakker_b18	7.0	44.0	Fraxinus ornus	Fraxinus ornus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1283.0	0.5455962587685114
1148	Bakker_b18	6.0	194.0	Juglans regia	Juglans regia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1283.0	0.46765393608729544
58	Bakker_b18	7.0	58.0	Juniperus	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1283.0	0.5455962587685114
68	Bakker_b18	12.0	68.0	Olea europaea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1283.0	0.9353078721745909
572	Bakker_b18	4.0	70.0	Ostrya-type	Ostrya/Carpinus orientalis	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1283.0	0.3117692907248636
75	Bakker_b18	832.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1283.0	64.84801247077164
199	Bakker_b18	6.0	78.0	Platanus orientalis	Platanus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1283.0	0.46765393608729544
1051	Bakker_b18	7.0	84.0	Quercus cerris-type	Quercus cerris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1283.0	0.5455962587685114
4025	Bakker_b18	84.0	85.0	Quercus coccifera-type	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1283.0	6.547155105222135
1414	Bakker_b18	2.0	632.0	Rosa-type	Rosa	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1283.0	0.1558846453624318
99	Bakker_b18	4.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1283.0	0.3117692907248636
4376	Bakker_b18	1.0	3384.0	Vitis vinifera		LIAN	Liana	LIAN	True	True	Lianas	3	1283.0	0.0779423226812159
3357	Bakker_b18	35.0	3049.0	Chenopodiaceae undifferentiated		HERB	Herbs	HERB	True	True	Herbs	5	1283.0	2.7279812938425563
4187	Bakker_b18	2.0	3049.0	Scrophularia/Verbascum-type		HERB	Herbs	HERB	True	True	Herbs	5	1283.0	0.1558846453624318
2139	Bakker_b18	1.0	2139.0	Androsace	Androsace	HERB	Herbs	HERB	True	True	Herbs	5	1283.0	0.0779423226812159
2554	Bakker_b18	2.0	6.0	Bupleurum-type	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	1283.0	0.1558846453624318
3460	Bakker_b18	2.0	6.0	Daucus-type	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	1283.0	0.1558846453624318
3048	Bakker_b18	1.0	992.0	Acantholimon	Armeria-type	HERB	Herbs	HERB	True	True	Herbs	5	1283.0	0.0779423226812159
3134	Bakker_b18	35.0	7.0	Artemisia herba-alba-type	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	1283.0	2.7279812938425563
741	Bakker_b18	5.0	25.0	Lactuceae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	1283.0	0.3897116134060795
3168	Bakker_b18	4.0	1058.0	Ballota	Ballota-type	HERB	Herbs	HERB	True	True	Herbs	5	1283.0	0.3117692907248636
1649	Bakker_b18	14.0	13.0	Brassica	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	1283.0	1.0911925175370227
3226	Bakker_b18	6.0	13.0	Capsella-type	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	1283.0	0.46765393608729544
3207	Bakker_b18	1.0	1740.0	Calendula	Calendula	HERB	Herbs	HERB	True	True	Herbs	5	1283.0	0.0779423226812159
1381	Bakker_b18	5.0	1381.0	Carduus-type	Carduus-type	HERB	Herbs	HERB	True	True	Herbs	5	1283.0	0.3897116134060795
3252	Bakker_b18	2.0	29.0	Centaurea solstitialis-type	Centaurea nigra-type	HERB	Herbs	HERB	True	True	Herbs	5	1283.0	0.1558846453624318
