var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
3083	Barboni_a938	2.0	3044.0	Alnus-type		TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	398.0	0.5025125628140703
3558	Barboni_a938	4.0	46.0	Fraxinus angustifolia-type	Fraxinus angustifolia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	398.0	1.0050251256281406
738	Barboni_a938	9.0	203.0	Juniperus-type	Juniperus-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	398.0	2.261306532663317
3816	Barboni_a938	26.0	68.0	Olea-type	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	398.0	6.532663316582915
3905	Barboni_a938	202.0	125.0	Pinus-type	Pinus sylvestris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	398.0	50.753768844221106
1052	Barboni_a938	23.0	85.0	Quercus ilex-type	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	398.0	5.778894472361809
3197	Barboni_a938	3.0	3049.0	Brassicaceae undifferentiated		HERB	Herbs	HERB	True	True	Herbs	5	398.0	0.7537688442211055
3357	Barboni_a938	52.0	3049.0	Chenopodiaceae undifferentiated		HERB	Herbs	HERB	True	True	Herbs	5	398.0	13.06532663316583
3598	Barboni_a938	63.0	3049.0	Gramineae undifferentiated		HERB	Herbs	HERB	True	True	Herbs	5	398.0	15.829145728643216
3136	Barboni_a938	9.0	7.0	Artemisia-type	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	398.0	2.261306532663317
1337	Barboni_a938	2.0	25.0	Asteraceae Liguliflorae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	398.0	0.5025125628140703
589	Barboni_a938	1.0	3.0	Anthemis-type	Matricaria-type	HERB	Herbs	HERB	True	True	Herbs	5	398.0	0.25125628140703515
2808	Barboni_a938	2.0	30.0	Plantago coronopus-type	Plantago coronopus-type	HERB	Herbs	HERB	True	True	Herbs	5	398.0	0.5025125628140703
3448	Barboni_a938	2.0	3075.0	Cyperaceae undifferentiated		AQUA	Aquatics	AQUA	False	True	Aquatics	7	398.0	0.5025125628140703
1974	Barboni_a938	20.0	405.0	Ruppia	Ruppia	AQUA	Aquatics	AQUA	False	True	Aquatics	7	398.0	5.025125628140704
