var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
37	Colombaroli_a19	1.0	37.0	Ephedra dystachia type	Ephedra distachya-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	901.0	0.11098779134295228
39	Colombaroli_a19	3.0	39.0	Eucalyptus	Eucalyptus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	901.0	0.3329633740288568
47	Colombaroli_a19	2.0	47.0	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	901.0	0.22197558268590456
44	Colombaroli_a19	8.0	44.0	Fraxinus ornus	Fraxinus ornus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	901.0	0.8879023307436182
51	Colombaroli_a19	1.0	51.0	Hedera helix	Hedera	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	901.0	0.11098779134295228
57	Colombaroli_a19	1.0	57.0	Juglans	Juglans	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	901.0	0.11098779134295228
58	Colombaroli_a19	40.0	58.0	Juniperus	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	901.0	4.439511653718091
68	Colombaroli_a19	24.0	68.0	Olea europaea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	901.0	2.6637069922308543
70	Colombaroli_a19	1.0	70.0	Ostrya carpinifolia	Ostrya/Carpinus orientalis	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	901.0	0.11098779134295228
75	Colombaroli_a19	266.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	901.0	29.52275249722531
77	Colombaroli_a19	1.0	77.0	Pistacia	Pistacia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	901.0	0.11098779134295228
81	Colombaroli_a19	1.0	81.0	Populus	Populus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	901.0	0.11098779134295228
84	Colombaroli_a19	13.0	84.0	Quercus cerris/suber	Quercus cerris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	901.0	1.4428412874583796
85	Colombaroli_a19	221.0	85.0	Quercus ilex/coccifera	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	901.0	24.528301886792452
86	Colombaroli_a19	263.0	86.0	Quercus pubescens/petraea	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	901.0	29.189789123196448
1	Colombaroli_a19	1.0	1.0	Acanthus	Acanthus	HERB	Herbs	HERB	True	True	Herbs	5	901.0	0.11098779134295228
4	Colombaroli_a19	2.0	4.0	Allium	Allium ursinum-type	HERB	Herbs	HERB	True	True	Herbs	5	901.0	0.22197558268590456
7	Colombaroli_a19	4.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	901.0	0.4439511653718091
11	Colombaroli_a19	1.0	11.0	Aster type	Aster-type	HERB	Herbs	HERB	True	True	Herbs	5	901.0	0.11098779134295228
25	Colombaroli_a19	2.0	25.0	Cichorioidae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	901.0	0.22197558268590456
10	Colombaroli_a19	1.0	10.0	Astragalus	Astragalus-type	HERB	Herbs	HERB	True	True	Herbs	5	901.0	0.11098779134295228
13	Colombaroli_a19	2.0	13.0	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	901.0	0.22197558268590456
22	Colombaroli_a19	3.0	22.0	Cerealia	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	901.0	0.3329633740288568
104	Colombaroli_a19	2.0	22.0	Secale	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	901.0	0.22197558268590456
24	Colombaroli_a19	5.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	901.0	0.5549389567147613
33	Colombaroli_a19	4.0	33.0	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	901.0	0.4439511653718091
43	Colombaroli_a19	1.0	43.0	Falcaria	Falcaria-type	HERB	Herbs	HERB	True	True	Herbs	5	901.0	0.11098779134295228
71	Colombaroli_a19	1.0	71.0	Papaver	Papaver	HERB	Herbs	HERB	True	True	Herbs	5	901.0	0.11098779134295228
60	Colombaroli_a19	1.0	60.0	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	901.0	0.11098779134295228
79	Colombaroli_a19	1.0	79.0	Plantago major	Plantago major	HERB	Herbs	HERB	True	True	Herbs	5	901.0	0.11098779134295228
80	Colombaroli_a19	24.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	901.0	2.6637069922308543
