var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
3046	Connor_a26	2.0	321.0	Abies nordmanniana	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	482.0	0.4149377593360996
2	Connor_a26	2.0	2.0	Acer	Acer campestre-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	482.0	0.4149377593360996
155	Connor_a26	4.0	155.0	Alnus glutinosa-type	Alnus glutinosa-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	482.0	0.8298755186721992
563	Connor_a26	4.0	16.0	Carpinus betulus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	482.0	0.8298755186721992
19	Connor_a26	1.0	19.0	Castanea sativa	Castanea sativa	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	482.0	0.2074688796680498
1329	Connor_a26	2.0	1329.0	Cornus mas	Cornus mas	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	482.0	0.4149377593360996
192	Connor_a26	3.0	42.0	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	482.0	0.6224066390041494
826	Connor_a26	2.0	479.0	Hippophae rhamnoides	Hippophae rhamnoides	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	482.0	0.4149377593360996
1148	Connor_a26	3.0	194.0	Juglans regia	Juglans regia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	482.0	0.6224066390041494
58	Connor_a26	7.0	58.0	Juniperus	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	482.0	1.4522821576763485
61	Connor_a26	2.0	61.0	Ligustrum	Ligustrum	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	482.0	0.4149377593360996
572	Connor_a26	4.0	70.0	Ostrya-type	Ostrya/Carpinus orientalis	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	482.0	0.8298755186721992
3888	Connor_a26	8.0	3888.0	Picea orientalis	Picea omorika-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	482.0	1.6597510373443984
75	Connor_a26	76.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	482.0	15.767634854771783
81	Connor_a26	5.0	81.0	Populus	Populus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	482.0	1.0373443983402488
4007	Connor_a26	1.0	191.0	Pterocarya fraxinifolia	Pterocarya	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	482.0	0.2074688796680498
437	Connor_a26	7.0	86.0	Quercus deciduous	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	482.0	1.4522821576763485
120	Connor_a26	1.0	120.0	Viburnum	Viburnum	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	482.0	0.2074688796680498
4375	Connor_a26	1.0	3384.0	Vitis		LIAN	Liana	LIAN	True	True	Lianas	3	482.0	0.2074688796680498
3197	Connor_a26	2.0	3049.0	Brassicaceae undifferentiated		HERB	Herbs	HERB	True	True	Herbs	5	482.0	0.4149377593360996
3244	Connor_a26	9.0	3049.0	Caryophyllaceae undifferentiated		HERB	Herbs	HERB	True	True	Herbs	5	482.0	1.8672199170124482
3687	Connor_a26	2.0	3049.0	Lamiaceae undifferentiated		HERB	Herbs	HERB	True	True	Herbs	5	482.0	0.4149377593360996
2962	Connor_a26	2.0	6.0	Apiaceae undifferentiated	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	482.0	0.4149377593360996
7	Connor_a26	23.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	482.0	4.771784232365145
1342	Connor_a26	3.0	29.0	Centaurea nigra-type	Centaurea nigra-type	HERB	Herbs	HERB	True	True	Herbs	5	482.0	0.6224066390041494
24	Connor_a26	136.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	482.0	28.21576763485477
1243	Connor_a26	3.0	603.0	Cirsium-type	Cirsium	HERB	Herbs	HERB	True	True	Herbs	5	482.0	0.6224066390041494
1242	Connor_a26	14.0	1242.0	Cichorium-type	Crepis-type	HERB	Herbs	HERB	True	True	Herbs	5	482.0	2.904564315352697
498	Connor_a26	1.0	498.0	Geranium	Geranium	HERB	Herbs	HERB	True	True	Herbs	5	482.0	0.2074688796680498
62	Connor_a26	4.0	62.0	Liliaceae	Liliaceae-type	HERB	Herbs	HERB	True	True	Herbs	5	482.0	0.8298755186721992
589	Connor_a26	3.0	3.0	Anthemis-type	Matricaria-type	HERB	Herbs	HERB	True	True	Herbs	5	482.0	0.6224066390041494
71	Connor_a26	1.0	71.0	Papaver	Papaver	HERB	Herbs	HERB	True	True	Herbs	5	482.0	0.2074688796680498
1075	Connor_a26	5.0	60.0	Plantago lanceolata-type	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	482.0	1.0373443983402488
2767	Connor_a26	3.0	64.0	Plantago maritima-type	Plantago maritima-type	HERB	Herbs	HERB	True	True	Herbs	5	482.0	0.6224066390041494
80	Connor_a26	73.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	482.0	15.145228215767634
1078	Connor_a26	3.0	262.0	Polygonum aviculare-type	Polygonum aviculare-type	HERB	Herbs	HERB	True	True	Herbs	5	482.0	0.6224066390041494
630	Connor_a26	1.0	87.0	Ranunculus acris-type	Ranunculus acris-type	HERB	Herbs	HERB	True	True	Herbs	5	482.0	0.2074688796680498
2432	Connor_a26	8.0	274.0	Ranunculus-type	Ranunculus-type	HERB	Herbs	HERB	True	True	Herbs	5	482.0	1.6597510373443984
3571	Connor_a26	5.0	3140.0	Galium-type	Rubiaceae	HERB	Herbs	HERB	True	True	Herbs	5	482.0	1.0373443983402488
1398	Connor_a26	1.0	96.0	Rumex acetosella-type	Rumex acetosella	HERB	Herbs	HERB	True	True	Herbs	5	482.0	0.2074688796680498
112	Connor_a26	4.0	112.0	Thalictrum	Thalictrum	HERB	Herbs	HERB	True	True	Herbs	5	482.0	0.8298755186721992
1233	Connor_a26	5.0	1199.0	Triticum-type	Triticum-type	HERB	Herbs	HERB	True	True	Herbs	5	482.0	1.0373443983402488
3190	Connor_a26	1.0	1703.0	Botrychium lunaria	Botrychium lunaria-type	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	482.0	0.2074688796680498
145	Connor_a26	9.0	145.0	Equisetum	Equisetum	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	482.0	1.8672199170124482
3778	Connor_a26	26.0	146.0	Monolete fern spores	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	482.0	5.394190871369295
3443	Connor_a26	303.0	3075.0	Cyperaceae		AQUA	Aquatics	AQUA	False	True	Aquatics	7	482.0	62.863070539419084
3797	Connor_a26	1.0	376.0	Myriophyllum spicatum-type	Myriophyllum spicatum	AQUA	Aquatics	AQUA	False	True	Aquatics	7	482.0	0.2074688796680498
1719	Connor_a26	4.0	1506.0	Polygonum amphibium	Persicaria amphibia	AQUA	Aquatics	AQUA	False	True	Aquatics	7	482.0	0.8298755186721992
1086	Connor_a26	5.0	176.0	Sparganium-type	Sparganium-type	AQUA	Aquatics	AQUA	False	True	Aquatics	7	482.0	1.0373443983402488
734	Connor_a26	22.0	734.0	Typha-type	Typha/Sparganium	AQUA	Aquatics	AQUA	False	True	Aquatics	7	482.0	4.564315352697095
3535	Connor_a26	1.0	3063.0	Fabaceae undifferentiated		INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	482.0	
718	Connor_a26	34.0	718.0	Indeterminable: degraded	Indeterminable: degraded	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	482.0	
