var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
3508	Connor_b10	14.0	3044.0	Erica cinerea-type		TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	734.0	1.9073569482288828
3509	Connor_b10	3.0	3044.0	Erica erigena-type		TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	734.0	0.4087193460490463
3503	Connor_b10	16.0	3096.0	Erica arborea-type		DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	734.0	2.17983651226158
155	Connor_b10	1.0	155.0	Alnus glutinosa-type	Alnus glutinosa-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	734.0	0.13623978201634876
12	Connor_b10	1.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	734.0	0.13623978201634876
3213	Connor_b10	16.0	3212.0	Calluna vulgaris	Calluna vulgaris	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	734.0	2.17983651226158
190	Connor_b10	1.0	190.0	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	734.0	0.13623978201634876
2540	Connor_b10	1.0	49.0	Ulex-type	Genista-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	734.0	0.13623978201634876
58	Connor_b10	98.0	58.0	Juniperus	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	734.0	13.35149863760218
68	Connor_b10	16.0	68.0	Olea europaea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	734.0	2.17983651226158
74	Connor_b10	2.0	74.0	Phillyrea	Phillyrea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	734.0	0.2724795640326975
75	Connor_b10	222.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	734.0	30.24523160762943
77	Connor_b10	3.0	77.0	Pistacia	Pistacia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	734.0	0.4087193460490463
2799	Connor_b10	30.0	84.0	Quercus suber-type	Quercus cerris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	734.0	4.087193460490464
4025	Connor_b10	9.0	85.0	Quercus coccifera-type	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	734.0	1.226158038147139
437	Connor_b10	7.0	86.0	Quercus deciduous	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	734.0	0.9536784741144414
3208	Connor_b10	4.0	3049.0	Calendula-type		HERB	Herbs	HERB	True	True	Herbs	5	734.0	0.544959128065395
3413	Connor_b10	60.0	3049.0	Corema album-type		HERB	Herbs	HERB	True	True	Herbs	5	734.0	8.174386920980927
3062	Connor_b10	3.0	2275.0	Adonis aestivalis-type	Adonis aestivalis-type	HERB	Herbs	HERB	True	True	Herbs	5	734.0	0.4087193460490463
7	Connor_b10	9.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	734.0	1.226158038147139
597	Connor_b10	9.0	11.0	Aster-type	Aster-type	HERB	Herbs	HERB	True	True	Herbs	5	734.0	1.226158038147139
447	Connor_b10	5.0	25.0	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	734.0	0.6811989100817438
13	Connor_b10	2.0	13.0	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	734.0	0.2724795640326975
3240	Connor_b10	10.0	3240.0	Carpobrotus	Carpobrotus	HERB	Herbs	HERB	True	True	Herbs	5	734.0	1.3623978201634876
947	Connor_b10	2.0	21.0	Cerastium-type	Cerastium-type	HERB	Herbs	HERB	True	True	Herbs	5	734.0	0.2724795640326975
24	Connor_b10	5.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	734.0	0.6811989100817438
3609	Connor_b10	2.0	3609.0	Halimium/Tuberaria	Halimium/Tuberaria	HERB	Herbs	HERB	True	True	Herbs	5	734.0	0.2724795640326975
1220	Connor_b10	1.0	829.0	Hypericum perforatum-type	Hypericum perforatum-type	HERB	Herbs	HERB	True	True	Herbs	5	734.0	0.13623978201634876
589	Connor_b10	3.0	3.0	Anthemis-type	Matricaria-type	HERB	Herbs	HERB	True	True	Herbs	5	734.0	0.4087193460490463
1073	Connor_b10	1.0	65.0	Mentha-type	Mentha-type	HERB	Herbs	HERB	True	True	Herbs	5	734.0	0.13623978201634876
1075	Connor_b10	1.0	60.0	Plantago lanceolata-type	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	734.0	0.13623978201634876
80	Connor_b10	74.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	734.0	10.08174386920981
1398	Connor_b10	95.0	96.0	Rumex acetosella-type	Rumex acetosella	HERB	Herbs	HERB	True	True	Herbs	5	734.0	12.942779291553133
105	Connor_b10	7.0	105.0	Sedum	Sedum-type	HERB	Herbs	HERB	True	True	Herbs	5	734.0	0.9536784741144414
1231	Connor_b10	1.0	1231.0	Silene vulgaris-type	Silene vulgaris-type	HERB	Herbs	HERB	True	True	Herbs	5	734.0	0.13623978201634876
3443	Connor_b10	1.0	3075.0	Cyperaceae		AQUA	Aquatics	AQUA	False	True	Aquatics	7	734.0	0.13623978201634876
718	Connor_b10	25.0	718.0	Indeterminable: degraded	Indeterminable: degraded	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	734.0	
4213	Connor_b10	2.0	3088.0	Sordaria-type		NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	734.0	
677	Connor_b10	15.0	557.0	Sporormiella	Sporormiella-type	FUNG	Fungi	NOPO	False	False	Nonpollen	30	734.0	
