var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
5	Desprat_a2	3.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	307.0	0.9771986970684038
12	Desprat_a2	1.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	307.0	0.32573289902280134
201	Desprat_a2	2.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	307.0	0.6514657980456027
1910	Desprat_a2	2.0	36.0	Ephedra fragilis  type	Ephedra fragilis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	307.0	0.6514657980456027
130	Desprat_a2	1.0	130.0	Ericaceae	Ericales (tetrad)	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	307.0	0.32573289902280134
509	Desprat_a2	28.0	509.0	Myrtus	Myrtus communis	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	307.0	9.120521172638437
442	Desprat_a2	17.0	68.0	Olea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	307.0	5.537459283387622
75	Desprat_a2	8.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	307.0	2.6058631921824107
77	Desprat_a2	25.0	77.0	Pistacia	Pistacia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	307.0	8.143322475570033
1908	Desprat_a2	1.0	85.0	Quercus evergreen  type	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	307.0	0.32573289902280134
1906	Desprat_a2	2.0	86.0	Quercus deciduous  type	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	307.0	0.6514657980456027
1909	Desprat_a2	1.0	89.0	Rhamnus  type	Rhamnus-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	307.0	0.32573289902280134
6	Desprat_a2	2.0	6.0	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	307.0	0.6514657980456027
9	Desprat_a2	5.0	9.0	Asphodelus	Asphodelus	HERB	Herbs	HERB	True	True	Herbs	5	307.0	1.6286644951140066
1912	Desprat_a2	19.0	11.0	Aster  type	Aster-type	HERB	Herbs	HERB	True	True	Herbs	5	307.0	6.188925081433225
13	Desprat_a2	10.0	13.0	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	307.0	3.257328990228013
18	Desprat_a2	1.0	18.0	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	Herbs	HERB	True	True	Herbs	5	307.0	0.32573289902280134
1914	Desprat_a2	14.0	29.0	Centaurea nigra  type	Centaurea nigra-type	HERB	Herbs	HERB	True	True	Herbs	5	307.0	4.5602605863192185
24	Desprat_a2	17.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	307.0	5.537459283387622
1871	Desprat_a2	65.0	1242.0	Taraxacum	Crepis-type	HERB	Herbs	HERB	True	True	Herbs	5	307.0	21.172638436482085
1911	Desprat_a2	9.0	3.0	Anthemis  type	Matricaria-type	HERB	Herbs	HERB	True	True	Herbs	5	307.0	2.9315960912052117
1915	Desprat_a2	3.0	227.0	Mercurialis  type	Mercurialis	HERB	Herbs	HERB	True	True	Herbs	5	307.0	0.9771986970684038
724	Desprat_a2	3.0	270.0	Plantago	Plantago	HERB	Herbs	HERB	True	True	Herbs	5	307.0	0.9771986970684038
80	Desprat_a2	66.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	307.0	21.49837133550489
102	Desprat_a2	2.0	102.0	Scabiosa	Scabiosa	HERB	Herbs	HERB	True	True	Herbs	5	307.0	0.6514657980456027
1922	Desprat_a2	4.0	998.0	Xbroken	Indeterminable: broken	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	307.0	
1924	Desprat_a2	2.0	1324.0	Xcorroded	Indeterminable: corroded	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	307.0	
1923	Desprat_a2	1.0	1923.0	Xhidden	Indeterminable: hidden	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	307.0	
971	Desprat_a2	178.0	881.0	Exotic	Exotics (counted)	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	307.0	
