var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
5	EPDcoretop_E221	346.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2706.0	12.78640059127864
12	EPDcoretop_E221	932.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2706.0	34.4419807834442
3213	EPDcoretop_E221	143.0	3212.0	Calluna vulgaris	Calluna vulgaris	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	2706.0	5.284552845528456
563	EPDcoretop_E221	25.0	16.0	Carpinus betulus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2706.0	0.9238728750923874
31	EPDcoretop_E221	88.0	31.0	Corylus avellana	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2706.0	3.2520325203252036
130	EPDcoretop_E221	1.0	130.0	Ericaceae	Ericales (tetrad)	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	2706.0	0.03695491500369549
42	EPDcoretop_E221	159.0	42.0	Fagus sylvatica	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2706.0	5.875831485587583
567	EPDcoretop_E221	4.0	468.0	Frangula alnus	Frangula alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2706.0	0.14781966001478197
47	EPDcoretop_E221	2.0	47.0	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2706.0	0.07390983000739099
941	EPDcoretop_E221	59.0	58.0	Juniperus communis	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2706.0	2.1803399852180343
2607	EPDcoretop_E221	8.0	977.0	Myrica gale	Myrica	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2706.0	0.29563932002956395
783	EPDcoretop_E221	14.0	783.0	Picea abies	Picea abies-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2706.0	0.5173688100517368
788	EPDcoretop_E221	294.0	125.0	Pinus sylvestris	Pinus sylvestris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2706.0	10.864745011086473
3977	EPDcoretop_E221	3.0	3977.0	Populus tremula	Populus tremula-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2706.0	0.11086474501108648
189	EPDcoretop_E221	231.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2706.0	8.536585365853659
141	EPDcoretop_E221	1.0	141.0	Rubus	Rubus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2706.0	0.03695491500369549
99	EPDcoretop_E221	11.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2706.0	0.40650406504065045
1406	EPDcoretop_E221	11.0	153.0	Tilia cordata	Tilia cordata-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2706.0	0.40650406504065045
154	EPDcoretop_E221	5.0	154.0	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2706.0	0.18477457501847747
7	EPDcoretop_E221	17.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	2706.0	0.6282335550628234
597	EPDcoretop_E221	2.0	11.0	Aster-type	Aster-type	HERB	Herbs	HERB	True	True	Herbs	5	2706.0	0.07390983000739099
482	EPDcoretop_E221	6.0	13.0	Cruciferae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	2706.0	0.22172949002217296
764	EPDcoretop_E221	1.0	764.0	Cannabis	Cannabis sativa	HERB	Herbs	HERB	True	True	Herbs	5	2706.0	0.03695491500369549
24	EPDcoretop_E221	3.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	2706.0	0.11086474501108648
1248	EPDcoretop_E221	1.0	1248.0	Fagopyrum	Fagopyrum	HERB	Herbs	HERB	True	True	Herbs	5	2706.0	0.03695491500369549
949	EPDcoretop_E221	2.0	258.0	Hordeum-type	Hordeum-type	HERB	Herbs	HERB	True	True	Herbs	5	2706.0	0.07390983000739099
2576	EPDcoretop_E221	1.0	2576.0	Lythrum salicaria	Lythrum salicaria-type	HERB	Herbs	HERB	True	True	Herbs	5	2706.0	0.03695491500369549
1267	EPDcoretop_E221	1.0	73.0	Peucedanum-type	Peucedanum-type	HERB	Herbs	HERB	True	True	Herbs	5	2706.0	0.03695491500369549
60	EPDcoretop_E221	16.0	60.0	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	2706.0	0.5912786400591279
79	EPDcoretop_E221	1.0	79.0	Plantago major	Plantago major	HERB	Herbs	HERB	True	True	Herbs	5	2706.0	0.03695491500369549
1601	EPDcoretop_E221	121.0	80.0	Gramineae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	2706.0	4.471544715447155
626	EPDcoretop_E221	1.0	512.0	Potentilla-type	Potentilla-type	HERB	Herbs	HERB	True	True	Herbs	5	2706.0	0.03695491500369549
629	EPDcoretop_E221	1.0	274.0	Ranunculus	Ranunculus-type	HERB	Herbs	HERB	True	True	Herbs	5	2706.0	0.03695491500369549
1398	EPDcoretop_E221	46.0	96.0	Rumex acetosella-type	Rumex acetosella	HERB	Herbs	HERB	True	True	Herbs	5	2706.0	1.6999260901699924
256	EPDcoretop_E221	24.0	256.0	Secale cereale	Secale cereale	HERB	Herbs	HERB	True	True	Herbs	5	2706.0	0.8869179600886918
117	EPDcoretop_E221	3.0	117.0	Urtica dioica	Urtica dioica	HERB	Herbs	HERB	True	True	Herbs	5	2706.0	0.11086474501108648
145	EPDcoretop_E221	3.0	145.0	Equisetum	Equisetum	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	2706.0	0.11086474501108648
146	EPDcoretop_E221	14.0	146.0	Polypodiaceae	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	2706.0	0.5173688100517368
2602	EPDcoretop_E221	1.0	214.0	Polypodium vulgare-type	Polypodium	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	2706.0	0.03695491500369549
180	EPDcoretop_E221	7.0	180.0	Pteridium aquilinum	Pteridium aquilinum	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	2706.0	0.2586844050258684
4229	EPDcoretop_E221	97.0	4228.0	Sphagnum	Sphagnum	BRYO	Bryophytes	VACR	True	True	Ferns	6	2706.0	3.5846267553584625
3443	EPDcoretop_E221	13.0	3075.0	Cyperaceae		AQUA	Aquatics	AQUA	False	True	Aquatics	7	2706.0	0.48041389504804144
3667	EPDcoretop_E221	1.0	2335.0	Isoetes setacea	Isoetes echinospora	AQPT	Aquatic Pteridophyta	AQUA	False	True	Aquatics	7	2706.0	0.03695491500369549
1590	EPDcoretop_E221	43.0	1590.0	Isoetes lacustris	Isoetes lacustris	AQPT	Aquatic Pteridophyta	AQUA	False	True	Aquatics	7	2706.0	1.5890613451589062
2061	EPDcoretop_E221	1.0	627.0	Nymphaea alba	Nymphaea	AQUA	Aquatics	AQUA	False	True	Aquatics	7	2706.0	0.03695491500369549
1086	EPDcoretop_E221	3.0	176.0	Sparganium-type	Sparganium-type	AQUA	Aquatics	AQUA	False	True	Aquatics	7	2706.0	0.11086474501108648
