var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
4281	Edwards_a17	4.0	3096.0	Thymus serpyllum		DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	900.0	0.4444444444444444
12	Edwards_a17	6.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	900.0	0.6666666666666667
3213	Edwards_a17	160.0	3212.0	Calluna vulgaris	Calluna vulgaris	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	900.0	17.77777777777778
3422	Edwards_a17	4.0	31.0	Corylus avellana-type	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	900.0	0.4444444444444444
3507	Edwards_a17	5.0	532.0	Erica cinerea	Erica cinerea	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	900.0	0.5555555555555556
3513	Edwards_a17	2.0	2606.0	Erica tetralix-type	Erica tetralix-type	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	900.0	0.2222222222222222
788	Edwards_a17	5.0	125.0	Pinus sylvestris	Pinus sylvestris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	900.0	0.5555555555555556
189	Edwards_a17	3.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	900.0	0.33333333333333337
99	Edwards_a17	6.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	900.0	0.6666666666666667
154	Edwards_a17	4.0	154.0	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	900.0	0.4444444444444444
942	Edwards_a17	6.0	942.0	Vaccinium-type	Vaccinium-type	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	900.0	0.6666666666666667
3444	Edwards_a17	3.0	3049.0	Cyperaceae class 1		HERB	Herbs	HERB	True	True	Herbs	5	900.0	0.33333333333333337
3445	Edwards_a17	22.0	3049.0	Cyperaceae class 2		HERB	Herbs	HERB	True	True	Herbs	5	900.0	2.4444444444444446
3446	Edwards_a17	35.0	3049.0	Cyperaceae class 3		HERB	Herbs	HERB	True	True	Herbs	5	900.0	3.888888888888889
3447	Edwards_a17	2.0	3049.0	Cyperaceae class 4		HERB	Herbs	HERB	True	True	Herbs	5	900.0	0.2222222222222222
3941	Edwards_a17	19.0	3049.0	Poaceae class 2		HERB	Herbs	HERB	True	True	Herbs	5	900.0	2.111111111111111
