var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
760	Ejarque_a13	2.0	155.0	Alnus glutinosa	Alnus glutinosa-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	0.36231884057971014
12	Ejarque_a13	13.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	2.355072463768116
441	Ejarque_a13	3.0	19.0	Castanea	Castanea sativa	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	0.5434782608695652
201	Ejarque_a13	1.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	0.18115942028985507
58	Ejarque_a13	9.0	58.0	Juniperus	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	1.6304347826086956
68	Ejarque_a13	9.0	68.0	Olea europaea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	1.6304347826086956
75	Ejarque_a13	214.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	38.768115942028984
1052	Ejarque_a13	13.0	85.0	Quercus ilex-type	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	2.355072463768116
437	Ejarque_a13	6.0	86.0	Quercus deciduous	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	1.0869565217391304
4073	Ejarque_a13	1.0	4073.0	Rhododendron ferrugineum	Rhododendron	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	0.18115942028985507
4083	Ejarque_a13	2.0	4082.0	Rosaceae	Rosaceae	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	0.36231884057971014
4375	Ejarque_a13	1.0	3384.0	Vitis		LIAN	Liana	LIAN	True	True	Lianas	3	552.0	0.18115942028985507
6	Ejarque_a13	3.0	6.0	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.5434782608695652
7	Ejarque_a13	4.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.7246376811594203
761	Ejarque_a13	2.0	160.0	Asteroideae	Asteraceae subf. Asteroideae	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.36231884057971014
447	Ejarque_a13	13.0	25.0	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	552.0	2.355072463768116
13	Ejarque_a13	2.0	13.0	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.36231884057971014
18	Ejarque_a13	1.0	18.0	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.18115942028985507
24	Ejarque_a13	3.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.5434782608695652
2634	Ejarque_a13	3.0	1242.0	Cichorium intybus-type	Crepis-type	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.5434782608695652
52	Ejarque_a13	1.0	52.0	Helianthemum	Helianthemum	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.18115942028985507
1073	Ejarque_a13	1.0	65.0	Mentha-type	Mentha-type	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.18115942028985507
724	Ejarque_a13	5.0	270.0	Plantago	Plantago	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.9057971014492754
1075	Ejarque_a13	4.0	60.0	Plantago lanceolata-type	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.7246376811594203
3919	Ejarque_a13	2.0	458.0	Plantago major/P. media	Plantago major/P. media-type	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.36231884057971014
2583	Ejarque_a13	2.0	64.0	Plantago alpina-type	Plantago maritima-type	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.36231884057971014
80	Ejarque_a13	214.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	552.0	38.768115942028984
135	Ejarque_a13	1.0	135.0	Ranunculaceae	Ranunculaceae	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.18115942028985507
2432	Ejarque_a13	1.0	274.0	Ranunculus-type	Ranunculus-type	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.18115942028985507
3571	Ejarque_a13	7.0	3140.0	Galium-type	Rubiaceae	HERB	Herbs	HERB	True	True	Herbs	5	552.0	1.2681159420289856
727	Ejarque_a13	3.0	94.0	Rumex	Rumex/Oxyria	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.5434782608695652
1284	Ejarque_a13	2.0	115.0	Trifolium-type	Trifolium-type	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.36231884057971014
962	Ejarque_a13	1.0	962.0	Botrychium	Botrychium	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	552.0	0.18115942028985507
825	Ejarque_a13	1.0	220.0	Dryopteris filix-mas	Dryopteris filix-mas-type	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	552.0	0.18115942028985507
143	Ejarque_a13	1.0	143.0	Lycopodium	Lycopodium	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	552.0	0.18115942028985507
874	Ejarque_a13	1.0	185.0	Selaginella selaginoides	Selaginella selaginoides	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	552.0	0.18115942028985507
3443	Ejarque_a13	25.0	3075.0	Cyperaceae		AQUA	Aquatics	AQUA	False	True	Aquatics	7	552.0	4.528985507246377
3533	Ejarque_a13	2.0	3063.0	Fabaceae		INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	552.0	
1098	Ejarque_a13	22.0	177.0	Varia	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	552.0	
