var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
5	Feurdean_a4	5.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	343.0	1.4577259475218658
12	Feurdean_a4	8.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	343.0	2.3323615160349855
563	Feurdean_a4	10.0	16.0	Carpinus betulus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	343.0	2.9154518950437316
31	Feurdean_a4	7.0	31.0	Corylus avellana	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	343.0	2.0408163265306123
130	Feurdean_a4	1.0	130.0	Ericaceae	Ericales (tetrad)	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	343.0	0.2915451895043732
42	Feurdean_a4	5.0	42.0	Fagus sylvatica	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	343.0	1.4577259475218658
190	Feurdean_a4	4.0	190.0	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	343.0	1.1661807580174928
57	Feurdean_a4	1.0	57.0	Juglans	Juglans	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	343.0	0.2915451895043732
58	Feurdean_a4	8.0	58.0	Juniperus	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	343.0	2.3323615160349855
1341	Feurdean_a4	3.0	70.0	Carpinus orientalis /Ostrya type	Ostrya/Carpinus orientalis	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	343.0	0.8746355685131195
783	Feurdean_a4	2.0	783.0	Picea abies	Picea abies-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	343.0	0.5830903790087464
75	Feurdean_a4	19.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	343.0	5.539358600583091
189	Feurdean_a4	25.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	343.0	7.288629737609329
99	Feurdean_a4	15.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	343.0	4.373177842565598
481	Feurdean_a4	4.0	407.0	Sambucus	Sambucus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	343.0	1.1661807580174928
187	Feurdean_a4	3.0	187.0	Tilia	Tilia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	343.0	0.8746355685131195
154	Feurdean_a4	3.0	154.0	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	343.0	0.8746355685131195
120	Feurdean_a4	1.0	120.0	Viburnum	Viburnum	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	343.0	0.2915451895043732
586	Feurdean_a4	8.0	586.0	Ambrosia	Ambrosia	HERB	Herbs	HERB	True	True	Herbs	5	343.0	2.3323615160349855
6	Feurdean_a4	3.0	6.0	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	343.0	0.8746355685131195
7	Feurdean_a4	12.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	343.0	3.498542274052478
1338	Feurdean_a4	11.0	160.0	Asteraceae subf. Asteroideae	Asteraceae subf. Asteroideae	HERB	Herbs	HERB	True	True	Herbs	5	343.0	3.206997084548105
770	Feurdean_a4	2.0	25.0	Cichoroideae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	343.0	0.5830903790087464
