var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
2192	Fletcher_a10	1.0	321.0	Caryo. Trizoncolpate indet.	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1101.0	0.09082652134423251
39	Fletcher_a10	1.0	39.0	Eucalyptus	Eucalyptus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1101.0	0.09082652134423251
190	Fletcher_a10	7.0	190.0	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1101.0	0.6357856494096277
442	Fletcher_a10	4.0	68.0	Olea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1101.0	0.36330608537693004
75	Fletcher_a10	10.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1101.0	0.9082652134423252
2174	Fletcher_a10	9.0	189.0	Quercus undiff.	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1101.0	0.8174386920980926
438	Fletcher_a10	2.0	84.0	Quercus suber	Quercus cerris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1101.0	0.18165304268846502
1729	Fletcher_a10	1.0	85.0	Quercus coccifera type	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1101.0	0.09082652134423251
500	Fletcher_a10	12.0	414.0	Tamarix	Tamarix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1101.0	1.08991825613079
1107	Fletcher_a10	3.0	6.0	Apiaceae undiff.	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	1101.0	0.2724795640326975
2186	Fletcher_a10	36.0	160.0	Asteraceae (Asteroid./Card.)	Asteraceae subf. Asteroideae	HERB	Herbs	HERB	True	True	Herbs	5	1101.0	3.2697547683923704
2187	Fletcher_a10	99.0	25.0	Asteraceae (Lactuc.)	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	1101.0	8.991825613079019
946	Fletcher_a10	1.0	18.0	Caryophyllaceae undiff.	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	Herbs	HERB	True	True	Herbs	5	1101.0	0.09082652134423251
24	Fletcher_a10	777.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	1101.0	70.57220708446866
2176	Fletcher_a10	3.0	26.0	Cistaceae undiff.	Cistaceae	HERB	Herbs	HERB	True	True	Herbs	5	1101.0	0.2724795640326975
33	Fletcher_a10	2.0	33.0	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	1101.0	0.18165304268846502
604	Fletcher_a10	1.0	242.0	Echium	Echium	HERB	Herbs	HERB	True	True	Herbs	5	1101.0	0.09082652134423251
1854	Fletcher_a10	25.0	270.0	Plantago undiff.	Plantago	HERB	Herbs	HERB	True	True	Herbs	5	1101.0	2.2706630336058127
616	Fletcher_a10	50.0	30.0	Plantago coronopus type	Plantago coronopus-type	HERB	Herbs	HERB	True	True	Herbs	5	1101.0	4.541326067211625
221	Fletcher_a10	9.0	60.0	Plantago lanceolata type	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	1101.0	0.8174386920980926
80	Fletcher_a10	46.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	1101.0	4.178019981834695
1042	Fletcher_a10	2.0	115.0	Trifolium type	Trifolium-type	HERB	Herbs	HERB	True	True	Herbs	5	1101.0	0.18165304268846502
2189	Fletcher_a10	2.0	366.0	Isoetes undiff.	Isoetes	AQPT	Aquatic Pteridophyta	AQUA	False	True	Aquatics	7	1101.0	0.18165304268846502
2197	Fletcher_a10	5.0	177.0	Indeterminate	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	1101.0	
2198	Fletcher_a10	1.0	2198.0	Pre-Quaternary	Pre-Quaternary type	PREQ	Pre-Quaternary type	NOPO	False	False	Nonpollen	30	1101.0	
