var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
576	Fletcher_b16	6.0	340.0	Cedrus	Cedrus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	98.0	6.122448979591836
2201	Fletcher_b16	0.0	37.0	Ephedra distachya	Ephedra distachya-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	98.0	0.0
1737	Fletcher_b16	1.0	36.0	Ephedra fragilis	Ephedra fragilis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	98.0	1.0204081632653061
190	Fletcher_b16	0.0	190.0	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	98.0	0.0
2213	Fletcher_b16	1.0	49.0	Fabaceae genista type	Genista-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	98.0	1.0204081632653061
442	Fletcher_b16	4.0	68.0	Olea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	98.0	4.081632653061225
75	Fletcher_b16	5.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	98.0	5.1020408163265305
427	Fletcher_b16	5.0	85.0	Quercus evergreen	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	98.0	5.1020408163265305
437	Fletcher_b16	0.0	86.0	Quercus deciduous	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	98.0	0.0
2219	Fletcher_b16	5.0	2219.0	Zygophyllaceae	Zygophyllaceae	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	98.0	5.1020408163265305
1107	Fletcher_b16	0.0	6.0	Apiaceae undiff.	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	98.0	0.0
7	Fletcher_b16	1.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	98.0	1.0204081632653061
2204	Fletcher_b16	1.0	11.0	Asteraceae aster type	Aster-type	HERB	Herbs	HERB	True	True	Herbs	5	98.0	1.0204081632653061
709	Fletcher_b16	4.0	134.0	Asteraceae undiff.	Asteraceae	HERB	Herbs	HERB	True	True	Herbs	5	98.0	4.081632653061225
2211	Fletcher_b16	0.0	10.0	Fabaceae astragalus type	Astragalus-type	HERB	Herbs	HERB	True	True	Herbs	5	98.0	0.0
1422	Fletcher_b16	11.0	13.0	Brassicaceae undiff.	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	98.0	11.224489795918368
946	Fletcher_b16	4.0	18.0	Caryophyllaceae undiff.	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	Herbs	HERB	True	True	Herbs	5	98.0	4.081632653061225
2210	Fletcher_b16	1.0	462.0	Centaurea cyanus type	Centaurea cyanus-type	HERB	Herbs	HERB	True	True	Herbs	5	98.0	1.0204081632653061
1810	Fletcher_b16	2.0	24.0	Chenopodiaceae undiff.	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	98.0	2.0408163265306123
2206	Fletcher_b16	1.0	603.0	Asteraceae cirsium type	Cirsium	HERB	Herbs	HERB	True	True	Herbs	5	98.0	1.0204081632653061
1328	Fletcher_b16	0.0	1328.0	Convolvulus	Convolvulus	HERB	Herbs	HERB	True	True	Herbs	5	98.0	0.0
2212	Fletcher_b16	1.0	2212.0	Fabaceae coronilla type	Coronilla-type	HERB	Herbs	HERB	True	True	Herbs	5	98.0	1.0204081632653061
484	Fletcher_b16	8.0	269.0	Fabaceae undiff.	Fabaceae undiff.	HERB	Herbs	HERB	True	True	Herbs	5	98.0	8.16326530612245
52	Fletcher_b16	2.0	52.0	Helianthemum	Helianthemum	HERB	Herbs	HERB	True	True	Herbs	5	98.0	2.0408163265306123
2209	Fletcher_b16	3.0	2209.0	Caryophyllaceae herniaria type	Herniaria-type	HERB	Herbs	HERB	True	True	Herbs	5	98.0	3.061224489795918
2207	Fletcher_b16	8.0	2207.0	Asteraceae lactuceae type	Lactuca-type	HERB	Herbs	HERB	True	True	Herbs	5	98.0	8.16326530612245
59	Fletcher_b16	7.0	59.0	Lamiaceae	Lamiaceae	HERB	Herbs	HERB	True	True	Herbs	5	98.0	7.142857142857142
2216	Fletcher_b16	1.0	2216.0	Fabaceae onobrychis type	Onobrychis-type	HERB	Herbs	HERB	True	True	Herbs	5	98.0	1.0204081632653061
2217	Fletcher_b16	0.0	2217.0	Plantago albicans type	Plantago albicans	HERB	Herbs	HERB	True	True	Herbs	5	98.0	0.0
429	Fletcher_b16	14.0	80.0	Poaceae undiff.	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	98.0	14.285714285714285
2218	Fletcher_b16	1.0	274.0	Ranunculus undiff.	Ranunculus-type	HERB	Herbs	HERB	True	True	Herbs	5	98.0	1.0204081632653061
94	Fletcher_b16	1.0	94.0	Rumex undiff.	Rumex/Oxyria	HERB	Herbs	HERB	True	True	Herbs	5	98.0	1.0204081632653061
2014	Fletcher_b16	88484.0	2014.0	Concentration	Total concentration	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	98.0	
