var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
1931	Jahns_g3	2.0	27.0	Cistus p.p.	Cistus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	667.0	0.29985007496251875
2427	Jahns_g3	1.0	36.0	Ephedra fragilis-type	Ephedra fragilis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	667.0	0.14992503748125938
38	Jahns_g3	1.0	38.0	Erica	Erica	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	667.0	0.14992503748125938
58	Jahns_g3	2.0	58.0	Juniperus	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	667.0	0.29985007496251875
442	Jahns_g3	11.0	68.0	Olea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	667.0	1.6491754122938531
75	Jahns_g3	302.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	667.0	45.27736131934033
77	Jahns_g3	219.0	77.0	Pistacia	Pistacia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	667.0	32.8335832083958
78	Jahns_g3	1.0	78.0	Platanus	Platanus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	667.0	0.14992503748125938
427	Jahns_g3	3.0	85.0	Quercus evergreen	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	667.0	0.4497751124437781
3611	Jahns_g3	1.0	3384.0	Hedera		LIAN	Liana	LIAN	True	True	Lianas	3	667.0	0.14992503748125938
4375	Jahns_g3	1.0	3384.0	Vitis		LIAN	Liana	LIAN	True	True	Lianas	3	667.0	0.14992503748125938
3371	Jahns_g3	2.0	3049.0	Cistus incanus-type		HERB	Herbs	HERB	True	True	Herbs	5	667.0	0.29985007496251875
4156	Jahns_g3	1.0	3049.0	Sarcopoterium spinosum/Sanguisorba minor		HERB	Herbs	HERB	True	True	Herbs	5	667.0	0.14992503748125938
7	Jahns_g3	1.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	667.0	0.14992503748125938
9	Jahns_g3	2.0	9.0	Asphodelus	Asphodelus	HERB	Herbs	HERB	True	True	Herbs	5	667.0	0.29985007496251875
1927	Jahns_g3	9.0	160.0	Asteraceae Tubuliflorae	Asteraceae subf. Asteroideae	HERB	Herbs	HERB	True	True	Herbs	5	667.0	1.3493253373313343
1337	Jahns_g3	67.0	25.0	Asteraceae Liguliflorae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	667.0	10.044977511244378
18	Jahns_g3	1.0	18.0	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	Herbs	HERB	True	True	Herbs	5	667.0	0.14992503748125938
769	Jahns_g3	7.0	24.0	Chenopodiaceae/Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	667.0	1.0494752623688157
1244	Jahns_g3	5.0	1244.0	Convolvulus arvensis	Convolvulus arvensis-type	HERB	Herbs	HERB	True	True	Herbs	5	667.0	0.7496251874062968
949	Jahns_g3	2.0	258.0	Hordeum-type	Hordeum-type	HERB	Herbs	HERB	True	True	Herbs	5	667.0	0.29985007496251875
62	Jahns_g3	1.0	62.0	Liliaceae	Liliaceae-type	HERB	Herbs	HERB	True	True	Herbs	5	667.0	0.14992503748125938
1075	Jahns_g3	5.0	60.0	Plantago lanceolata-type	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	667.0	0.7496251874062968
2767	Jahns_g3	2.0	64.0	Plantago maritima-type	Plantago maritima-type	HERB	Herbs	HERB	True	True	Herbs	5	667.0	0.29985007496251875
80	Jahns_g3	14.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	667.0	2.0989505247376314
1937	Jahns_g3	1.0	135.0	Ranunculaceae p.p.	Ranunculaceae	HERB	Herbs	HERB	True	True	Herbs	5	667.0	0.14992503748125938
630	Jahns_g3	1.0	87.0	Ranunculus acris-type	Ranunculus acris-type	HERB	Herbs	HERB	True	True	Herbs	5	667.0	0.14992503748125938
1044	Jahns_g3	1.0	1044.0	Xanthium	Xanthium	HERB	Herbs	HERB	True	True	Herbs	5	667.0	0.14992503748125938
1941	Jahns_g3	1.0	146.0	Filicinae	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	667.0	0.14992503748125938
3534	Jahns_g3	1.0	3063.0	Fabaceae p.p.		INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	667.0	
