var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
560	Jahns_h5	24.0	321.0	Abies	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4122.0	0.5822416302765648
1631	Jahns_h5	1.0	327.0	Arbutus	Arbutus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4122.0	0.024260067928190198
1931	Jahns_h5	1.0	27.0	Cistus p.p.	Cistus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4122.0	0.024260067928190198
201	Jahns_h5	1.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4122.0	0.024260067928190198
38	Jahns_h5	3.0	38.0	Erica	Erica	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	4122.0	0.0727802037845706
58	Jahns_h5	3.0	58.0	Juniperus	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4122.0	0.0727802037845706
442	Jahns_h5	262.0	68.0	Olea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4122.0	6.3561377971858315
75	Jahns_h5	196.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4122.0	4.754973313925278
427	Jahns_h5	4.0	85.0	Quercus evergreen	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4122.0	0.09704027171276079
120	Jahns_h5	1.0	120.0	Viburnum	Viburnum	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4122.0	0.024260067928190198
4375	Jahns_h5	1.0	3384.0	Vitis		LIAN	Liana	LIAN	True	True	Lianas	3	4122.0	0.024260067928190198
3242	Jahns_h5	2.0	3049.0	Caryophyllaceae p.p.		HERB	Herbs	HERB	True	True	Herbs	5	4122.0	0.048520135856380396
3371	Jahns_h5	3.0	3049.0	Cistus incanus-type		HERB	Herbs	HERB	True	True	Herbs	5	4122.0	0.0727802037845706
4156	Jahns_h5	9.0	3049.0	Sarcopoterium spinosum/Sanguisorba minor		HERB	Herbs	HERB	True	True	Herbs	5	4122.0	0.21834061135371177
6	Jahns_h5	1.0	6.0	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	4122.0	0.024260067928190198
7	Jahns_h5	1.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	4122.0	0.024260067928190198
9	Jahns_h5	2.0	9.0	Asphodelus	Asphodelus	HERB	Herbs	HERB	True	True	Herbs	5	4122.0	0.048520135856380396
1927	Jahns_h5	11.0	160.0	Asteraceae Tubuliflorae	Asteraceae subf. Asteroideae	HERB	Herbs	HERB	True	True	Herbs	5	4122.0	0.26686074721009223
1337	Jahns_h5	175.0	25.0	Asteraceae Liguliflorae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	4122.0	4.245511887433285
1929	Jahns_h5	1.0	22.0	Cerealia p.p.	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	4122.0	0.024260067928190198
24	Jahns_h5	3.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	4122.0	0.0727802037845706
164	Jahns_h5	2.0	164.0	Dipsacaceae	Dipsacaceae	HERB	Herbs	HERB	True	True	Herbs	5	4122.0	0.048520135856380396
522	Jahns_h5	1.0	522.0	Erodium	Erodium	HERB	Herbs	HERB	True	True	Herbs	5	4122.0	0.024260067928190198
773	Jahns_h5	2.0	773.0	Euphorbiaceae	Euphorbiaceae	HERB	Herbs	HERB	True	True	Herbs	5	4122.0	0.048520135856380396
52	Jahns_h5	1.0	52.0	Helianthemum	Helianthemum	HERB	Herbs	HERB	True	True	Herbs	5	4122.0	0.024260067928190198
949	Jahns_h5	2.0	258.0	Hordeum-type	Hordeum-type	HERB	Herbs	HERB	True	True	Herbs	5	4122.0	0.048520135856380396
59	Jahns_h5	2.0	59.0	Lamiaceae	Lamiaceae	HERB	Herbs	HERB	True	True	Herbs	5	4122.0	0.048520135856380396
1488	Jahns_h5	2.0	372.0	Malvaceae	Malvaceae	HERB	Herbs	HERB	True	True	Herbs	5	4122.0	0.048520135856380396
66	Jahns_h5	4.0	66.0	Mercurialis annua	Mercurialis annua	HERB	Herbs	HERB	True	True	Herbs	5	4122.0	0.09704027171276079
80	Jahns_h5	29.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	4122.0	0.7035419699175158
537	Jahns_h5	1.0	170.0	Polygala	Polygala	HERB	Herbs	HERB	True	True	Herbs	5	4122.0	0.024260067928190198
4098	Jahns_h5	1.0	3140.0	Rubiaceae	Rubiaceae	HERB	Herbs	HERB	True	True	Herbs	5	4122.0	0.024260067928190198
1044	Jahns_h5	1.0	1044.0	Xanthium	Xanthium	HERB	Herbs	HERB	True	True	Herbs	5	4122.0	0.024260067928190198
1941	Jahns_h5	3369.0	146.0	Filicinae	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	4122.0	81.73216885007278
3443	Jahns_h5	1.0	3075.0	Cyperaceae		AQUA	Aquatics	AQUA	False	True	Aquatics	7	4122.0	0.024260067928190198
3534	Jahns_h5	1.0	3063.0	Fabaceae p.p.		INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	4122.0	
