var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
1931	Jahns_i3	2.0	27.0	Cistus p.p.	Cistus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	668.0	0.29940119760479045
1930	Jahns_i3	2.0	1761.0	Cistus incanus type	Cistus albidus-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	668.0	0.29940119760479045
36	Jahns_i3	1.0	36.0	Ephedra fragilis type	Ephedra fragilis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	668.0	0.14970059880239522
38	Jahns_i3	1.0	38.0	Erica	Erica	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	668.0	0.14970059880239522
503	Jahns_i3	1.0	51.0	Hedera	Hedera	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	668.0	0.14970059880239522
1728	Jahns_i3	2.0	203.0	Juniperus	Juniperus-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	668.0	0.29940119760479045
442	Jahns_i3	11.0	68.0	Olea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	668.0	1.6467065868263475
75	Jahns_i3	302.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	668.0	45.209580838323355
77	Jahns_i3	219.0	77.0	Pistacia	Pistacia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	668.0	32.78443113772455
78	Jahns_i3	1.0	78.0	Platanus	Platanus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	668.0	0.14970059880239522
427	Jahns_i3	3.0	85.0	Quercus evergreen	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	668.0	0.4491017964071856
122	Jahns_i3	1.0	122.0	Vitis	Vitis	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	668.0	0.14970059880239522
1753	Jahns_i3	1.0	228.0	Xanthium	Ambrosia/Xanthium	HERB	Herbs	HERB	True	True	Herbs	5	668.0	0.14970059880239522
7	Jahns_i3	1.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	668.0	0.14970059880239522
9	Jahns_i3	2.0	9.0	Asphodelus	Asphodelus	HERB	Herbs	HERB	True	True	Herbs	5	668.0	0.29940119760479045
1927	Jahns_i3	9.0	160.0	Asteraceae Tubuliflorae	Asteraceae subf. Asteroideae	HERB	Herbs	HERB	True	True	Herbs	5	668.0	1.347305389221557
1337	Jahns_i3	67.0	25.0	Asteraceae Liguliflorae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	668.0	10.029940119760479
18	Jahns_i3	1.0	18.0	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	Herbs	HERB	True	True	Herbs	5	668.0	0.14970059880239522
769	Jahns_i3	7.0	24.0	Chenopodiaceae/Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	668.0	1.0479041916167664
1244	Jahns_i3	5.0	1244.0	Convolvulus arvensis	Convolvulus arvensis-type	HERB	Herbs	HERB	True	True	Herbs	5	668.0	0.7485029940119761
1932	Jahns_i3	1.0	41.0	Fabaceae p.p.	Fabaceae	HERB	Herbs	HERB	True	True	Herbs	5	668.0	0.14970059880239522
1934	Jahns_i3	2.0	258.0	Hordeum type	Hordeum-type	HERB	Herbs	HERB	True	True	Herbs	5	668.0	0.29940119760479045
62	Jahns_i3	1.0	62.0	Liliaceae	Liliaceae-type	HERB	Herbs	HERB	True	True	Herbs	5	668.0	0.14970059880239522
221	Jahns_i3	5.0	60.0	Plantago lanceolata type	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	668.0	0.7485029940119761
617	Jahns_i3	2.0	64.0	Plantago maritima type	Plantago maritima-type	HERB	Herbs	HERB	True	True	Herbs	5	668.0	0.29940119760479045
80	Jahns_i3	14.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	668.0	2.095808383233533
1937	Jahns_i3	1.0	135.0	Ranunculaceae p.p.	Ranunculaceae	HERB	Herbs	HERB	True	True	Herbs	5	668.0	0.14970059880239522
87	Jahns_i3	1.0	87.0	Ranunculus acris type	Ranunculus acris-type	HERB	Herbs	HERB	True	True	Herbs	5	668.0	0.14970059880239522
1938	Jahns_i3	1.0	101.0	Sarcopoterium/Sanguisorba minor	Sanguisorba minor-type	HERB	Herbs	HERB	True	True	Herbs	5	668.0	0.14970059880239522
1941	Jahns_i3	1.0	146.0	Filicinae	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	668.0	0.14970059880239522
