var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
12	Jiménez-Moreno_a1	1.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	318.0	0.3144654088050315
714	Jiménez-Moreno_a1	11.0	347.0	Cupressaceae	Cupressaceae undiff.	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	318.0	3.459119496855346
715	Jiménez-Moreno_a1	1.0	159.0	Ephedra fragilis	Ephedra	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	318.0	0.3144654088050315
722	Jiménez-Moreno_a1	122.0	68.0	Olea eur	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	318.0	38.36477987421384
723	Jiménez-Moreno_a1	58.0	75.0	Pinus undiff.	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	318.0	18.238993710691823
81	Jiménez-Moreno_a1	1.0	81.0	Populus	Populus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	318.0	0.3144654088050315
427	Jiménez-Moreno_a1	24.0	85.0	Quercus evergreen	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	318.0	7.547169811320755
437	Jiménez-Moreno_a1	47.0	86.0	Quercus deciduous	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	318.0	14.779874213836477
99	Jiménez-Moreno_a1	2.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	318.0	0.628930817610063
6	Jiménez-Moreno_a1	2.0	6.0	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	318.0	0.628930817610063
7	Jiménez-Moreno_a1	12.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	318.0	3.7735849056603774
711	Jiménez-Moreno_a1	11.0	160.0	Tubuliflorae	Asteraceae subf. Asteroideae	HERB	Herbs	HERB	True	True	Herbs	5	318.0	3.459119496855346
707	Jiménez-Moreno_a1	5.0	24.0	Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	318.0	1.5723270440251573
26	Jiménez-Moreno_a1	4.0	26.0	Cistaceae	Cistaceae	HERB	Herbs	HERB	True	True	Herbs	5	318.0	1.257861635220126
52	Jiménez-Moreno_a1	1.0	52.0	Helianthemum	Helianthemum	HERB	Herbs	HERB	True	True	Herbs	5	318.0	0.3144654088050315
59	Jiménez-Moreno_a1	3.0	59.0	Lamiaceae	Lamiaceae	HERB	Herbs	HERB	True	True	Herbs	5	318.0	0.9433962264150944
719	Jiménez-Moreno_a1	1.0	62.0	Liliaceae-type	Liliaceae-type	HERB	Herbs	HERB	True	True	Herbs	5	318.0	0.3144654088050315
724	Jiménez-Moreno_a1	7.0	270.0	Plantago	Plantago	HERB	Herbs	HERB	True	True	Herbs	5	318.0	2.20125786163522
80	Jiménez-Moreno_a1	3.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	318.0	0.9433962264150944
135	Jiménez-Moreno_a1	1.0	135.0	Ranunculaceae	Ranunculaceae	HERB	Herbs	HERB	True	True	Herbs	5	318.0	0.3144654088050315
727	Jiménez-Moreno_a1	1.0	94.0	Rumex	Rumex/Oxyria	HERB	Herbs	HERB	True	True	Herbs	5	318.0	0.3144654088050315
717	Jiménez-Moreno_a1	1.0	177.0	Indeterminable	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	318.0	
660	Jiménez-Moreno_a1	2.0	308.0	Arcella	Arcella	RHIZ	Rhizopods	NOPO	False	False	Nonpollen	30	318.0	
730	Jiménez-Moreno_a1	6.0	730.0	Testate amoebae	Testate amoebae	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	318.0	
