var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
4139	Kolaczek_f14	13.0	3044.0	Salix undifferentiated		TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	576.0	2.256944444444444
759	Kolaczek_f14	3.0	321.0	Abies alba	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	576.0	0.5208333333333333
5	Kolaczek_f14	96.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	576.0	16.666666666666664
12	Kolaczek_f14	10.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	576.0	1.7361111111111112
3213	Kolaczek_f14	2.0	3212.0	Calluna vulgaris	Calluna vulgaris	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	576.0	0.3472222222222222
563	Kolaczek_f14	1.0	16.0	Carpinus betulus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	576.0	0.1736111111111111
31	Kolaczek_f14	8.0	31.0	Corylus avellana	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	576.0	1.3888888888888888
42	Kolaczek_f14	1.0	42.0	Fagus sylvatica	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	576.0	0.1736111111111111
567	Kolaczek_f14	1.0	468.0	Frangula alnus	Frangula alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	576.0	0.1736111111111111
190	Kolaczek_f14	5.0	190.0	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	576.0	0.8680555555555556
58	Kolaczek_f14	1.0	58.0	Juniperus	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	576.0	0.1736111111111111
783	Kolaczek_f14	17.0	783.0	Picea abies	Picea abies-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	576.0	2.951388888888889
1226	Kolaczek_f14	276.0	125.0	Pinus sylvestris-type	Pinus sylvestris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	576.0	47.91666666666667
189	Kolaczek_f14	10.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	576.0	1.7361111111111112
1354	Kolaczek_f14	4.0	583.0	Sambucus nigra-type	Sambucus nigra/S. racemosa	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	576.0	0.6944444444444444
153	Kolaczek_f14	2.0	153.0	Tilia cordata-type	Tilia cordata-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	576.0	0.3472222222222222
3086	Kolaczek_f14	1.0	3049.0	Ambrosia artemisiifolia-type		HERB	Herbs	HERB	True	True	Herbs	5	576.0	0.1736111111111111
3197	Kolaczek_f14	20.0	3049.0	Brassicaceae undifferentiated		HERB	Herbs	HERB	True	True	Herbs	5	576.0	3.4722222222222223
2962	Kolaczek_f14	1.0	6.0	Apiaceae undifferentiated	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	576.0	0.1736111111111111
7	Kolaczek_f14	2.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	576.0	0.3472222222222222
597	Kolaczek_f14	2.0	11.0	Aster-type	Aster-type	HERB	Herbs	HERB	True	True	Herbs	5	576.0	0.3472222222222222
447	Kolaczek_f14	7.0	25.0	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	576.0	1.215277777777778
1065	Kolaczek_f14	2.0	22.0	Cerealia-type	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	576.0	0.3472222222222222
24	Kolaczek_f14	6.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	576.0	1.0416666666666665
45	Kolaczek_f14	2.0	45.0	Filipendula	Filipendula	HERB	Herbs	HERB	True	True	Herbs	5	576.0	0.3472222222222222
60	Kolaczek_f14	4.0	60.0	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	576.0	0.6944444444444444
2926	Kolaczek_f14	25.0	80.0	Poaceae undifferentiated	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	576.0	4.340277777777778
725	Kolaczek_f14	1.0	262.0	Polygonum aviculare	Polygonum aviculare-type	HERB	Herbs	HERB	True	True	Herbs	5	576.0	0.1736111111111111
3571	Kolaczek_f14	1.0	3140.0	Galium-type	Rubiaceae	HERB	Herbs	HERB	True	True	Herbs	5	576.0	0.1736111111111111
634	Kolaczek_f14	4.0	95.0	Rumex acetosa-type	Rumex acetosa-type	HERB	Herbs	HERB	True	True	Herbs	5	576.0	0.6944444444444444
1398	Kolaczek_f14	1.0	96.0	Rumex acetosella-type	Rumex acetosella	HERB	Herbs	HERB	True	True	Herbs	5	576.0	0.1736111111111111
3123	Kolaczek_f14	1.0	235.0	Arctium-type	Saussurea-type	HERB	Herbs	HERB	True	True	Herbs	5	576.0	0.1736111111111111
