var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
1376	Kolaczek_i2	48.0	5.0	Alnus undiff.	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	607.0	7.907742998352553
1380	Kolaczek_i2	130.0	12.0	Betula undiff.	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	607.0	21.4168039538715
563	Kolaczek_i2	24.0	16.0	Carpinus betulus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	607.0	3.9538714991762767
31	Kolaczek_i2	7.0	31.0	Corylus avellana	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	607.0	1.1532125205930808
42	Kolaczek_i2	1.0	42.0	Fagus sylvatica	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	607.0	0.16474464579901155
47	Kolaczek_i2	3.0	47.0	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	607.0	0.4942339373970346
1431	Kolaczek_i2	1.0	1431.0	Padus avium	Padus avium	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	607.0	0.16474464579901155
783	Kolaczek_i2	48.0	783.0	Picea abies	Picea abies-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	607.0	7.907742998352553
1432	Kolaczek_i2	249.0	125.0	Pinus sylvestris t.	Pinus sylvestris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	607.0	41.02141680395387
81	Kolaczek_i2	1.0	81.0	Populus	Populus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	607.0	0.16474464579901155
189	Kolaczek_i2	12.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	607.0	1.9769357495881383
1400	Kolaczek_i2	6.0	99.0	Salix undiff.	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	607.0	0.9884678747940692
1406	Kolaczek_i2	2.0	153.0	Tilia cordata	Tilia cordata-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	607.0	0.3294892915980231
1107	Kolaczek_i2	1.0	6.0	Apiaceae undiff.	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	607.0	0.16474464579901155
7	Kolaczek_i2	15.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	607.0	2.471169686985173
597	Kolaczek_i2	2.0	11.0	Aster-type	Aster-type	HERB	Herbs	HERB	True	True	Herbs	5	607.0	0.3294892915980231
1422	Kolaczek_i2	3.0	13.0	Brassicaceae undiff.	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	607.0	0.4942339373970346
822	Kolaczek_i2	5.0	22.0	Cerealia undiff.	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	607.0	0.8237232289950577
24	Kolaczek_i2	1.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	607.0	0.16474464579901155
1131	Kolaczek_i2	4.0	33.0	Cyperaceae undiff.	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	607.0	0.6589785831960462
1426	Kolaczek_i2	1.0	828.0	Humulus lupulus cf.	Humulus lupulus	HERB	Herbs	HERB	True	True	Herbs	5	607.0	0.16474464579901155
60	Kolaczek_i2	7.0	60.0	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	607.0	1.1532125205930808
429	Kolaczek_i2	22.0	80.0	Poaceae undiff.	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	607.0	3.6243822075782535
634	Kolaczek_i2	2.0	95.0	Rumex acetosa-type	Rumex acetosa-type	HERB	Herbs	HERB	True	True	Herbs	5	607.0	0.3294892915980231
1233	Kolaczek_i2	1.0	1199.0	Triticum-type	Triticum-type	HERB	Herbs	HERB	True	True	Herbs	5	607.0	0.16474464579901155
1409	Kolaczek_i2	11.0	652.0	Urtica undiff.	Urtica	HERB	Herbs	HERB	True	True	Herbs	5	607.0	1.8121911037891267
1098	Kolaczek_i2	1.0	177.0	Varia	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	607.0	
144	Kolaczek_i2	42.0	144.0	Sphagnum	Sphagnum	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	607.0	
