var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
12	Leipe_a2	6.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	276.0	2.1739130434782608
576	Leipe_a2	3.0	340.0	Cedrus	Cedrus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	276.0	1.0869565217391304
2925	Leipe_a2	1.0	531.0	Cassiope-type	Erica ciliaris-type	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	276.0	0.36231884057971014
2921	Leipe_a2	1.0	2445.0	Castanea/Castanopsis	Fagaceae	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	276.0	0.36231884057971014
738	Leipe_a2	1.0	203.0	Juniperus-type	Juniperus-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	276.0	0.36231884057971014
2899	Leipe_a2	4.0	75.0	Pinus undifferentiated	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	276.0	1.4492753623188406
2901	Leipe_a2	8.0	124.0	Pinus subgen. Haploxylon	Pinus cembra-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	276.0	2.898550724637681
2900	Leipe_a2	1.0	125.0	Pinus subgen. Diploxylon	Pinus sylvestris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	276.0	0.36231884057971014
2918	Leipe_a2	2.0	189.0	Quercus cf. Q. semecarpifolia	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	276.0	0.7246376811594203
1232	Leipe_a2	2.0	107.0	Sorbus-type	Sorbus-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	276.0	0.7246376811594203
2139	Leipe_a2	1.0	2139.0	Androsace	Androsace	HERB	Herbs	HERB	True	True	Herbs	5	276.0	0.36231884057971014
2962	Leipe_a2	1.0	6.0	Apiaceae undifferentiated	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	276.0	0.36231884057971014
7	Leipe_a2	41.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	276.0	14.855072463768115
597	Leipe_a2	1.0	11.0	Aster-type	Aster-type	HERB	Herbs	HERB	True	True	Herbs	5	276.0	0.36231884057971014
2934	Leipe_a2	15.0	25.0	Asteraceae subfam. Cichorioideae undifferentiated	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	276.0	5.434782608695652
2952	Leipe_a2	7.0	10.0	Astragalus/Oxytropis-type	Astragalus-type	HERB	Herbs	HERB	True	True	Herbs	5	276.0	2.536231884057971
13	Leipe_a2	3.0	13.0	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	276.0	1.0869565217391304
2929	Leipe_a2	72.0	24.0	Chenopodiaceae/Amaranthaceae undifferentiated	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	276.0	26.08695652173913
2935	Leipe_a2	13.0	1242.0	Hieracium-type	Crepis-type	HERB	Herbs	HERB	True	True	Herbs	5	276.0	4.710144927536232
1333	Leipe_a2	2.0	1242.0	Taraxacum-type	Crepis-type	HERB	Herbs	HERB	True	True	Herbs	5	276.0	0.7246376811594203
33	Leipe_a2	66.0	33.0	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	276.0	23.91304347826087
40	Leipe_a2	1.0	40.0	Euphorbia	Euphorbia	HERB	Herbs	HERB	True	True	Herbs	5	276.0	0.36231884057971014
2947	Leipe_a2	1.0	2947.0	Lomatogonium	Lomatogonium	HERB	Herbs	HERB	True	True	Herbs	5	276.0	0.36231884057971014
2926	Leipe_a2	10.0	80.0	Poaceae undifferentiated	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	276.0	3.6231884057971016
2927	Leipe_a2	2.0	80.0	Poaceae wildgrass-type	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	276.0	0.7246376811594203
1078	Leipe_a2	2.0	262.0	Polygonum aviculare-type	Polygonum aviculare-type	HERB	Herbs	HERB	True	True	Herbs	5	276.0	0.7246376811594203
2937	Leipe_a2	4.0	2937.0	Polygonum polycnemoides-type	Polygonum polycnemoides	HERB	Herbs	HERB	True	True	Herbs	5	276.0	1.4492753623188406
2955	Leipe_a2	2.0	2955.0	Primula/Linaria-type	Primula/Linaria-type	HERB	Herbs	HERB	True	True	Herbs	5	276.0	0.7246376811594203
2956	Leipe_a2	1.0	173.0	Scrophulariaceae undifferentiated	Scrophulariaceae (colporate-reticulate)	HERB	Herbs	HERB	True	True	Herbs	5	276.0	0.36231884057971014
2812	Leipe_a2	1.0	105.0	Sedum-type	Sedum-type	HERB	Herbs	HERB	True	True	Herbs	5	276.0	0.36231884057971014
