var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
760	Leipe_b1	9.0	155.0	Alnus glutinosa	Alnus glutinosa-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	1.6304347826086956
128	Leipe_b1	47.0	128.0	Betula sect. Albae	Betula pubescens-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	8.51449275362319
126	Leipe_b1	1.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	0.18115942028985507
1944	Leipe_b1	7.0	1944.0	Pinaceae	Pinaceae	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	1.2681159420289856
2901	Leipe_b1	8.0	124.0	Pinus subgen. Haploxylon	Pinus cembra-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	1.4492753623188406
2900	Leipe_b1	5.0	125.0	Pinus subgen. Diploxylon	Pinus sylvestris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	0.9057971014492754
90	Leipe_b1	1.0	90.0	Rhamnaceae	Rhamnaceae	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	0.18115942028985507
154	Leipe_b1	2.0	154.0	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	0.36231884057971014
6	Leipe_b1	6.0	6.0	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	552.0	1.0869565217391304
7	Leipe_b1	147.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	552.0	26.6304347826087
2905	Leipe_b1	2.0	25.0	Asteraceae subfam. Cichorioideae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.36231884057971014
136	Leipe_b1	9.0	136.0	Campanulaceae	Campanulaceae	HERB	Herbs	HERB	True	True	Herbs	5	552.0	1.6304347826086956
18	Leipe_b1	1.0	18.0	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.18115942028985507
33	Leipe_b1	5.0	33.0	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.9057971014492754
2975	Leipe_b1	1.0	165.0	Gerianiaceae	Geraniaceae	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.18115942028985507
2991	Leipe_b1	236.0	2991.0	Herbs	Herbs	UPHE	Upland herbs	HERB	True	True	Herbs	5	552.0	42.7536231884058
62	Leipe_b1	1.0	62.0	Liliaceae	Liliaceae-type	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.18115942028985507
2972	Leipe_b1	25.0	3.0	Asteraceae matricaria-type	Matricaria-type	HERB	Herbs	HERB	True	True	Herbs	5	552.0	4.528985507246377
80	Leipe_b1	14.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	552.0	2.536231884057971
135	Leipe_b1	4.0	135.0	Ranunculaceae	Ranunculaceae	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.7246376811594203
2973	Leipe_b1	8.0	235.0	Asteraceae saussurea-type	Saussurea-type	HERB	Herbs	HERB	True	True	Herbs	5	552.0	1.4492753623188406
2974	Leipe_b1	10.0	133.0	Asteraceae senecio-type	Senecio-type	HERB	Herbs	HERB	True	True	Herbs	5	552.0	1.8115942028985508
652	Leipe_b1	2.0	652.0	Urtica	Urtica	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.36231884057971014
965	Leipe_b1	1.0	183.0	Lycopodium annotinum	Lycopodium annotinum-type	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	552.0	0.18115942028985507
2981	Leipe_b1	27.0	2116.0	Centropyxis sp.	Centropyxis	ALGA	Algae	AQUA	False	True	Aquatics	7	552.0	4.891304347826087
2977	Leipe_b1	3.0	177.0	Pollen, terrestrial	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	552.0	
1096	Leipe_b1	5.0	177.0	Indeterminata	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	552.0	
2990	Leipe_b1	80.0	177.0	Trees and shrubs	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	552.0	
2908	Leipe_b1	319.0	177.0	Pollen total	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	552.0	
2979	Leipe_b1	2.0	308.0	Arcella sp.	Arcella	RHIZ	Rhizopods	NOPO	False	False	Nonpollen	30	552.0	
2983	Leipe_b1	1.0	672.0	Geumannomyces	Fungi	FUNG	Fungi	NOPO	False	False	Nonpollen	30	552.0	
554	Leipe_b1	22.0	362.0	Glomus	Glomus	FUNG	Fungi	NOPO	False	False	Nonpollen	30	552.0	
2989	Leipe_b1	230.0	2909.0	Marker	Marker (counted)	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	552.0	
2986	Leipe_b1	2.0	2985.0	Macrobiotus harmsworthi-echinogenitus	Tardigrada	INVE	Invertebrates	NOPO	False	False	Nonpollen	30	552.0	
2982	Leipe_b1	122.0	730.0	Cyclopyxis sp.	Testate amoebae	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	552.0	
