var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
560	Leroy_g2	2.0	321.0	Abies	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	264.0	0.7575757575757576
5	Leroy_g2	3.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	264.0	1.1363636363636365
581	Leroy_g2	1.0	457.0	Calluna	Calluna vulgaris	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	264.0	0.3787878787878788
16	Leroy_g2	1.0	16.0	Carpinus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	264.0	0.3787878787878788
201	Leroy_g2	1.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	264.0	0.3787878787878788
2026	Leroy_g2	2.0	455.0	Erica arborea	Erica arborea-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	264.0	0.7575757575757576
130	Leroy_g2	4.0	130.0	Ericaceae	Ericales (tetrad)	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	264.0	1.5151515151515151
192	Leroy_g2	1.0	42.0	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	264.0	0.3787878787878788
47	Leroy_g2	1.0	47.0	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	264.0	0.3787878787878788
1819	Leroy_g2	4.0	203.0	Cupressaceae	Juniperus-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	264.0	1.5151515151515151
442	Leroy_g2	3.0	68.0	Olea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	264.0	1.1363636363636365
126	Leroy_g2	1.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	264.0	0.3787878787878788
2025	Leroy_g2	89.0	125.0	Pinus diplost.	Pinus sylvestris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	264.0	33.71212121212121
189	Leroy_g2	14.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	264.0	5.303030303030303
2027	Leroy_g2	2.0	85.0	Q. sempervirens	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	264.0	0.7575757575757576
122	Leroy_g2	2.0	122.0	Vitis	Vitis	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	264.0	0.7575757575757576
2029	Leroy_g2	1.0	160.0	Asteraceae tubul.	Asteraceae subf. Asteroideae	HERB	Herbs	HERB	True	True	Herbs	5	264.0	0.3787878787878788
2028	Leroy_g2	2.0	25.0	Asteraceae ligulifl.	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	264.0	0.7575757575757576
13	Leroy_g2	5.0	13.0	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	264.0	1.893939393939394
707	Leroy_g2	47.0	24.0	Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	264.0	17.803030303030305
33	Leroy_g2	48.0	33.0	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	264.0	18.181818181818183
2035	Leroy_g2	1.0	2035.0	Emex spinosa	Emex spinosa	HERB	Herbs	HERB	True	True	Herbs	5	264.0	0.3787878787878788
2032	Leroy_g2	5.0	60.0	P. lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	264.0	1.893939393939394
80	Leroy_g2	22.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	264.0	8.333333333333332
727	Leroy_g2	1.0	94.0	Rumex	Rumex/Oxyria	HERB	Herbs	HERB	True	True	Herbs	5	264.0	0.3787878787878788
2038	Leroy_g2	1.0	220.0	Dryopteris filix mas t.	Dryopteris filix-mas-type	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	264.0	0.3787878787878788
1974	Leroy_g2	20.0	405.0	Ruppia	Ruppia	AQUA	Aquatics	AQUA	False	True	Aquatics	7	264.0	7.575757575757576
1975	Leroy_g2	1.0	176.0	Typha-Sparganium	Sparganium-type	AQUA	Aquatics	AQUA	False	True	Aquatics	7	264.0	0.3787878787878788
2041	Leroy_g2	8.0	177.0	Indéterminables	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	264.0	
