var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
3900	Lopez_a252	3.0	3044.0	Pinus pinea/halepensis-type		TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	459.0	0.6535947712418301
4091	Lopez_a252	3.0	3044.0	Rosaceae undiff,		TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	459.0	0.6535947712418301
442	Lopez_a252	3.0	68.0	Olea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	459.0	0.6535947712418301
439	Lopez_a252	5.0	439.0	Pinus pinaster	Pinus pinaster	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	459.0	1.0893246187363834
81	Lopez_a252	5.0	81.0	Populus	Populus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	459.0	1.0893246187363834
427	Lopez_a252	9.0	85.0	Quercus evergreen	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	459.0	1.9607843137254901
99	Lopez_a252	7.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	459.0	1.5250544662309369
154	Lopez_a252	1.0	154.0	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	459.0	0.2178649237472767
4375	Lopez_a252	1.0	3384.0	Vitis		LIAN	Liana	LIAN	True	True	Lianas	3	459.0	0.2178649237472767
3713	Lopez_a252	2.0	3049.0	Liliaceae undiff,		HERB	Herbs	HERB	True	True	Herbs	5	459.0	0.4357298474945534
3923	Lopez_a252	2.0	3049.0	Plantago media/major-type		HERB	Herbs	HERB	True	True	Herbs	5	459.0	0.4357298474945534
6	Lopez_a252	3.0	6.0	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	459.0	0.6535947712418301
3143	Lopez_a252	3.0	487.0	Asphodelus albus-type	Asphodelus albus-type	HERB	Herbs	HERB	True	True	Herbs	5	459.0	0.6535947712418301
597	Lopez_a252	13.0	11.0	Aster-type	Aster-type	HERB	Herbs	HERB	True	True	Herbs	5	459.0	2.832244008714597
445	Lopez_a252	19.0	336.0	Cardueae	Asteraceae subf. Carduoideae	HERB	Herbs	HERB	True	True	Herbs	5	459.0	4.139433551198257
447	Lopez_a252	99.0	25.0	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	459.0	21.568627450980394
