var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
2	Matthias_a4	3.0	2.0	Acer	Acer campestre-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1083.0	0.2770083102493075
5	Matthias_a4	65.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1083.0	6.001846722068329
12	Matthias_a4	156.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1083.0	14.40443213296399
3212	Matthias_a4	12.0	3212.0	Calluna	Calluna vulgaris	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	1083.0	1.10803324099723
16	Matthias_a4	7.0	16.0	Carpinus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1083.0	0.6463527239150507
201	Matthias_a4	11.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1083.0	1.0156971375807942
192	Matthias_a4	5.0	42.0	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1083.0	0.46168051708217916
190	Matthias_a4	1.0	190.0	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1083.0	0.09233610341643582
123	Matthias_a4	1.0	123.0	Larix	Larix/Pseudotsuga	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1083.0	0.09233610341643582
126	Matthias_a4	4.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1083.0	0.3693444136657433
75	Matthias_a4	583.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1083.0	53.83194829178208
81	Matthias_a4	1.0	81.0	Populus	Populus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1083.0	0.09233610341643582
189	Matthias_a4	68.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1083.0	6.278855032317636
99	Matthias_a4	10.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1083.0	0.9233610341643583
154	Matthias_a4	1.0	154.0	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1083.0	0.09233610341643582
3923	Matthias_a4	2.0	3049.0	Plantago media/major-type		HERB	Herbs	HERB	True	True	Herbs	5	1083.0	0.18467220683287164
3932	Matthias_a4	49.0	3049.0	Poaceae (<37 um)		HERB	Herbs	HERB	True	True	Herbs	5	1083.0	4.524469067405355
2139	Matthias_a4	1.0	2139.0	Androsace	Androsace	HERB	Herbs	HERB	True	True	Herbs	5	1083.0	0.09233610341643582
7	Matthias_a4	8.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	1083.0	0.7386888273314866
1215	Matthias_a4	4.0	1111.0	Avena-type	Avena-type	HERB	Herbs	HERB	True	True	Herbs	5	1083.0	0.3693444136657433
13	Matthias_a4	5.0	13.0	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	1083.0	0.46168051708217916
821	Matthias_a4	1.0	462.0	Centaurea cyanus	Centaurea cyanus-type	HERB	Herbs	HERB	True	True	Herbs	5	1083.0	0.09233610341643582
104	Matthias_a4	18.0	22.0	Secale	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	1083.0	1.662049861495845
24	Matthias_a4	4.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	1083.0	0.3693444136657433
3620	Matthias_a4	1.0	1744.0	Helianthus-type	Helianthus-type	HERB	Herbs	HERB	True	True	Herbs	5	1083.0	0.09233610341643582
949	Matthias_a4	11.0	258.0	Hordeum-type	Hordeum-type	HERB	Herbs	HERB	True	True	Herbs	5	1083.0	1.0156971375807942
3220	Matthias_a4	1.0	205.0	Cannabaceae	Humulus/Cannabis	HERB	Herbs	HERB	True	True	Herbs	5	1083.0	0.09233610341643582
1072	Matthias_a4	3.0	3.0	Matricaria-type	Matricaria-type	HERB	Herbs	HERB	True	True	Herbs	5	1083.0	0.2770083102493075
2967	Matthias_a4	1.0	270.0	Plantago undifferentiated	Plantago	HERB	Herbs	HERB	True	True	Herbs	5	1083.0	0.09233610341643582
60	Matthias_a4	4.0	60.0	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	1083.0	0.3693444136657433
3031	Matthias_a4	1.0	1505.0	Polygonum undifferentiated	Polygonum-type (tricolporate)	HERB	Herbs	HERB	True	True	Herbs	5	1083.0	0.09233610341643582
3036	Matthias_a4	1.0	2586.0	Primula farinosa-type	Primula farinosa-type	HERB	Herbs	HERB	True	True	Herbs	5	1083.0	0.09233610341643582
634	Matthias_a4	4.0	95.0	Rumex acetosa-type	Rumex acetosa-type	HERB	Herbs	HERB	True	True	Herbs	5	1083.0	0.3693444136657433
1398	Matthias_a4	9.0	96.0	Rumex acetosella-type	Rumex acetosella	HERB	Herbs	HERB	True	True	Herbs	5	1083.0	0.8310249307479225
1230	Matthias_a4	1.0	133.0	Senecio-type	Senecio-type	HERB	Herbs	HERB	True	True	Herbs	5	1083.0	0.09233610341643582
1779	Matthias_a4	1.0	132.0	Silene-type	Silene-type	HERB	Herbs	HERB	True	True	Herbs	5	1083.0	0.09233610341643582
1233	Matthias_a4	9.0	1199.0	Triticum-type	Triticum-type	HERB	Herbs	HERB	True	True	Herbs	5	1083.0	0.8310249307479225
652	Matthias_a4	2.0	652.0	Urtica	Urtica	HERB	Herbs	HERB	True	True	Herbs	5	1083.0	0.18467220683287164
3784	Matthias_a4	13.0	3166.0	Monolete spores (psilate)		VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	1083.0	1.2003693444136658
4305	Matthias_a4	1.0	3166.0	Trilete spores (psilate)		VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	1083.0	0.09233610341643582
3443	Matthias_a4	13.0	3075.0	Cyperaceae		AQUA	Aquatics	AQUA	False	True	Aquatics	7	1083.0	1.2003693444136658
3645	Matthias_a4	1.0	3075.0	Hydrocotyle vulgaris		AQUA	Aquatics	AQUA	False	True	Aquatics	7	1083.0	0.09233610341643582
3799	Matthias_a4	2.0	3075.0	Myriophyllum undifferentiated		AQUA	Aquatics	AQUA	False	True	Aquatics	7	1083.0	0.18467220683287164
4327	Matthias_a4	1.0	3075.0	Typha minima		AQUA	Aquatics	AQUA	False	True	Aquatics	7	1083.0	0.09233610341643582
4380	Matthias_a4	23.0	3198.0	Volvocaceae		ALGA	Algae	AQUA	False	True	Aquatics	7	1083.0	2.1237303785780237
3194	Matthias_a4	37.0	3194.0	Botryococcus braunii	Botryococcus braunii	ALGA	Algae	AQUA	False	True	Aquatics	7	1083.0	3.4164358264081254
657	Matthias_a4	2.0	108.0	Potamogeton	Potamogeton-type	AQUA	Aquatics	AQUA	False	True	Aquatics	7	1083.0	0.18467220683287164
3658	Matthias_a4	3.0	177.0	Indeterminable: unknown	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	1083.0	
3847	Matthias_a4	78.0	3388.0	Pediastrum		CHLO	Chlorophytes	NOPO	False	False	Nonpollen	30	1083.0	
4371	Matthias_a4	1.0	3738.0	Viscum		HEMI	Hemi-parasitic	NOPO	False	False	Nonpollen	30	1083.0	
