var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
3757	Mercuri_e2	14.0	3044.0	Magnoliaceae undifferentiated		TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	495.0	2.8282828282828283
3908	Mercuri_e2	1.0	3044.0	Pistacia cf. P. lentiscus		TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	495.0	0.20202020202020202
4092	Mercuri_e2	7.0	3044.0	Rosaceae undifferentiated		TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	495.0	1.4141414141414141
201	Mercuri_e2	1.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	495.0	0.20202020202020202
159	Mercuri_e2	2.0	159.0	Ephedra	Ephedra	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	495.0	0.40404040404040403
1820	Mercuri_e2	12.0	203.0	Cupressus	Juniperus-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	495.0	2.4242424242424243
509	Mercuri_e2	2.0	509.0	Myrtus	Myrtus communis	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	495.0	0.40404040404040403
442	Mercuri_e2	5.0	68.0	Olea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	495.0	1.0101010101010102
74	Mercuri_e2	2.0	74.0	Phillyrea	Phillyrea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	495.0	0.40404040404040403
75	Mercuri_e2	18.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	495.0	3.6363636363636362
1052	Mercuri_e2	5.0	85.0	Quercus ilex-type	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	495.0	1.0101010101010102
437	Mercuri_e2	6.0	86.0	Quercus deciduous	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	495.0	1.2121212121212122
3151	Mercuri_e2	14.0	3049.0	Asteroideae undifferentiated		HERB	Herbs	HERB	True	True	Herbs	5	495.0	2.8282828282828283
3197	Mercuri_e2	27.0	3049.0	Brassicaceae undifferentiated		HERB	Herbs	HERB	True	True	Herbs	5	495.0	5.454545454545454
3357	Mercuri_e2	7.0	3049.0	Chenopodiaceae undifferentiated		HERB	Herbs	HERB	True	True	Herbs	5	495.0	1.4141414141414141
3687	Mercuri_e2	5.0	3049.0	Lamiaceae undifferentiated		HERB	Herbs	HERB	True	True	Herbs	5	495.0	1.0101010101010102
3714	Mercuri_e2	12.0	3049.0	Liliaceae undifferentiated		HERB	Herbs	HERB	True	True	Herbs	5	495.0	2.4242424242424243
3939	Mercuri_e2	2.0	3049.0	Poaceae cf. Phragmites australis		HERB	Herbs	HERB	True	True	Herbs	5	495.0	0.40404040404040403
3949	Mercuri_e2	202.0	3049.0	Poaceae wild grass-group		HERB	Herbs	HERB	True	True	Herbs	5	495.0	40.80808080808081
4036	Mercuri_e2	13.0	3049.0	Ranunculaceae undifferentiated		HERB	Herbs	HERB	True	True	Herbs	5	495.0	2.6262626262626263
4152	Mercuri_e2	1.0	3049.0	Sanguisorba cf. S. minor		HERB	Herbs	HERB	True	True	Herbs	5	495.0	0.20202020202020202
4297	Mercuri_e2	6.0	3049.0	Trifolium undifferentiated		HERB	Herbs	HERB	True	True	Herbs	5	495.0	1.2121212121212122
1326	Mercuri_e2	11.0	526.0	Allium-type	Allium-type	HERB	Herbs	HERB	True	True	Herbs	5	495.0	2.2222222222222223
1797	Mercuri_e2	1.0	1797.0	Anagallis	Anagallis	HERB	Herbs	HERB	True	True	Herbs	5	495.0	0.20202020202020202
8	Mercuri_e2	3.0	8.0	Asparagus	Asparagus	HERB	Herbs	HERB	True	True	Herbs	5	495.0	0.6060606060606061
597	Mercuri_e2	4.0	11.0	Aster-type	Aster-type	HERB	Herbs	HERB	True	True	Herbs	5	495.0	0.8080808080808081
447	Mercuri_e2	23.0	25.0	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	495.0	4.646464646464646
