var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
759	Mercuri_g1	7.0	321.0	Abies alba	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	687.0	1.0189228529839884
5	Mercuri_g1	4.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	687.0	0.5822416302765648
563	Mercuri_g1	9.0	16.0	Carpinus betulus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	687.0	1.3100436681222707
441	Mercuri_g1	4.0	19.0	Castanea	Castanea sativa	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	687.0	0.5822416302765648
201	Mercuri_g1	5.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	687.0	0.727802037845706
38	Mercuri_g1	1.0	38.0	Erica	Erica	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	687.0	0.1455604075691412
57	Mercuri_g1	10.0	57.0	Juglans	Juglans	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	687.0	1.455604075691412
738	Mercuri_g1	6.0	203.0	Juniperus-type	Juniperus-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	687.0	0.8733624454148471
74	Mercuri_g1	5.0	74.0	Phillyrea	Phillyrea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	687.0	0.727802037845706
75	Mercuri_g1	214.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	687.0	31.149927219796215
81	Mercuri_g1	10.0	81.0	Populus	Populus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	687.0	1.455604075691412
437	Mercuri_g1	10.0	86.0	Quercus deciduous	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	687.0	1.455604075691412
4083	Mercuri_g1	20.0	4082.0	Rosaceae	Rosaceae	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	687.0	2.911208151382824
99	Mercuri_g1	8.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	687.0	1.1644832605531297
154	Mercuri_g1	1.0	154.0	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	687.0	0.1455604075691412
3151	Mercuri_g1	11.0	3049.0	Asteroideae undifferentiated		HERB	Herbs	HERB	True	True	Herbs	5	687.0	1.6011644832605532
3435	Mercuri_g1	24.0	3049.0	Cruciferae undifferentiated		HERB	Herbs	HERB	True	True	Herbs	5	687.0	3.4934497816593884
