var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
560	Mikishin-Gvozdeva_a104	5.0	321.0	Abies	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	539.0	0.927643784786642
5	Mikishin-Gvozdeva_a104	18.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	539.0	3.339517625231911
2224	Mikishin-Gvozdeva_a104	29.0	129.0	Alnaster (Alnus shrub-type: Alnaster fruticosus, Alnus fruticosa, Alnus maximowiczii)	Alnus viridis	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	539.0	5.380333951762523
12	Mikishin-Gvozdeva_a104	91.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	539.0	16.883116883116884
2105	Mikishin-Gvozdeva_a104	159.0	127.0	Betula nana-type	Betula nana-type	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	539.0	29.499072356215212
201	Mikishin-Gvozdeva_a104	4.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	539.0	0.7421150278293136
123	Mikishin-Gvozdeva_a104	2.0	123.0	Larix	Larix/Pseudotsuga	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	539.0	0.3710575139146568
126	Mikishin-Gvozdeva_a104	22.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	539.0	4.081632653061225
2221	Mikishin-Gvozdeva_a104	29.0	124.0	Pinus sgen. Haploxylon	Pinus cembra-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	539.0	5.380333951762523
2220	Mikishin-Gvozdeva_a104	4.0	125.0	Pinus sgen. Diploxylon	Pinus sylvestris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	539.0	0.7421150278293136
189	Mikishin-Gvozdeva_a104	24.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	539.0	4.452690166975881
154	Mikishin-Gvozdeva_a104	6.0	154.0	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	539.0	1.1131725417439702
7	Mikishin-Gvozdeva_a104	28.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	539.0	5.194805194805195
134	Mikishin-Gvozdeva_a104	1.0	134.0	Asteraceae	Asteraceae	HERB	Herbs	HERB	True	True	Herbs	5	539.0	0.1855287569573284
24	Mikishin-Gvozdeva_a104	2.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	539.0	0.3710575139146568
33	Mikishin-Gvozdeva_a104	30.0	33.0	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	539.0	5.565862708719852
80	Mikishin-Gvozdeva_a104	6.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	539.0	1.1131725417439702
138	Mikishin-Gvozdeva_a104	4.0	138.0	Polygonaceae	Polygonaceae	HERB	Herbs	HERB	True	True	Herbs	5	539.0	0.7421150278293136
135	Mikishin-Gvozdeva_a104	3.0	135.0	Ranunculaceae	Ranunculaceae	HERB	Herbs	HERB	True	True	Herbs	5	539.0	0.5565862708719851
638	Mikishin-Gvozdeva_a104	1.0	474.0	Sanguisorba	Sanguisorba officinalis	HERB	Herbs	HERB	True	True	Herbs	5	539.0	0.1855287569573284
112	Mikishin-Gvozdeva_a104	1.0	112.0	Thalictrum	Thalictrum	HERB	Herbs	HERB	True	True	Herbs	5	539.0	0.1855287569573284
147	Mikishin-Gvozdeva_a104	2.0	147.0	Bryales	Bryophyte spores	BRYO	Bryophytes	VACR	True	True	Ferns	6	539.0	0.3710575139146568
143	Mikishin-Gvozdeva_a104	1.0	143.0	Lycopodium	Lycopodium	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	539.0	0.1855287569573284
2242	Mikishin-Gvozdeva_a104	1.0	2242.0	Marchantiophyta	Marchantiophyta	UPBR	Upland Bryophytes	VACR	True	True	Ferns	6	539.0	0.1855287569573284
146	Mikishin-Gvozdeva_a104	66.0	146.0	Polypodiaceae	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	539.0	12.244897959183673
657	Mikishin-Gvozdeva_a104	1.0	108.0	Potamogeton	Potamogeton-type	AQUA	Aquatics	AQUA	False	True	Aquatics	7	539.0	0.1855287569573284
144	Mikishin-Gvozdeva_a104	16.0	144.0	Sphagnum	Sphagnum	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	539.0	
