var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
560	Mikishin-Gvozdeva_b65	4.0	321.0	Abies	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	561.0	0.7130124777183601
5	Mikishin-Gvozdeva_b65	17.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	561.0	3.0303030303030303
2224	Mikishin-Gvozdeva_b65	1.0	129.0	Alnaster (Alnus shrub-type: Alnaster fruticosus, Alnus fruticosa, Alnus maximowiczii)	Alnus viridis	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	561.0	0.17825311942959002
12	Mikishin-Gvozdeva_b65	112.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	561.0	19.964349376114082
16	Mikishin-Gvozdeva_b65	11.0	16.0	Carpinus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	561.0	1.9607843137254901
201	Mikishin-Gvozdeva_b65	9.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	561.0	1.6042780748663104
190	Mikishin-Gvozdeva_b65	2.0	190.0	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	561.0	0.35650623885918004
57	Mikishin-Gvozdeva_b65	16.0	57.0	Juglans	Juglans	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	561.0	2.8520499108734403
126	Mikishin-Gvozdeva_b65	2.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	561.0	0.35650623885918004
2221	Mikishin-Gvozdeva_b65	25.0	124.0	Pinus sgen. Haploxylon	Pinus cembra-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	561.0	4.45632798573975
2220	Mikishin-Gvozdeva_b65	96.0	125.0	Pinus sgen. Diploxylon	Pinus sylvestris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	561.0	17.11229946524064
189	Mikishin-Gvozdeva_b65	125.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	561.0	22.281639928698752
154	Mikishin-Gvozdeva_b65	5.0	154.0	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	561.0	0.8912655971479502
6	Mikishin-Gvozdeva_b65	1.0	6.0	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	561.0	0.17825311942959002
7	Mikishin-Gvozdeva_b65	47.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	561.0	8.377896613190732
134	Mikishin-Gvozdeva_b65	9.0	134.0	Asteraceae	Asteraceae	HERB	Herbs	HERB	True	True	Herbs	5	561.0	1.6042780748663104
1126	Mikishin-Gvozdeva_b65	2.0	25.0	Cichoriaceae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	561.0	0.35650623885918004
24	Mikishin-Gvozdeva_b65	4.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	561.0	0.7130124777183601
33	Mikishin-Gvozdeva_b65	24.0	33.0	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	561.0	4.27807486631016
80	Mikishin-Gvozdeva_b65	13.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	561.0	2.3172905525846703
799	Mikishin-Gvozdeva_b65	1.0	799.0	Primulaceae	Primulaceae	HERB	Herbs	HERB	True	True	Herbs	5	561.0	0.17825311942959002
638	Mikishin-Gvozdeva_b65	3.0	474.0	Sanguisorba	Sanguisorba officinalis	HERB	Herbs	HERB	True	True	Herbs	5	561.0	0.53475935828877
173	Mikishin-Gvozdeva_b65	3.0	173.0	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB	Herbs	HERB	True	True	Herbs	5	561.0	0.53475935828877
2256	Mikishin-Gvozdeva_b65	10.0	147.0	cf. Bryales	Bryophyte spores	BRYO	Bryophytes	VACR	True	True	Ferns	6	561.0	1.7825311942959003
146	Mikishin-Gvozdeva_b65	15.0	146.0	Polypodiaceae	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	561.0	2.6737967914438503
1555	Mikishin-Gvozdeva_b65	4.0	465.0	Osmunda	Osmunda regalis	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	561.0	0.7130124777183601
658	Mikishin-Gvozdeva_b65	5.0	176.0	Sparganium	Sparganium-type	AQUA	Aquatics	AQUA	False	True	Aquatics	7	561.0	0.8912655971479502
144	Mikishin-Gvozdeva_b65	1.0	144.0	Sphagnum	Sphagnum	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	561.0	
