var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
321	Montanari_b4	17.0	321.0	ABIES	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1192.0	1.4261744966442953
322	Montanari_b4	17.0	2.0	ACER	Acer campestre-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1192.0	1.4261744966442953
324	Montanari_b4	70.0	5.0	ALNUS	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1192.0	5.87248322147651
330	Montanari_b4	10.0	12.0	BETULA	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1192.0	0.8389261744966443
2655	Montanari_b4	1.0	457.0	CALLUNA	Calluna vulgaris	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1192.0	0.08389261744966443
2641	Montanari_b4	70.0	16.0	CARPINUS	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1192.0	5.87248322147651
339	Montanari_b4	37.0	19.0	CASTANEA	Castanea sativa	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1192.0	3.104026845637584
346	Montanari_b4	40.0	31.0	CORYLUS	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1192.0	3.3557046979865772
2715	Montanari_b4	9.0	455.0	ERICA arborea	Erica arborea-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1192.0	0.7550335570469799
357	Montanari_b4	42.0	42.0	FAGUS	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1192.0	3.523489932885906
359	Montanari_b4	83.0	190.0	FRAXINUS	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1192.0	6.9630872483221475
379	Montanari_b4	130.0	70.0	OSTRYA	Ostrya/Carpinus orientalis	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1192.0	10.906040268456376
2702	Montanari_b4	78.0	75.0	PINUS indiff.	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1192.0	6.543624161073826
2645	Montanari_b4	73.0	86.0	QUERCUS decid.	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1192.0	6.124161073825504
406	Montanari_b4	15.0	99.0	SALIX	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1192.0	1.2583892617449663
2648	Montanari_b4	3.0	187.0	TILIA	Tilia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1192.0	0.25167785234899326
1316	Montanari_b4	19.0	6.0	UMBELLIFERAE	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	1192.0	1.5939597315436242
328	Montanari_b4	5.0	7.0	ARTEMISIA	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	1192.0	0.41946308724832215
2722	Montanari_b4	16.0	160.0	ASTERACEAE tub.	Asteraceae subf. Asteroideae	HERB	Herbs	HERB	True	True	Herbs	5	1192.0	1.342281879194631
338	Montanari_b4	5.0	18.0	CARYOPHYLLACEAE	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	Herbs	HERB	True	True	Herbs	5	1192.0	0.41946308724832215
2720	Montanari_b4	126.0	22.0	CEREALIA t.	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	1192.0	10.570469798657719
2677	Montanari_b4	18.0	24.0	CHENOPODIACEAE	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	1192.0	1.5100671140939599
1305	Montanari_b4	21.0	59.0	LABIATAE	Lamiaceae	HERB	Herbs	HERB	True	True	Herbs	5	1192.0	1.761744966442953
386	Montanari_b4	51.0	270.0	PLANTAGO	Plantago	HERB	Herbs	HERB	True	True	Herbs	5	1192.0	4.278523489932886
388	Montanari_b4	134.0	80.0	POACEAE	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	1192.0	11.241610738255034
2724	Montanari_b4	5.0	809.0	URTICACEAE undiff.	Urticaceae	HERB	Herbs	HERB	True	True	Herbs	5	1192.0	0.41946308724832215
1319	Montanari_b4	97.0	146.0	FILICALES	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	1192.0	8.13758389261745
2697	Montanari_b4	5.0	177.0	unidentified	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	1192.0	
2732	Montanari_b4	0.0	883.0	examined volume (Vg)	Sample volume (ml)	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	1192.0	
2733	Montanari_b4	5.0	883.0	sample volume (Vp)	Sample volume (ml)	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	1192.0	
2734	Montanari_b4	126760.0	2014.0	concentration (F.P.A., grains/gram)	Total concentration	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	1192.0	
2731	Montanari_b4	2.0	2701.0	sample weight (Pp)	Weight (g)	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	1192.0	
