var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
5	Mrotzek_b1	25.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2306.0	1.0841283607979184
12	Mrotzek_b1	53.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2306.0	2.2983521248915872
186	Mrotzek_b1	24.0	16.0	Carpinus type	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2306.0	1.0407632263660018
201	Mrotzek_b1	3.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2306.0	0.13009540329575023
192	Mrotzek_b1	339.0	42.0	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2306.0	14.700780572419776
190	Mrotzek_b1	2.0	190.0	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2306.0	0.08673026886383348
838	Mrotzek_b1	1.0	49.0	Ulex type	Genista-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2306.0	0.04336513443191674
194	Mrotzek_b1	1.0	194.0	Juglans regia type	Juglans regia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2306.0	0.04336513443191674
126	Mrotzek_b1	9.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2306.0	0.39028620988725066
75	Mrotzek_b1	156.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2306.0	6.764960971379011
189	Mrotzek_b1	29.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2306.0	1.2575888985255854
837	Mrotzek_b1	1.0	153.0	Tilia cordata-Typ	Tilia cordata-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2306.0	0.04336513443191674
839	Mrotzek_b1	1.0	154.0	Ulmus glabra type	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2306.0	0.04336513443191674
7	Mrotzek_b1	1.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	2306.0	0.04336513443191674
11	Mrotzek_b1	1.0	11.0	Aster type	Aster-type	HERB	Herbs	HERB	True	True	Herbs	5	2306.0	0.04336513443191674
858	Mrotzek_b1	1.0	160.0	Serratula type	Asteraceae subf. Asteroideae	HERB	Herbs	HERB	True	True	Herbs	5	2306.0	0.04336513443191674
844	Mrotzek_b1	1.0	25.0	Asteraceae liguliflorae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	2306.0	0.04336513443191674
818	Mrotzek_b1	1.0	818.0	Avena Triticum group	Avena/Triticum-type	HERB	Herbs	HERB	True	True	Herbs	5	2306.0	0.04336513443191674
854	Mrotzek_b1	1.0	13.0	Hornungia type	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	2306.0	0.04336513443191674
18	Mrotzek_b1	1.0	18.0	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	Herbs	HERB	True	True	Herbs	5	2306.0	0.04336513443191674
821	Mrotzek_b1	3.0	462.0	Centaurea cyanus	Centaurea cyanus-type	HERB	Herbs	HERB	True	True	Herbs	5	2306.0	0.13009540329575023
822	Mrotzek_b1	1.0	22.0	Cerealia undiff.	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	2306.0	0.04336513443191674
827	Mrotzek_b1	1.0	22.0	Hordeum group	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	2306.0	0.04336513443191674
823	Mrotzek_b1	2.0	24.0	Chenopodiaceae and Amaran.	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	2306.0	0.08673026886383348
33	Mrotzek_b1	15.0	33.0	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	2306.0	0.6504770164787511
45	Mrotzek_b1	1.0	45.0	Filipendula	Filipendula	HERB	Herbs	HERB	True	True	Herbs	5	2306.0	0.04336513443191674
855	Mrotzek_b1	8.0	855.0	Impatiens	Impatiens	HERB	Herbs	HERB	True	True	Herbs	5	2306.0	0.3469210754553339
831	Mrotzek_b1	5.0	831.0	Lamium album-Typ	Lamium album-type	HERB	Herbs	HERB	True	True	Herbs	5	2306.0	0.21682567215958368
226	Mrotzek_b1	5.0	3.0	Anthemis type	Matricaria-type	HERB	Herbs	HERB	True	True	Herbs	5	2306.0	0.21682567215958368
249	Mrotzek_b1	45.0	80.0	Wild grass group	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	2306.0	1.9514310494362535
262	Mrotzek_b1	1.0	262.0	Polygonum aviculare type	Polygonum aviculare-type	HERB	Herbs	HERB	True	True	Herbs	5	2306.0	0.04336513443191674
87	Mrotzek_b1	1.0	87.0	Ranunculus acris type	Ranunculus acris-type	HERB	Herbs	HERB	True	True	Herbs	5	2306.0	0.04336513443191674
250	Mrotzek_b1	13.0	95.0	Rumex acetosa type	Rumex acetosa-type	HERB	Herbs	HERB	True	True	Herbs	5	2306.0	0.5637467476149176
256	Mrotzek_b1	8.0	256.0	Secale cereale	Secale cereale	HERB	Herbs	HERB	True	True	Herbs	5	2306.0	0.3469210754553339
