var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
195	Mrotzek_d1	6.0	2.0	Acer campestre type	Acer campestre-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	447.0	1.342281879194631
5	Mrotzek_d1	23.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	447.0	5.1454138702460845
12	Mrotzek_d1	11.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	447.0	2.460850111856823
884	Mrotzek_d1	1.0	884.0	Betula/Corylus	Betula/Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	447.0	0.22371364653243847
186	Mrotzek_d1	14.0	16.0	Carpinus type	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	447.0	3.131991051454139
201	Mrotzek_d1	5.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	447.0	1.1185682326621924
192	Mrotzek_d1	52.0	42.0	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	447.0	11.6331096196868
190	Mrotzek_d1	1.0	190.0	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	447.0	0.22371364653243847
126	Mrotzek_d1	6.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	447.0	1.342281879194631
75	Mrotzek_d1	79.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	447.0	17.67337807606264
189	Mrotzek_d1	106.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	447.0	23.713646532438478
187	Mrotzek_d1	1.0	187.0	Tilia	Tilia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	447.0	0.22371364653243847
590	Mrotzek_d1	5.0	6.0	Umbelliferae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	447.0	1.1185682326621924
7	Mrotzek_d1	5.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	447.0	1.1185682326621924
818	Mrotzek_d1	1.0	818.0	Avena Triticum group	Avena/Triticum-type	HERB	Herbs	HERB	True	True	Herbs	5	447.0	0.22371364653243847
18	Mrotzek_d1	1.0	18.0	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	Herbs	HERB	True	True	Herbs	5	447.0	0.22371364653243847
886	Mrotzek_d1	2.0	22.0	Cerealia undiff. type	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	447.0	0.44742729306487694
827	Mrotzek_d1	16.0	22.0	Hordeum group	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	447.0	3.5794183445190155
212	Mrotzek_d1	2.0	24.0	Chenopodiaceae and Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	447.0	0.44742729306487694
33	Mrotzek_d1	24.0	33.0	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	447.0	5.369127516778524
45	Mrotzek_d1	1.0	45.0	Filipendula	Filipendula	HERB	Herbs	HERB	True	True	Herbs	5	447.0	0.22371364653243847
261	Mrotzek_d1	4.0	261.0	Hornungia type	Hornungia-type	HERB	Herbs	HERB	True	True	Herbs	5	447.0	0.8948545861297539
226	Mrotzek_d1	1.0	3.0	Anthemis type	Matricaria-type	HERB	Herbs	HERB	True	True	Herbs	5	447.0	0.22371364653243847
908	Mrotzek_d1	6.0	908.0	Oenanthe fistulosa type	Oenanthe	HERB	Herbs	HERB	True	True	Herbs	5	447.0	1.342281879194631
249	Mrotzek_d1	46.0	80.0	Wild grass group	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	447.0	10.290827740492169
87	Mrotzek_d1	2.0	87.0	Ranunculus acris type	Ranunculus acris-type	HERB	Herbs	HERB	True	True	Herbs	5	447.0	0.44742729306487694
250	Mrotzek_d1	2.0	95.0	Rumex acetosa type	Rumex acetosa-type	HERB	Herbs	HERB	True	True	Herbs	5	447.0	0.44742729306487694
96	Mrotzek_d1	5.0	96.0	Rumex acetosella	Rumex acetosella	HERB	Herbs	HERB	True	True	Herbs	5	447.0	1.1185682326621924
256	Mrotzek_d1	4.0	256.0	Secale cereale	Secale cereale	HERB	Herbs	HERB	True	True	Herbs	5	447.0	0.8948545861297539
246	Mrotzek_d1	4.0	246.0	Sinapis type	Sinapis-type	HERB	Herbs	HERB	True	True	Herbs	5	447.0	0.8948545861297539
145	Mrotzek_d1	1.0	145.0	Equisetum	Equisetum	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	447.0	0.22371364653243847
911	Mrotzek_d1	10.0	146.0	Polypodiaceae without perine	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	447.0	2.237136465324385
712	Mrotzek_d1	25.0	712.0	Centropyxis aculeata	Centropyxis aculeata	ALGA	Algae	AQUA	False	True	Aquatics	7	447.0	5.592841163310962
