var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
195	Mrotzek_f1	3.0	2.0	Acer campestre type	Acer campestre-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2235.0	0.1342281879194631
5	Mrotzek_f1	276.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2235.0	12.348993288590604
12	Mrotzek_f1	261.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2235.0	11.677852348993287
457	Mrotzek_f1	1.0	457.0	Calluna vulgaris	Calluna vulgaris	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2235.0	0.0447427293064877
186	Mrotzek_f1	4.0	16.0	Carpinus type	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2235.0	0.1789709172259508
201	Mrotzek_f1	95.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2235.0	4.250559284116331
192	Mrotzek_f1	35.0	42.0	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2235.0	1.5659955257270695
190	Mrotzek_f1	7.0	190.0	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2235.0	0.3131991051454139
58	Mrotzek_f1	6.0	58.0	Juniperus	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2235.0	0.2684563758389262
123	Mrotzek_f1	2.0	123.0	Larix	Larix/Pseudotsuga	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2235.0	0.0894854586129754
68	Mrotzek_f1	1.0	68.0	Olea europaea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2235.0	0.0447427293064877
126	Mrotzek_f1	30.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2235.0	1.342281879194631
75	Mrotzek_f1	464.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2235.0	20.76062639821029
189	Mrotzek_f1	92.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2235.0	4.116331096196868
99	Mrotzek_f1	13.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2235.0	0.5816554809843401
187	Mrotzek_f1	1.0	187.0	Tilia	Tilia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2235.0	0.0447427293064877
837	Mrotzek_f1	1.0	153.0	Tilia cordata-Typ	Tilia cordata-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2235.0	0.0447427293064877
839	Mrotzek_f1	3.0	154.0	Ulmus glabra type	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2235.0	0.1342281879194631
936	Mrotzek_f1	1.0	936.0	Pulmonaria type	Anchusa/Pulmonaria	HERB	Herbs	HERB	True	True	Herbs	5	2235.0	0.0447427293064877
590	Mrotzek_f1	3.0	6.0	Umbelliferae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	2235.0	0.1342281879194631
7	Mrotzek_f1	15.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	2235.0	0.6711409395973155
816	Mrotzek_f1	2.0	25.0	Asteraceae (liguliflorae)	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	2235.0	0.0894854586129754
