var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
5	MunozSobrino_a30	36.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	191.0	18.848167539267017
2740	MunozSobrino_a30	4.0	19.0	Castanea-type	Castanea sativa	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	191.0	2.094240837696335
201	MunozSobrino_a30	2.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	191.0	1.0471204188481675
38	MunozSobrino_a30	7.0	38.0	Erica	Erica	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	191.0	3.664921465968586
2540	MunozSobrino_a30	1.0	49.0	Ulex-type	Genista-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	191.0	0.5235602094240838
2754	MunozSobrino_a30	1.0	203.0	Juniperus/Cupressaceae	Juniperus-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	191.0	0.5235602094240838
75	MunozSobrino_a30	43.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	191.0	22.5130890052356
152	MunozSobrino_a30	5.0	86.0	Quercus robur-type	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	191.0	2.6178010471204187
99	MunozSobrino_a30	2.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	191.0	1.0471204188481675
590	MunozSobrino_a30	4.0	6.0	Umbelliferae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	191.0	2.094240837696335
134	MunozSobrino_a30	22.0	134.0	Asteraceae	Asteraceae	HERB	Herbs	HERB	True	True	Herbs	5	191.0	11.518324607329843
13	MunozSobrino_a30	1.0	13.0	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	191.0	0.5235602094240838
24	MunozSobrino_a30	3.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	191.0	1.5706806282722512
33	MunozSobrino_a30	12.0	33.0	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	191.0	6.282722513089005
52	MunozSobrino_a30	1.0	52.0	Helianthemum	Helianthemum	HERB	Herbs	HERB	True	True	Herbs	5	191.0	0.5235602094240838
2767	MunozSobrino_a30	1.0	64.0	Plantago maritima-type	Plantago maritima-type	HERB	Herbs	HERB	True	True	Herbs	5	191.0	0.5235602094240838
80	MunozSobrino_a30	26.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	191.0	13.612565445026178
138	MunozSobrino_a30	2.0	138.0	Polygonaceae	Polygonaceae	HERB	Herbs	HERB	True	True	Herbs	5	191.0	1.0471204188481675
2432	MunozSobrino_a30	1.0	274.0	Ranunculus-type	Ranunculus-type	HERB	Herbs	HERB	True	True	Herbs	5	191.0	0.5235602094240838
652	MunozSobrino_a30	1.0	652.0	Urtica	Urtica	HERB	Herbs	HERB	True	True	Herbs	5	191.0	0.5235602094240838
2170	MunozSobrino_a30	10.0	146.0	Monolete	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	191.0	5.2356020942408374
465	MunozSobrino_a30	1.0	465.0	Osmunda regalis	Osmunda regalis	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	191.0	0.5235602094240838
2769	MunozSobrino_a30	1.0	214.0	Polypodium sporangia	Polypodium	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	191.0	0.5235602094240838
180	MunozSobrino_a30	3.0	180.0	Pteridium aquilinum	Pteridium aquilinum	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	191.0	1.5706806282722512
2173	MunozSobrino_a30	1.0	279.0	Trilete	Trilete spore(s)	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	191.0	0.5235602094240838
2737	MunozSobrino_a30	15.0	2737.0	Botryococcus	Botryococcus cf. B. terribilis	ALGA	Algae	AQUA	False	True	Aquatics	7	191.0	7.853403141361256
2743	MunozSobrino_a30	116.0	2743.0	Chlorococcales	Chlorococcales	ALGA	Algae	AQUA	False	True	Aquatics	7	191.0	60.73298429319372
2761	MunozSobrino_a30	39.0	2761.0	Non-septate filamentous algae undet.	Non-septate filamentous algae undet.	ALGA	Algae	AQUA	False	True	Aquatics	7	191.0	20.418848167539267
662	MunozSobrino_a30	3.0	662.0	Pediastrum	Pediastrum	ALGA	Algae	AQUA	False	True	Aquatics	7	191.0	1.5706806282722512
729	MunozSobrino_a30	6.0	315.0	Spirogyra	Spirogyra	ALGA	Algae	AQUA	False	True	Aquatics	7	191.0	3.1413612565445024
2790	MunozSobrino_a30	6.0	2790.0	Type 225	Type 225/229	ALGA	Algae	AQUA	False	True	Aquatics	7	191.0	3.1413612565445024
1234	MunozSobrino_a30	1.0	914.0	Typha latifolia-type	Typha latifolia-type	HELO	Helophytes	AQUA	False	True	Aquatics	7	191.0	0.5235602094240838
2774	MunozSobrino_a30	6.0	2774.0	Ullotrix/Microspora-type	Ullotrix/Microspora-type	ALGA	Algae	AQUA	False	True	Aquatics	7	191.0	3.1413612565445024
660	MunozSobrino_a30	3.0	308.0	Arcella	Arcella	RHIZ	Rhizopods	NOPO	False	False	Nonpollen	30	191.0	
687	MunozSobrino_a30	9.0	687.0	Assulina	Assulina	RHIZ	Rhizopods	NOPO	False	False	Nonpollen	30	191.0	
2747	MunozSobrino_a30	5.0	2747.0	Elater	Elater	MACR	Macrofossils	NOPO	False	False	Nonpollen	30	191.0	
2748	MunozSobrino_a30	5.0	2748.0	Eucalyptus	Eucalyptus spike (counted)	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	191.0	
2749	MunozSobrino_a30	24.0	358.0	Foram	Foraminifera	INVE	Invertebrates	NOPO	False	False	Nonpollen	30	191.0	
2750	MunozSobrino_a30	365.0	2750.0	Hiphae	Fungal Hyphae	FUNG	Fungi	NOPO	False	False	Nonpollen	30	191.0	
2764	MunozSobrino_a30	30.0	2022.0	Fungal spore undet.	Fungal spore	FUNG	Fungi	NOPO	False	False	Nonpollen	30	191.0	
1252	MunozSobrino_a30	6.0	1252.0	Gloeotrichia	Gloeotrichia	CYAN	Cyanobacteria	NOPO	False	False	Nonpollen	30	191.0	
554	MunozSobrino_a30	15.0	362.0	Glomus	Glomus	FUNG	Fungi	NOPO	False	False	Nonpollen	30	191.0	
2793	MunozSobrino_a30	30.0	2793.0	Artropod	Invertebrata	INVE	Invertebrates	NOPO	False	False	Nonpollen	30	191.0	
2757	MunozSobrino_a30	27.0	2757.0	Multiseptate conidia undet.	Multiseptate conidia undet.	FUNG	Fungi	NOPO	False	False	Nonpollen	30	191.0	
2760	MunozSobrino_a30	3.0	304.0	Neurospora	Neurospora	FUNG	Fungi	NOPO	False	False	Nonpollen	30	191.0	
2766	MunozSobrino_a30	3.0	2766.0	Phytolith	Phytolith	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	191.0	
2775	MunozSobrino_a30	196.0	2775.0	Sordariaceus ascospores	Sordariaceus ascospores	FUNG	Fungi	NOPO	False	False	Nonpollen	30	191.0	
2778	MunozSobrino_a30	6.0	2778.0	Stomata undiff.	Stomata	VEMI	Vegetative microfossils	NOPO	False	False	Nonpollen	30	191.0	
2780	MunozSobrino_a30	83.0	2780.0	Type 1066	Type 1066	FUNG	Fungi	NOPO	False	False	Nonpollen	30	191.0	
2783	MunozSobrino_a30	12.0	2783.0	Type 143	Type 143	FUNG	Fungi	NOPO	False	False	Nonpollen	30	191.0	
2787	MunozSobrino_a30	39.0	2787.0	Type 200	Type 200	FUNG	Fungi	NOPO	False	False	Nonpollen	30	191.0	
2788	MunozSobrino_a30	116.0	2788.0	Type 201	Type 201	FUNG	Fungi	NOPO	False	False	Nonpollen	30	191.0	
2796	MunozSobrino_a30	15.0	2796.0	Xilariaceae	Xylariaceae	FUNG	Fungi	NOPO	False	False	Nonpollen	30	191.0	
