var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
5	MunozSobrino_a38	10.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	186.0	5.376344086021505
12	MunozSobrino_a38	4.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	186.0	2.1505376344086025
2740	MunozSobrino_a38	2.0	19.0	Castanea-type	Castanea sativa	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	186.0	1.0752688172043012
201	MunozSobrino_a38	2.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	186.0	1.0752688172043012
38	MunozSobrino_a38	23.0	38.0	Erica	Erica	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	186.0	12.365591397849462
2540	MunozSobrino_a38	2.0	49.0	Ulex-type	Genista-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	186.0	1.0752688172043012
75	MunozSobrino_a38	72.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	186.0	38.70967741935484
152	MunozSobrino_a38	11.0	86.0	Quercus robur-type	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	186.0	5.913978494623656
99	MunozSobrino_a38	1.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	186.0	0.5376344086021506
2772	MunozSobrino_a38	1.0	100.0	Sambucus nigra-type	Sambucus nigra	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	186.0	0.5376344086021506
590	MunozSobrino_a38	1.0	6.0	Umbelliferae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	186.0	0.5376344086021506
134	MunozSobrino_a38	11.0	134.0	Asteraceae	Asteraceae	HERB	Herbs	HERB	True	True	Herbs	5	186.0	5.913978494623656
13	MunozSobrino_a38	1.0	13.0	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	186.0	0.5376344086021506
24	MunozSobrino_a38	1.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	186.0	0.5376344086021506
52	MunozSobrino_a38	2.0	52.0	Helianthemum	Helianthemum	HERB	Herbs	HERB	True	True	Herbs	5	186.0	1.0752688172043012
1220	MunozSobrino_a38	1.0	829.0	Hypericum perforatum-type	Hypericum perforatum-type	HERB	Herbs	HERB	True	True	Herbs	5	186.0	0.5376344086021506
2767	MunozSobrino_a38	1.0	64.0	Plantago maritima-type	Plantago maritima-type	HERB	Herbs	HERB	True	True	Herbs	5	186.0	0.5376344086021506
80	MunozSobrino_a38	18.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	186.0	9.67741935483871
138	MunozSobrino_a38	1.0	138.0	Polygonaceae	Polygonaceae	HERB	Herbs	HERB	True	True	Herbs	5	186.0	0.5376344086021506
2432	MunozSobrino_a38	4.0	274.0	Ranunculus-type	Ranunculus-type	HERB	Herbs	HERB	True	True	Herbs	5	186.0	2.1505376344086025
957	MunozSobrino_a38	1.0	642.0	Saxifraga stellaris-type	Saxifraga stellaris-type	HERB	Herbs	HERB	True	True	Herbs	5	186.0	0.5376344086021506
2170	MunozSobrino_a38	4.0	146.0	Monolete	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	186.0	2.1505376344086025
2602	MunozSobrino_a38	1.0	214.0	Polypodium vulgare-type	Polypodium	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	186.0	0.5376344086021506
180	MunozSobrino_a38	2.0	180.0	Pteridium aquilinum	Pteridium aquilinum	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	186.0	1.0752688172043012
2173	MunozSobrino_a38	9.0	279.0	Trilete	Trilete spore(s)	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	186.0	4.838709677419355
2737	MunozSobrino_a38	8.0	2737.0	Botryococcus	Botryococcus cf. B. terribilis	ALGA	Algae	AQUA	False	True	Aquatics	7	186.0	4.301075268817205
2743	MunozSobrino_a38	11.0	2743.0	Chlorococcales	Chlorococcales	ALGA	Algae	AQUA	False	True	Aquatics	7	186.0	5.913978494623656
552	MunozSobrino_a38	1.0	366.0	Isoetes	Isoetes	AQPT	Aquatic Pteridophyta	AQUA	False	True	Aquatics	7	186.0	0.5376344086021506
2761	MunozSobrino_a38	7.0	2761.0	Non-septate filamentous algae undet.	Non-septate filamentous algae undet.	ALGA	Algae	AQUA	False	True	Aquatics	7	186.0	3.763440860215054
729	MunozSobrino_a38	1.0	315.0	Spirogyra	Spirogyra	ALGA	Algae	AQUA	False	True	Aquatics	7	186.0	0.5376344086021506
1234	MunozSobrino_a38	2.0	914.0	Typha latifolia-type	Typha latifolia-type	HELO	Helophytes	AQUA	False	True	Aquatics	7	186.0	1.0752688172043012
2746	MunozSobrino_a38	3.0	2746.0	Eggs	Eggs: indeterminable	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	186.0	
2765	MunozSobrino_a38	3.0	177.0	Phragmospore undet.	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	186.0	
2776	MunozSobrino_a38	2.0	2776.0	Spicules	Spicules	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	186.0	
2736	MunozSobrino_a38	1.0	2736.0	Bitectatodinium tepikiense	Bitectatodinium tepikiense	DINO	Dinoflagellates	NOPO	False	False	Nonpollen	30	186.0	
2763	MunozSobrino_a38	10.0	2763.0	Oscillatoria	Cyanobacteria	CYAN	Cyanobacteria	NOPO	False	False	Nonpollen	30	186.0	
2747	MunozSobrino_a38	2.0	2747.0	Elater	Elater	MACR	Macrofossils	NOPO	False	False	Nonpollen	30	186.0	
2748	MunozSobrino_a38	1.0	2748.0	Eucalyptus	Eucalyptus spike (counted)	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	186.0	
2749	MunozSobrino_a38	3.0	358.0	Foram	Foraminifera	INVE	Invertebrates	NOPO	False	False	Nonpollen	30	186.0	
2750	MunozSobrino_a38	56.0	2750.0	Hiphae	Fungal Hyphae	FUNG	Fungi	NOPO	False	False	Nonpollen	30	186.0	
2764	MunozSobrino_a38	3.0	2022.0	Fungal spore undet.	Fungal spore	FUNG	Fungi	NOPO	False	False	Nonpollen	30	186.0	
2752	MunozSobrino_a38	1.0	2752.0	Impagidinium	Impagidinium	DINO	Dinoflagellates	NOPO	False	False	Nonpollen	30	186.0	
2793	MunozSobrino_a38	4.0	2793.0	Artropod	Invertebrata	INVE	Invertebrates	NOPO	False	False	Nonpollen	30	186.0	
2756	MunozSobrino_a38	180.0	2756.0	Lingulodinium	Lingulodinium	DINO	Dinoflagellates	NOPO	False	False	Nonpollen	30	186.0	
2757	MunozSobrino_a38	6.0	2757.0	Multiseptate conidia undet.	Multiseptate conidia undet.	FUNG	Fungi	NOPO	False	False	Nonpollen	30	186.0	
2741	MunozSobrino_a38	1.0	2741.0	Operculodinium	Operculodinium	DINO	Dinoflagellates	NOPO	False	False	Nonpollen	30	186.0	
2766	MunozSobrino_a38	5.0	2766.0	Phytolith	Phytolith	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	186.0	
2768	MunozSobrino_a38	1.0	2768.0	Polykrikos	Polykriko	DINO	Dinoflagellates	NOPO	False	False	Nonpollen	30	186.0	
2775	MunozSobrino_a38	7.0	2775.0	Sordariaceus ascospores	Sordariaceus ascospores	FUNG	Fungi	NOPO	False	False	Nonpollen	30	186.0	
2777	MunozSobrino_a38	6.0	412.0	Spiniferites	Spiniferites	DINO	Dinoflagellates	NOPO	False	False	Nonpollen	30	186.0	
2786	MunozSobrino_a38	1.0	2786.0	Type 180	Type 180	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	186.0	
2788	MunozSobrino_a38	1.0	2788.0	Type 201	Type 201	FUNG	Fungi	NOPO	False	False	Nonpollen	30	186.0	
2789	MunozSobrino_a38	1.0	2789.0	Type 219	Type 219	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	186.0	
2794	MunozSobrino_a38	14.0	2794.0	Vegetal	Vegetative remains	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	186.0	
