var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
560	Nakagawa_c13	16.0	321.0	Abies	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	517.0	3.0947775628626695
2	Nakagawa_c13	2.0	2.0	Acer	Acer campestre-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	517.0	0.3868471953578337
5	Nakagawa_c13	105.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	517.0	20.309477756286267
12	Nakagawa_c13	20.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	517.0	3.8684719535783367
16	Nakagawa_c13	2.0	16.0	Carpinus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	517.0	0.3868471953578337
201	Nakagawa_c13	2.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	517.0	0.3868471953578337
2223	Nakagawa_c13	46.0	2223.0	Cryptomeria	Cryptomeria-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	517.0	8.897485493230175
192	Nakagawa_c13	1.0	42.0	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	517.0	0.19342359767891684
2446	Nakagawa_c13	4.0	2200.0	Juglans-Pterocarya	Juglandaceae	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	517.0	0.7736943907156674
123	Nakagawa_c13	12.0	123.0	Larix	Larix/Pseudotsuga	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	517.0	2.321083172147002
2175	Nakagawa_c13	1.0	977.0	Myrica	Myrica	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	517.0	0.19342359767891684
126	Nakagawa_c13	4.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	517.0	0.7736943907156674
75	Nakagawa_c13	21.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	517.0	4.061895551257253
2468	Nakagawa_c13	1.0	85.0	Quercus-E	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	517.0	0.19342359767891684
2467	Nakagawa_c13	238.0	86.0	Quercus-D	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	517.0	46.03481624758221
1954	Nakagawa_c13	13.0	154.0	Ulmus-Zelkova	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	517.0	2.5145067698259185
7	Nakagawa_c13	13.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	517.0	2.5145067698259185
2506	Nakagawa_c13	6.0	134.0	Compo.	Asteraceae	HERB	Herbs	HERB	True	True	Herbs	5	517.0	1.160541586073501
2505	Nakagawa_c13	5.0	24.0	Chenopo.	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	517.0	0.9671179883945842
2504	Nakagawa_c13	5.0	80.0	Gramine.	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	517.0	0.9671179883945842
