var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
5	Nielsen_a2	61.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	297.0	20.53872053872054
12	Nielsen_a2	23.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	297.0	7.744107744107744
3212	Nielsen_a2	3.0	3212.0	Calluna	Calluna vulgaris	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	297.0	1.0101010101010102
563	Nielsen_a2	1.0	16.0	Carpinus betulus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	297.0	0.33670033670033667
31	Nielsen_a2	31.0	31.0	Corylus avellana	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	297.0	10.437710437710438
42	Nielsen_a2	90.0	42.0	Fagus sylvatica	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	297.0	30.303030303030305
47	Nielsen_a2	3.0	47.0	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	297.0	1.0101010101010102
2607	Nielsen_a2	1.0	977.0	Myrica gale	Myrica	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	297.0	0.33670033670033667
75	Nielsen_a2	22.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	297.0	7.4074074074074066
81	Nielsen_a2	1.0	81.0	Populus	Populus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	297.0	0.33670033670033667
189	Nielsen_a2	17.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	297.0	5.723905723905724
187	Nielsen_a2	1.0	187.0	Tilia	Tilia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	297.0	0.33670033670033667
154	Nielsen_a2	1.0	154.0	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	297.0	0.33670033670033667
24	Nielsen_a2	1.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	297.0	0.33670033670033667
949	Nielsen_a2	2.0	258.0	Hordeum-type	Hordeum-type	HERB	Herbs	HERB	True	True	Herbs	5	297.0	0.6734006734006733
2582	Nielsen_a2	1.0	595.0	Pimpinella major-type	Pimpinella major-type	HERB	Herbs	HERB	True	True	Herbs	5	297.0	0.33670033670033667
60	Nielsen_a2	2.0	60.0	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	297.0	0.6734006734006733
80	Nielsen_a2	25.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	297.0	8.417508417508419
96	Nielsen_a2	3.0	96.0	Rumex acetosella	Rumex acetosella	HERB	Herbs	HERB	True	True	Herbs	5	297.0	1.0101010101010102
256	Nielsen_a2	7.0	256.0	Secale cereale	Secale cereale	HERB	Herbs	HERB	True	True	Herbs	5	297.0	2.356902356902357
117	Nielsen_a2	1.0	117.0	Urtica dioica	Urtica dioica	HERB	Herbs	HERB	True	True	Herbs	5	297.0	0.33670033670033667
3234	Nielsen_a2	2.0	3075.0	Carex-type		AQUA	Aquatics	AQUA	False	True	Aquatics	7	297.0	0.6734006734006733
4045	Nielsen_a2	1.0	3075.0	Ranunculus flammula-type		AQUA	Aquatics	AQUA	False	True	Aquatics	7	297.0	0.33670033670033667
