var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
5	Niemeyer_a29	87.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	540.0	16.11111111111111
12	Niemeyer_a29	267.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	540.0	49.44444444444444
740	Niemeyer_a29	2.0	531.0	Cassiope	Erica ciliaris-type	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	540.0	0.3703703703703704
123	Niemeyer_a29	3.0	123.0	Larix	Larix/Pseudotsuga	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	540.0	0.5555555555555556
1258	Niemeyer_a29	7.0	1258.0	Ledum	Ledum palustre	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	540.0	1.2962962962962963
1944	Niemeyer_a29	7.0	1944.0	Pinaceae	Pinaceae	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	540.0	1.2962962962962963
141	Niemeyer_a29	1.0	141.0	Rubus	Rubus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	540.0	0.1851851851851852
99	Niemeyer_a29	3.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	540.0	0.5555555555555556
540	Niemeyer_a29	11.0	540.0	Vaccinium	Vaccinium	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	540.0	2.037037037037037
6	Niemeyer_a29	1.0	6.0	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	540.0	0.1851851851851852
7	Niemeyer_a29	2.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	540.0	0.3703703703703704
13	Niemeyer_a29	1.0	13.0	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	540.0	0.1851851851851852
33	Niemeyer_a29	85.0	33.0	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	540.0	15.74074074074074
41	Niemeyer_a29	5.0	41.0	Fabaceae	Fabaceae	HERB	Herbs	HERB	True	True	Herbs	5	540.0	0.9259259259259258
59	Niemeyer_a29	1.0	59.0	Lamiaceae	Lamiaceae	HERB	Herbs	HERB	True	True	Herbs	5	540.0	0.1851851851851852
80	Niemeyer_a29	43.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	540.0	7.962962962962964
626	Niemeyer_a29	4.0	512.0	Potentilla-type	Potentilla-type	HERB	Herbs	HERB	True	True	Herbs	5	540.0	0.7407407407407408
3010	Niemeyer_a29	1.0	2875.0	Ranunculus arvensis-type	Ranunculus arvensis-type	HERB	Herbs	HERB	True	True	Herbs	5	540.0	0.1851851851851852
2906	Niemeyer_a29	1.0	2906.0	Rhinanthus-group	Rhinanthus-type/Veronica-type	HERB	Herbs	HERB	True	True	Herbs	5	540.0	0.1851851851851852
727	Niemeyer_a29	3.0	94.0	Rumex	Rumex/Oxyria	HERB	Herbs	HERB	True	True	Herbs	5	540.0	0.5555555555555556
491	Niemeyer_a29	1.0	491.0	Saxifraga	Saxifraga	HERB	Herbs	HERB	True	True	Herbs	5	540.0	0.1851851851851852
1230	Niemeyer_a29	4.0	133.0	Senecio-type	Senecio-type	HERB	Herbs	HERB	True	True	Herbs	5	540.0	0.7407407407407408
2909	Niemeyer_a29	160.0	2909.0	Marker, found	Marker (counted)	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	540.0	
