var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
560	Ortu_a14	8.0	321.0	Abies	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	201.0	3.9800995024875623
561	Ortu_a14	4.0	129.0	Alnus viridis	Alnus viridis	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	201.0	1.9900497512437811
192	Ortu_a14	1.0	42.0	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	201.0	0.4975124378109453
126	Ortu_a14	10.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	201.0	4.975124378109453
75	Ortu_a14	124.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	201.0	61.69154228855721
1052	Ortu_a14	4.0	85.0	Quercus ilex-type	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	201.0	1.9900497512437811
437	Ortu_a14	3.0	86.0	Quercus deciduous	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	201.0	1.4925373134328357
498	Ortu_a14	1.0	498.0	Geranium	Geranium	HERB	Herbs	HERB	True	True	Herbs	5	201.0	0.4975124378109453
80	Ortu_a14	46.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	201.0	22.885572139303484
3443	Ortu_a14	23.0	3075.0	Cyperaceae		AQUA	Aquatics	AQUA	False	True	Aquatics	7	201.0	11.442786069651742
