var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
560	Ortu_d45	1.0	321.0	Abies	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	293.0	0.3412969283276451
5	Ortu_d45	1.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	293.0	0.3412969283276451
188	Ortu_d45	2.0	188.0	Buxus	Buxus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	293.0	0.6825938566552902
201	Ortu_d45	5.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	293.0	1.7064846416382253
57	Ortu_d45	2.0	57.0	Juglans	Juglans	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	293.0	0.6825938566552902
781	Ortu_d45	3.0	781.0	Oleaceae	Oleaceae	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	293.0	1.023890784982935
126	Ortu_d45	3.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	293.0	1.023890784982935
75	Ortu_d45	251.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	293.0	85.6655290102389
152	Ortu_d45	6.0	86.0	Quercus robur-type	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	293.0	2.04778156996587
4083	Ortu_d45	1.0	4082.0	Rosaceae	Rosaceae	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	293.0	0.3412969283276451
99	Ortu_d45	1.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	293.0	0.3412969283276451
154	Ortu_d45	1.0	154.0	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	293.0	0.3412969283276451
3106	Ortu_d45	1.0	3049.0	Anthemidae		HERB	Herbs	HERB	True	True	Herbs	5	293.0	0.3412969283276451
3230	Ortu_d45	1.0	3049.0	Cardiaceae		HERB	Herbs	HERB	True	True	Herbs	5	293.0	0.3412969283276451
7	Ortu_d45	1.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	293.0	0.3412969283276451
447	Ortu_d45	1.0	25.0	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	293.0	0.3412969283276451
724	Ortu_d45	2.0	270.0	Plantago	Plantago	HERB	Herbs	HERB	True	True	Herbs	5	293.0	0.6825938566552902
1601	Ortu_d45	5.0	80.0	Gramineae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	293.0	1.7064846416382253
135	Ortu_d45	1.0	135.0	Ranunculaceae	Ranunculaceae	HERB	Herbs	HERB	True	True	Herbs	5	293.0	0.3412969283276451
756	Ortu_d45	1.0	631.0	Euphrasia	Rhinanthus-type	HERB	Herbs	HERB	True	True	Herbs	5	293.0	0.3412969283276451
173	Ortu_d45	3.0	173.0	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB	Herbs	HERB	True	True	Herbs	5	293.0	1.023890784982935
