var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
560	Panajiotidis_a26	1.0	321.0	Abies	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	954.0	0.10482180293501049
5	Panajiotidis_a26	2.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	954.0	0.20964360587002098
1631	Panajiotidis_a26	3.0	327.0	Arbutus	Arbutus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	954.0	0.3144654088050315
563	Panajiotidis_a26	6.0	16.0	Carpinus betulus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	954.0	0.628930817610063
1732	Panajiotidis_a26	27.0	1732.0	Cistus monspeliensis	Cistus monspeliensis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	954.0	2.8301886792452833
1733	Panajiotidis_a26	12.0	1733.0	Cistus salvifolius	Cistus salvifolius	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	954.0	1.257861635220126
38	Panajiotidis_a26	119.0	38.0	Erica	Erica	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	954.0	12.473794549266247
192	Panajiotidis_a26	11.0	42.0	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	954.0	1.1530398322851152
49	Panajiotidis_a26	2.0	49.0	Genista	Genista-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	954.0	0.20964360587002098
1728	Panajiotidis_a26	1.0	203.0	Juniperus	Juniperus-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	954.0	0.10482180293501049
68	Panajiotidis_a26	32.0	68.0	Olea europaea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	954.0	3.3542976939203357
1734	Panajiotidis_a26	13.0	70.0	Ostrya carpinifolia/Carpinus orientalis	Ostrya/Carpinus orientalis	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	954.0	1.3626834381551363
1735	Panajiotidis_a26	19.0	74.0	Phillyrea latifolia	Phillyrea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	954.0	1.9916142557651992
75	Panajiotidis_a26	162.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	954.0	16.9811320754717
77	Panajiotidis_a26	42.0	77.0	Pistacia	Pistacia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	954.0	4.40251572327044
1729	Panajiotidis_a26	72.0	85.0	Quercus coccifera type	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	954.0	7.547169811320755
1730	Panajiotidis_a26	65.0	86.0	Quercus pubescens type	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	954.0	6.813417190775681
91	Panajiotidis_a26	3.0	91.0	Rhus coriaria	Rhus coriaria-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	954.0	0.3144654088050315
