var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
560	Panajiotidis_b10	20.0	321.0	Abies	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	3.6231884057971016
5	Panajiotidis_b10	3.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	0.5434782608695652
201	Panajiotidis_b10	1.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	0.18115942028985507
192	Panajiotidis_b10	22.0	42.0	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	3.985507246376811
190	Panajiotidis_b10	2.0	190.0	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	0.36231884057971014
57	Panajiotidis_b10	2.0	57.0	Juglans	Juglans	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	0.36231884057971014
1728	Panajiotidis_b10	2.0	203.0	Juniperus	Juniperus-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	0.36231884057971014
1734	Panajiotidis_b10	8.0	70.0	Ostrya carpinifolia/Carpinus orientalis	Ostrya/Carpinus orientalis	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	1.4492753623188406
75	Panajiotidis_b10	422.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	76.44927536231883
78	Panajiotidis_b10	1.0	78.0	Platanus	Platanus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	0.18115942028985507
1051	Panajiotidis_b10	1.0	84.0	Quercus cerris-type	Quercus cerris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	0.18115942028985507
1052	Panajiotidis_b10	13.0	85.0	Quercus ilex-type	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	2.355072463768116
1759	Panajiotidis_b10	6.0	86.0	Quercus pubescens-type	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	1.0869565217391304
141	Panajiotidis_b10	1.0	141.0	Rubus	Rubus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	0.18115942028985507
99	Panajiotidis_b10	1.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	0.18115942028985507
942	Panajiotidis_b10	24.0	942.0	Vaccinium-type	Vaccinium-type	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	552.0	4.3478260869565215
1777	Panajiotidis_b10	1.0	6.0	Conium-type	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.18115942028985507
1782	Panajiotidis_b10	1.0	10.0	Astragalus undiff.	Astragalus-type	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.18115942028985507
22	Panajiotidis_b10	1.0	22.0	Cerealia	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.18115942028985507
707	Panajiotidis_b10	1.0	24.0	Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.18115942028985507
1750	Panajiotidis_b10	1.0	1750.0	Juncaceae	Juncaceae	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.18115942028985507
1073	Panajiotidis_b10	1.0	65.0	Mentha-type	Mentha-type	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.18115942028985507
1784	Panajiotidis_b10	2.0	619.0	cf Onobrychis	Onobrychis	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.36231884057971014
80	Panajiotidis_b10	14.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	552.0	2.536231884057971
634	Panajiotidis_b10	1.0	95.0	Rumex acetosa-type	Rumex acetosa-type	HERB	Herbs	HERB	True	True	Herbs	5	552.0	0.18115942028985507
1791	Panajiotidis_b10	46.0	559.0	Lycopodium	Lycopodium (counted)	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	552.0	
1794	Panajiotidis_b10	12542.0	1293.0	concentration of Lycopodium	Lycopodium (spores/tablet)	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	552.0	
1793	Panajiotidis_b10	5.0	1295.0	quantity of Lycopodium added	Lycopodium tablets (number)	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	552.0	
1792	Panajiotidis_b10	20.0	1756.0	volume of sample	Quantity of sample	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	552.0	
