var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
5	Pardoe_a12	8.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	525.0	1.5238095238095237
12	Pardoe_a12	126.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	525.0	24.0
201	Pardoe_a12	15.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	525.0	2.857142857142857
739	Pardoe_a12	3.0	739.0	Empetrum	Empetrum nigrum	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	525.0	0.5714285714285714
58	Pardoe_a12	2.0	58.0	Juniperus	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	525.0	0.38095238095238093
126	Pardoe_a12	2.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	525.0	0.38095238095238093
75	Pardoe_a12	82.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	525.0	15.619047619047619
99	Pardoe_a12	206.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	525.0	39.23809523809524
3831	Pardoe_a12	39.0	3049.0	Oxyria/Rumex		HERB	Herbs	HERB	True	True	Herbs	5	525.0	7.428571428571429
136	Pardoe_a12	2.0	136.0	Campanulaceae	Campanulaceae	HERB	Herbs	HERB	True	True	Herbs	5	525.0	0.38095238095238093
24	Pardoe_a12	1.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	525.0	0.19047619047619047
744	Pardoe_a12	1.0	744.0	Leguminosae	Leguminosae	HERB	Herbs	HERB	True	True	Herbs	5	525.0	0.19047619047619047
1601	Pardoe_a12	21.0	80.0	Gramineae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	525.0	4.0
135	Pardoe_a12	2.0	135.0	Ranunculaceae	Ranunculaceae	HERB	Herbs	HERB	True	True	Herbs	5	525.0	0.38095238095238093
112	Pardoe_a12	2.0	112.0	Thalictrum	Thalictrum	HERB	Herbs	HERB	True	True	Herbs	5	525.0	0.38095238095238093
1544	Pardoe_a12	11.0	146.0	Filicales	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	525.0	2.0952380952380953
4229	Pardoe_a12	2.0	4228.0	Sphagnum	Sphagnum	BRYO	Bryophytes	VACR	True	True	Ferns	6	525.0	0.38095238095238093
3443	Pardoe_a12	9.0	3075.0	Cyperaceae		AQUA	Aquatics	AQUA	False	True	Aquatics	7	525.0	1.7142857142857144
