var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
560	Pidek_a7	16.0	321.0	Abies	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1160.0	1.3793103448275863
5	Pidek_a7	53.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1160.0	4.568965517241379
12	Pidek_a7	265.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1160.0	22.844827586206897
3213	Pidek_a7	3.0	3212.0	Calluna vulgaris	Calluna vulgaris	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	1160.0	0.25862068965517243
16	Pidek_a7	41.0	16.0	Carpinus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1160.0	3.53448275862069
201	Pidek_a7	12.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1160.0	1.0344827586206897
192	Pidek_a7	8.0	42.0	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1160.0	0.6896551724137931
126	Pidek_a7	6.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1160.0	0.5172413793103449
75	Pidek_a7	392.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1160.0	33.793103448275865
189	Pidek_a7	8.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1160.0	0.6896551724137931
187	Pidek_a7	3.0	187.0	Tilia	Tilia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1160.0	0.25862068965517243
942	Pidek_a7	1.0	942.0	Vaccinium-type	Vaccinium-type	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	1160.0	0.08620689655172414
3244	Pidek_a7	1.0	3049.0	Caryophyllaceae undifferentiated		HERB	Herbs	HERB	True	True	Herbs	5	1160.0	0.08620689655172414
4125	Pidek_a7	187.0	3049.0	Rumex undifferentiated		HERB	Herbs	HERB	True	True	Herbs	5	1160.0	16.120689655172413
6	Pidek_a7	7.0	6.0	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	1160.0	0.603448275862069
7	Pidek_a7	14.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	1160.0	1.206896551724138
597	Pidek_a7	3.0	11.0	Aster-type	Aster-type	HERB	Herbs	HERB	True	True	Herbs	5	1160.0	0.25862068965517243
13	Pidek_a7	4.0	13.0	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	1160.0	0.3448275862068966
821	Pidek_a7	1.0	462.0	Centaurea cyanus	Centaurea cyanus-type	HERB	Herbs	HERB	True	True	Herbs	5	1160.0	0.08620689655172414
3015	Pidek_a7	4.0	22.0	Cerealia undifferentiated	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	1160.0	0.3448275862068966
24	Pidek_a7	9.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	1160.0	0.7758620689655172
60	Pidek_a7	4.0	60.0	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	1160.0	0.3448275862068966
80	Pidek_a7	111.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	1160.0	9.568965517241379
1078	Pidek_a7	1.0	262.0	Polygonum aviculare-type	Polygonum aviculare-type	HERB	Herbs	HERB	True	True	Herbs	5	1160.0	0.08620689655172414
2431	Pidek_a7	1.0	133.0	Solidago-type	Senecio-type	HERB	Herbs	HERB	True	True	Herbs	5	1160.0	0.08620689655172414
652	Pidek_a7	4.0	652.0	Urtica	Urtica	HERB	Herbs	HERB	True	True	Herbs	5	1160.0	0.3448275862068966
1010	Pidek_a7	1.0	146.0	Filicales monolete	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	1160.0	0.08620689655172414
3535	Pidek_a7	1.0	3063.0	Fabaceae undifferentiated		INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	1160.0	
3658	Pidek_a7	2.0	177.0	Indeterminable: unknown	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	1160.0	
