var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
195	Remazani_a9	17.0	2.0	Acer campestre type	Acer campestre-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	885.0	1.92090395480226
5	Remazani_a9	172.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	885.0	19.43502824858757
188	Remazani_a9	1.0	188.0	Buxus	Buxus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	885.0	0.11299435028248588
186	Remazani_a9	178.0	16.0	Carpinus type	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	885.0	20.112994350282488
192	Remazani_a9	389.0	42.0	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	885.0	43.954802259887
282	Remazani_a9	2.0	42.0	Fagus clumps of two	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	885.0	0.22598870056497175
283	Remazani_a9	1.0	42.0	Fagus clumps	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	885.0	0.11299435028248588
194	Remazani_a9	1.0	194.0	Juglans regia type	Juglans regia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	885.0	0.11299435028248588
203	Remazani_a9	1.0	203.0	Juniperus type	Juniperus-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	885.0	0.11299435028248588
75	Remazani_a9	1.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	885.0	0.11299435028248588
191	Remazani_a9	1.0	191.0	Pterocarya fraxinifolia type	Pterocarya	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	885.0	0.11299435028248588
189	Remazani_a9	5.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	885.0	0.5649717514124294
187	Remazani_a9	2.0	187.0	Tilia	Tilia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	885.0	0.22598870056497175
154	Remazani_a9	7.0	154.0	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	885.0	0.7909604519774011
200	Remazani_a9	1.0	154.0	Zelkova	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	885.0	0.11299435028248588
273	Remazani_a9	1.0	6.0	Umbelliferae  undiff. type	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	885.0	0.11299435028248588
7	Remazani_a9	4.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	885.0	0.4519774011299435
11	Remazani_a9	2.0	11.0	Aster type	Aster-type	HERB	Herbs	HERB	True	True	Herbs	5	885.0	0.22598870056497175
266	Remazani_a9	1.0	25.0	Lactuceae undiff.  type	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	885.0	0.11299435028248588
212	Remazani_a9	12.0	24.0	Chenopodiaceae and Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	885.0	1.3559322033898304
221	Remazani_a9	2.0	60.0	Plantago lanceolata type	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	885.0	0.22598870056497175
249	Remazani_a9	1.0	80.0	Wild grass group	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	885.0	0.11299435028248588
233	Remazani_a9	2.0	233.0	Sambucus ebulus	Sambucus ebulus	HERB	Herbs	HERB	True	True	Herbs	5	885.0	0.22598870056497175
224	Remazani_a9	1.0	224.0	Veronica type	Veronica-type	HERB	Herbs	HERB	True	True	Herbs	5	885.0	0.11299435028248588
215	Remazani_a9	17.0	215.0	Athyrium filix-femina	Athyrium filix-femina	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	885.0	1.92090395480226
220	Remazani_a9	10.0	220.0	Dryopteris filix-mas type	Dryopteris filix-mas-type	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	885.0	1.1299435028248588
218	Remazani_a9	8.0	218.0	Matteuccia	Matteuccia struthiopteris	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	885.0	0.903954802259887
275	Remazani_a9	42.0	146.0	Monolete spore without perine	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	885.0	4.745762711864407
213	Remazani_a9	3.0	213.0	Polystichum type	Polystichum-type	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	885.0	0.3389830508474576
301	Remazani_a9	154.0	177.0	Ideterminable grains	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	885.0	
307	Remazani_a9	3.0	307.0	Type 503	Type 503	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	885.0	
311	Remazani_a9	1.0	311.0	Type 8 undiff.	Type 8 undiff.	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	885.0	
309	Remazani_a9	2.0	309.0	Arcella discoides C	Arcella discoides	RHIZ	Rhizopods	NOPO	False	False	Nonpollen	30	885.0	
312	Remazani_a9	118.0	312.0	Monodictys E	Monodictys	FUNG	Fungi	NOPO	False	False	Nonpollen	30	885.0	
320	Remazani_a9	20.0	320.0	Multi-septate fungal remain	Multi-septate fungal remain	FUNG	Fungi	NOPO	False	False	Nonpollen	30	885.0	
306	Remazani_a9	44.0	306.0	Type 44: Ustulina deusta	Ustulina deusta	FUNG	Fungi	NOPO	False	False	Nonpollen	30	885.0	
