var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
759	Roesch_a1	166.0	321.0	Abies alba	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	3.3657745336577456
2	Roesch_a1	6.0	2.0	Acer	Acer campestre-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	0.12165450121654502
1104	Roesch_a1	209.0	155.0	Alnus glutinosa T	Alnus glutinosa-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	4.237631792376318
12	Roesch_a1	392.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	7.948094079480941
457	Roesch_a1	50.0	457.0	Calluna vulgaris	Calluna vulgaris	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	1.013787510137875
563	Roesch_a1	55.0	16.0	Carpinus betulus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	1.1151662611516626
19	Roesch_a1	22.0	19.0	Castanea sativa	Castanea sativa	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	0.4460665044606651
31	Roesch_a1	183.0	31.0	Corylus avellana	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	3.7104622871046233
42	Roesch_a1	267.0	42.0	Fagus sylvatica	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	5.413625304136254
47	Roesch_a1	33.0	47.0	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	0.6690997566909975
1141	Roesch_a1	1.0	479.0	Hippophaë rhamnoides	Hippophae rhamnoides	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	0.020275750202757504
55	Roesch_a1	1.0	55.0	Ilex aquifolium	Ilex	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	0.020275750202757504
1148	Roesch_a1	10.0	194.0	Juglans regia	Juglans regia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	0.202757502027575
941	Roesch_a1	1.0	58.0	Juniperus communis	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	0.020275750202757504
1150	Roesch_a1	5.0	123.0	Larix  decidua T	Larix/Pseudotsuga	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	0.1013787510137875
68	Roesch_a1	3.0	68.0	Olea europaea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	0.06082725060827251
783	Roesch_a1	654.0	783.0	Picea abies	Picea abies-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	13.260340632603407
1167	Roesch_a1	820.0	125.0	Pinus sylvestris T	Pinus sylvestris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	16.62611516626115
81	Roesch_a1	6.0	81.0	Populus	Populus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	0.12165450121654502
189	Roesch_a1	180.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	3.64963503649635
99	Roesch_a1	58.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	1.1759935117599352
1187	Roesch_a1	4.0	100.0	Sambucus nigra/racemosa	Sambucus nigra	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	0.08110300081103002
1195	Roesch_a1	3.0	107.0	Sorbus T	Sorbus-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	0.06082725060827251
111	Roesch_a1	1.0	111.0	Taxus baccata	Taxus baccata	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	0.020275750202757504
187	Roesch_a1	5.0	187.0	Tilia	Tilia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	0.1013787510137875
154	Roesch_a1	9.0	154.0	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	0.18248175182481752
1204	Roesch_a1	25.0	942.0	Vaccinium T	Vaccinium-type	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	0.5068937550689375
1209	Roesch_a1	1.0	1209.0	Viburnum opulus/tinus	Viburnum opulus/V. tinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	0.020275750202757504
122	Roesch_a1	3.0	122.0	Vitis	Vitis	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	4932.0	0.06082725060827251
1102	Roesch_a1	1.0	1102.0	Alchemilla G	Alchemilla/Aphanes	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.020275750202757504
1107	Roesch_a1	1.0	6.0	Apiaceae undiff.	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.020275750202757504
7	Roesch_a1	6.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.12165450121654502
1137	Roesch_a1	1.0	11.0	Eupatorium cannabinum T	Aster-type	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.020275750202757504
1126	Roesch_a1	3.0	25.0	Cichoriaceae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.06082725060827251
1113	Roesch_a1	15.0	13.0	Brassicaeae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.30413625304136255
1118	Roesch_a1	1.0	1118.0	Carum carvi	Carum carvi	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.020275750202757504
1122	Roesch_a1	1.0	21.0	Cerastium fontanum T	Cerastium-type	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.020275750202757504
1123	Roesch_a1	4.0	22.0	Cerealia T	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.08110300081103002
24	Roesch_a1	8.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.16220600162206003
1130	Roesch_a1	60.0	33.0	Cyperaceae undiff	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	1.2165450121654502
604	Roesch_a1	1.0	242.0	Echium	Echium	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.020275750202757504
45	Roesch_a1	6.0	45.0	Filipendula	Filipendula	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.12165450121654502
1139	Roesch_a1	1.0	649.0	Geum T	Geum-type	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.020275750202757504
1140	Roesch_a1	1.0	1140.0	Heracleum sphondyleum	Heracleum sphondylium	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.020275750202757504
1143	Roesch_a1	2.0	258.0	Hordeum T	Hordeum-type	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.04055150040551501
1144	Roesch_a1	5.0	205.0	Humulus/Cannabis	Humulus/Cannabis	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.1013787510137875
1099	Roesch_a1	1.0	3.0	Achillea T	Matricaria-type	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.020275750202757504
473	Roesch_a1	3.0	473.0	Melampyrum	Melampyrum	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.06082725060827251
1166	Roesch_a1	1.0	595.0	Pimpinella major T	Pimpinella major-type	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.020275750202757504
60	Roesch_a1	25.0	60.0	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.5068937550689375
1168	Roesch_a1	1.0	79.0	Plantago maior	Plantago major	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.020275750202757504
1169	Roesch_a1	4.0	698.0	Plantago media	Plantago media	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.08110300081103002
1170	Roesch_a1	645.0	80.0	Poaceae undiff	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	13.077858880778589
625	Roesch_a1	1.0	625.0	Polygonum bistorta	Polygonum bistorta	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.020275750202757504
1176	Roesch_a1	2.0	512.0	Potentilla T	Potentilla-type	HERB	Herbs	HERB	True	True	Herbs	5	4932.0	0.04055150040551501
