var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
1448	Ryabogina_a39	103.0	12.0	Betula or Bet.s.Albae	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	248.0	41.53225806451613
1452	Ryabogina_a39	104.0	125.0	Pin._sylv.	Pinus sylvestris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	248.0	41.935483870967744
6	Ryabogina_a39	1.0	6.0	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	248.0	0.4032258064516129
7	Ryabogina_a39	12.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	248.0	4.838709677419355
1461	Ryabogina_a39	1.0	13.0	Brass-eae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	248.0	0.4032258064516129
1467	Ryabogina_a39	7.0	24.0	Chen-eae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	248.0	2.82258064516129
1476	Ryabogina_a39	2.0	1476.0	Gal._ul-um	Galium uliginosum	HERB	Herbs	HERB	True	True	Herbs	5	248.0	0.8064516129032258
80	Ryabogina_a39	7.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	248.0	2.82258064516129
147	Ryabogina_a39	10.0	147.0	Bryales	Bryophyte spores	BRYO	Bryophytes	VACR	True	True	Ferns	6	248.0	4.032258064516129
1557	Ryabogina_a39	1.0	146.0	Polyp-eae	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	248.0	0.4032258064516129
1531	Ryabogina_a39	8.0	177.0	Undefined 3-col.	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	248.0	
1532	Ryabogina_a39	2.0	177.0	Undefined 3-col._3-por.	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	248.0	
1570	Ryabogina_a39	25.0	177.0	Sp	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	248.0	
144	Ryabogina_a39	14.0	144.0	Sphagnum	Sphagnum	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	248.0	
