var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
4139	Seppa_b53	5.0	3044.0	Salix undifferentiated		TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	459.0	1.0893246187363834
5	Seppa_b53	26.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	459.0	5.664488017429194
12	Seppa_b53	128.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	459.0	27.886710239651418
3183	Seppa_b53	1.0	3183.0	Betula/Corylus/Myrica	Betula/Corylus/Myrica	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	459.0	0.2178649237472767
31	Seppa_b53	1.0	31.0	Corylus avellana	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	459.0	0.2178649237472767
47	Seppa_b53	1.0	47.0	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	459.0	0.2178649237472767
941	Seppa_b53	6.0	58.0	Juniperus communis	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	459.0	1.3071895424836601
126	Seppa_b53	51.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	459.0	11.11111111111111
788	Seppa_b53	201.0	125.0	Pinus sylvestris	Pinus sylvestris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	459.0	43.790849673202615
3598	Seppa_b53	27.0	3049.0	Gramineae undifferentiated		HERB	Herbs	HERB	True	True	Herbs	5	459.0	5.88235294117647
3165	Seppa_b53	1.0	818.0	Avena/Triticum-type	Avena/Triticum-type	HERB	Herbs	HERB	True	True	Herbs	5	459.0	0.2178649237472767
3015	Seppa_b53	2.0	22.0	Cerealia undifferentiated	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	459.0	0.4357298474945534
45	Seppa_b53	1.0	45.0	Filipendula	Filipendula	HERB	Herbs	HERB	True	True	Herbs	5	459.0	0.2178649237472767
1398	Seppa_b53	1.0	96.0	Rumex acetosella-type	Rumex acetosella	HERB	Herbs	HERB	True	True	Herbs	5	459.0	0.2178649237472767
652	Seppa_b53	4.0	652.0	Urtica	Urtica	HERB	Herbs	HERB	True	True	Herbs	5	459.0	0.8714596949891068
1247	Seppa_b53	2.0	772.0	Dryopteris-type	Dryopteris-type	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	459.0	0.4357298474945534
2121	Seppa_b53	1.0	1320.0	Gymnocarpium dryopteris	Gymnocarpium dryopteris	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	459.0	0.2178649237472767
3234	Seppa_b53	3.0	3075.0	Carex-type		AQUA	Aquatics	AQUA	False	True	Aquatics	7	459.0	0.6535947712418301
3448	Seppa_b53	3.0	3075.0	Cyperaceae undifferentiated		AQUA	Aquatics	AQUA	False	True	Aquatics	7	459.0	0.6535947712418301
4131	Seppa_b53	1.0	3075.0	Sagittaria		AQUA	Aquatics	AQUA	False	True	Aquatics	7	459.0	0.2178649237472767
