var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
5	Seppa_f1	55.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	548.0	10.036496350364963
12	Seppa_f1	124.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	548.0	22.62773722627737
3212	Seppa_f1	2.0	3212.0	Calluna	Calluna vulgaris	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	548.0	0.36496350364963503
16	Seppa_f1	1.0	16.0	Carpinus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	548.0	0.18248175182481752
201	Seppa_f1	14.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	548.0	2.5547445255474455
567	Seppa_f1	1.0	468.0	Frangula alnus	Frangula alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	548.0	0.18248175182481752
58	Seppa_f1	2.0	58.0	Juniperus	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	548.0	0.36496350364963503
126	Seppa_f1	46.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	548.0	8.394160583941606
75	Seppa_f1	260.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	548.0	47.44525547445255
189	Seppa_f1	5.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	548.0	0.9124087591240875
99	Seppa_f1	1.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	548.0	0.18248175182481752
187	Seppa_f1	1.0	187.0	Tilia	Tilia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	548.0	0.18248175182481752
154	Seppa_f1	1.0	154.0	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	548.0	0.18248175182481752
2531	Seppa_f1	1.0	540.0	Vaccinium myrtillus	Vaccinium	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	548.0	0.18248175182481752
7	Seppa_f1	3.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	548.0	0.5474452554744526
597	Seppa_f1	1.0	11.0	Aster-type	Aster-type	HERB	Herbs	HERB	True	True	Herbs	5	548.0	0.18248175182481752
1065	Seppa_f1	6.0	22.0	Cerealia-type	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	548.0	1.094890510948905
24	Seppa_f1	1.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	548.0	0.18248175182481752
868	Seppa_f1	2.0	868.0	Chrysosplenium	Chrysosplenium	HERB	Herbs	HERB	True	True	Herbs	5	548.0	0.36496350364963503
45	Seppa_f1	4.0	45.0	Filipendula	Filipendula	HERB	Herbs	HERB	True	True	Herbs	5	548.0	0.7299270072992701
1573	Seppa_f1	1.0	828.0	Humulus	Humulus lupulus	HERB	Herbs	HERB	True	True	Herbs	5	548.0	0.18248175182481752
2521	Seppa_f1	1.0	2521.0	Lychnis flos-cuculi	Lychnis flos-cuculi	HERB	Herbs	HERB	True	True	Herbs	5	548.0	0.18248175182481752
589	Seppa_f1	1.0	3.0	Anthemis-type	Matricaria-type	HERB	Herbs	HERB	True	True	Herbs	5	548.0	0.18248175182481752
60	Seppa_f1	1.0	60.0	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	548.0	0.18248175182481752
80	Seppa_f1	6.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	548.0	1.094890510948905
652	Seppa_f1	2.0	652.0	Urtica	Urtica	HERB	Herbs	HERB	True	True	Herbs	5	548.0	0.36496350364963503
2600	Seppa_f1	1.0	1537.0	Cystopteris fragilis	Cystopteris fragilis	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	548.0	0.18248175182481752
146	Seppa_f1	4.0	146.0	Polypodiaceae	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	548.0	0.7299270072992701
3232	Seppa_f1	1.0	3075.0	Carex		AQUA	Aquatics	AQUA	False	True	Aquatics	7	548.0	0.18248175182481752
