var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
2	Seppa_m1	1.0	2.0	Acer	Acer campestre-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	547.0	0.18281535648994515
5	Seppa_m1	67.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	547.0	12.248628884826324
12	Seppa_m1	88.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	547.0	16.087751371115175
16	Seppa_m1	5.0	16.0	Carpinus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	547.0	0.9140767824497258
201	Seppa_m1	8.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	547.0	1.4625228519195612
567	Seppa_m1	1.0	468.0	Frangula alnus	Frangula alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	547.0	0.18281535648994515
190	Seppa_m1	1.0	190.0	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	547.0	0.18281535648994515
58	Seppa_m1	3.0	58.0	Juniperus	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	547.0	0.5484460694698354
126	Seppa_m1	22.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	547.0	4.021937842778794
75	Seppa_m1	243.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	547.0	44.424131627056674
189	Seppa_m1	13.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	547.0	2.376599634369287
99	Seppa_m1	4.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	547.0	0.7312614259597806
187	Seppa_m1	6.0	187.0	Tilia	Tilia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	547.0	1.0968921389396709
154	Seppa_m1	1.0	154.0	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	547.0	0.18281535648994515
7	Seppa_m1	7.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	547.0	1.2797074954296161
597	Seppa_m1	2.0	11.0	Aster-type	Aster-type	HERB	Herbs	HERB	True	True	Herbs	5	547.0	0.3656307129798903
1065	Seppa_m1	15.0	22.0	Cerealia-type	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	547.0	2.742230347349177
3358	Seppa_m1	5.0	24.0	Chenopodium	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	547.0	0.9140767824497258
45	Seppa_m1	6.0	45.0	Filipendula	Filipendula	HERB	Herbs	HERB	True	True	Herbs	5	547.0	1.0968921389396709
60	Seppa_m1	2.0	60.0	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	547.0	0.3656307129798903
79	Seppa_m1	1.0	79.0	Plantago major	Plantago major	HERB	Herbs	HERB	True	True	Herbs	5	547.0	0.18281535648994515
80	Seppa_m1	40.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	547.0	7.312614259597806
629	Seppa_m1	3.0	274.0	Ranunculus	Ranunculus-type	HERB	Herbs	HERB	True	True	Herbs	5	547.0	0.5484460694698354
727	Seppa_m1	2.0	94.0	Rumex	Rumex/Oxyria	HERB	Herbs	HERB	True	True	Herbs	5	547.0	0.3656307129798903
146	Seppa_m1	1.0	146.0	Polypodiaceae	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	547.0	0.18281535648994515
3076	Seppa_m1	1.0	3075.0	Alisma plantago-aquatica		AQUA	Aquatics	AQUA	False	True	Aquatics	7	547.0	0.18281535648994515
3232	Seppa_m1	1.0	3075.0	Carex		AQUA	Aquatics	AQUA	False	True	Aquatics	7	547.0	0.18281535648994515
657	Seppa_m1	1.0	108.0	Potamogeton	Potamogeton-type	AQUA	Aquatics	AQUA	False	True	Aquatics	7	547.0	0.18281535648994515
