var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
4139	Seppa_v7	1.0	3044.0	Salix undifferentiated		TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	560.0	0.17857142857142858
5	Seppa_v7	67.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	560.0	11.964285714285715
12	Seppa_v7	172.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	560.0	30.714285714285715
563	Seppa_v7	1.0	16.0	Carpinus betulus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	560.0	0.17857142857142858
31	Seppa_v7	6.0	31.0	Corylus avellana	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	560.0	1.0714285714285714
3518	Seppa_v7	1.0	130.0	Ericaceae-type	Ericales (tetrad)	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	560.0	0.17857142857142858
941	Seppa_v7	4.0	58.0	Juniperus communis	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	560.0	0.7142857142857143
126	Seppa_v7	19.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	560.0	3.392857142857143
788	Seppa_v7	222.0	125.0	Pinus sylvestris	Pinus sylvestris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	560.0	39.64285714285714
189	Seppa_v7	7.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	560.0	1.25
1406	Seppa_v7	2.0	153.0	Tilia cordata	Tilia cordata-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	560.0	0.35714285714285715
154	Seppa_v7	6.0	154.0	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	560.0	1.0714285714285714
3598	Seppa_v7	23.0	3049.0	Gramineae undifferentiated		HERB	Herbs	HERB	True	True	Herbs	5	560.0	4.107142857142857
7	Seppa_v7	8.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	560.0	1.4285714285714286
821	Seppa_v7	1.0	462.0	Centaurea cyanus	Centaurea cyanus-type	HERB	Herbs	HERB	True	True	Herbs	5	560.0	0.17857142857142858
3015	Seppa_v7	3.0	22.0	Cerealia undifferentiated	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	560.0	0.5357142857142857
24	Seppa_v7	1.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	560.0	0.17857142857142858
943	Seppa_v7	1.0	3.0	Achillea-type	Matricaria-type	HERB	Herbs	HERB	True	True	Herbs	5	560.0	0.17857142857142858
3919	Seppa_v7	1.0	458.0	Plantago major/P. media	Plantago major/P. media-type	HERB	Herbs	HERB	True	True	Herbs	5	560.0	0.17857142857142858
4098	Seppa_v7	1.0	3140.0	Rubiaceae	Rubiaceae	HERB	Herbs	HERB	True	True	Herbs	5	560.0	0.17857142857142858
95	Seppa_v7	1.0	95.0	Rumex acetosa	Rumex acetosa-type	HERB	Herbs	HERB	True	True	Herbs	5	560.0	0.17857142857142858
4111	Seppa_v7	7.0	95.0	Rumex acetosa/R. acetosella-type	Rumex acetosa-type	HERB	Herbs	HERB	True	True	Herbs	5	560.0	1.25
1398	Seppa_v7	3.0	96.0	Rumex acetosella-type	Rumex acetosella	HERB	Herbs	HERB	True	True	Herbs	5	560.0	0.5357142857142857
256	Seppa_v7	1.0	256.0	Secale cereale	Secale cereale	HERB	Herbs	HERB	True	True	Herbs	5	560.0	0.17857142857142858
1714	Seppa_v7	1.0	1549.0	Lycopodium clavatum	Lycopodium clavatum	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	560.0	0.17857142857142858
3234	Seppa_v7	6.0	3075.0	Carex-type		AQUA	Aquatics	AQUA	False	True	Aquatics	7	560.0	1.0714285714285714
4325	Seppa_v7	1.0	3075.0	Typha latifolia		AQUA	Aquatics	AQUA	False	True	Aquatics	7	560.0	0.17857142857142858
1590	Seppa_v7	12.0	1590.0	Isoetes lacustris	Isoetes lacustris	AQPT	Aquatic Pteridophyta	AQUA	False	True	Aquatics	7	560.0	2.142857142857143
3325	Seppa_v7	1.0	3063.0	cf. Sorbus aucuparia		INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	560.0	
