var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
5	Stivrins_a4	39.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	681.0	5.726872246696035
12	Stivrins_a4	102.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	681.0	14.977973568281937
16	Stivrins_a4	3.0	16.0	Carpinus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	681.0	0.4405286343612335
201	Stivrins_a4	21.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	681.0	3.0837004405286343
190	Stivrins_a4	35.0	190.0	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	681.0	5.139500734214391
126	Stivrins_a4	15.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	681.0	2.2026431718061676
75	Stivrins_a4	63.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	681.0	9.251101321585903
189	Stivrins_a4	11.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	681.0	1.6152716593245229
99	Stivrins_a4	26.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	681.0	3.81791483113069
154	Stivrins_a4	3.0	154.0	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	681.0	0.4405286343612335
120	Stivrins_a4	1.0	120.0	Viburnum	Viburnum	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	681.0	0.14684287812041116
6	Stivrins_a4	5.0	6.0	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	681.0	0.7342143906020557
7	Stivrins_a4	10.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	681.0	1.4684287812041115
134	Stivrins_a4	4.0	134.0	Asteraceae	Asteraceae	HERB	Herbs	HERB	True	True	Herbs	5	681.0	0.5873715124816447
13	Stivrins_a4	2.0	13.0	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	681.0	0.2936857562408223
764	Stivrins_a4	5.0	764.0	Cannabis	Cannabis sativa	HERB	Herbs	HERB	True	True	Herbs	5	681.0	0.7342143906020557
821	Stivrins_a4	5.0	462.0	Centaurea cyanus	Centaurea cyanus-type	HERB	Herbs	HERB	True	True	Herbs	5	681.0	0.7342143906020557
24	Stivrins_a4	7.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	681.0	1.0279001468428781
33	Stivrins_a4	40.0	33.0	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	681.0	5.873715124816446
45	Stivrins_a4	8.0	45.0	Filipendula	Filipendula	HERB	Herbs	HERB	True	True	Herbs	5	681.0	1.1747430249632893
1572	Stivrins_a4	4.0	258.0	Hordeum	Hordeum-type	HERB	Herbs	HERB	True	True	Herbs	5	681.0	0.5873715124816447
1573	Stivrins_a4	22.0	828.0	Humulus	Humulus lupulus	HERB	Herbs	HERB	True	True	Herbs	5	681.0	3.2305433186490458
1577	Stivrins_a4	1.0	231.0	Polygonum Persicaria	Persicaria maculosa-type	HERB	Herbs	HERB	True	True	Herbs	5	681.0	0.14684287812041116
