var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
560	Stojakowits_a5	12.0	321.0	Abies	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1322.0	0.9077155824508321
5	Stojakowits_a5	83.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1322.0	6.278366111951589
12	Stojakowits_a5	93.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1322.0	7.034795763993948
457	Stojakowits_a5	11.0	457.0	Calluna vulgaris	Calluna vulgaris	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1322.0	0.8320726172465961
16	Stojakowits_a5	9.0	16.0	Carpinus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1322.0	0.680786686838124
201	Stojakowits_a5	43.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1322.0	3.252647503782148
192	Stojakowits_a5	121.0	42.0	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1322.0	9.152798789712557
190	Stojakowits_a5	19.0	190.0	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1322.0	1.4372163388804842
126	Stojakowits_a5	407.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1322.0	30.786686838124055
75	Stojakowits_a5	289.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1322.0	21.860816944024204
189	Stojakowits_a5	33.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1322.0	2.496217851739788
99	Stojakowits_a5	2.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1322.0	0.15128593040847202
154	Stojakowits_a5	2.0	154.0	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1322.0	0.15128593040847202
1695	Stojakowits_a5	23.0	942.0	Vaccinium-Typ	Vaccinium-type	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	1322.0	1.739788199697428
120	Stojakowits_a5	1.0	120.0	Viburnum	Viburnum	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1322.0	0.07564296520423601
6	Stojakowits_a5	2.0	6.0	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	1322.0	0.15128593040847202
7	Stojakowits_a5	2.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	1322.0	0.15128593040847202
447	Stojakowits_a5	2.0	25.0	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	1322.0	0.15128593040847202
13	Stojakowits_a5	1.0	13.0	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	1322.0	0.07564296520423601
136	Stojakowits_a5	1.0	136.0	Campanulaceae	Campanulaceae	HERB	Herbs	HERB	True	True	Herbs	5	1322.0	0.07564296520423601
24	Stojakowits_a5	1.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	1322.0	0.07564296520423601
33	Stojakowits_a5	18.0	33.0	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	1322.0	1.361573373676248
1692	Stojakowits_a5	1.0	3.0	Matricaria type	Matricaria-type	HERB	Herbs	HERB	True	True	Herbs	5	1322.0	0.07564296520423601
473	Stojakowits_a5	1.0	473.0	Melampyrum	Melampyrum	HERB	Herbs	HERB	True	True	Herbs	5	1322.0	0.07564296520423601
60	Stojakowits_a5	29.0	60.0	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	1322.0	2.1936459909228443
975	Stojakowits_a5	2.0	458.0	Plantago major/media	Plantago major/P. media-type	HERB	Herbs	HERB	True	True	Herbs	5	1322.0	0.15128593040847202
80	Stojakowits_a5	96.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	1322.0	7.2617246596066565
87	Stojakowits_a5	2.0	87.0	Ranunculus acris type	Ranunculus acris-type	HERB	Herbs	HERB	True	True	Herbs	5	1322.0	0.15128593040847202
1693	Stojakowits_a5	2.0	94.0	Rumex-Typ	Rumex/Oxyria	HERB	Herbs	HERB	True	True	Herbs	5	1322.0	0.15128593040847202
1694	Stojakowits_a5	3.0	133.0	Senecio type	Senecio-type	HERB	Herbs	HERB	True	True	Herbs	5	1322.0	0.22692889561270801
809	Stojakowits_a5	6.0	809.0	Urticaceae	Urticaceae	HERB	Herbs	HERB	True	True	Herbs	5	1322.0	0.45385779122541603
146	Stojakowits_a5	4.0	146.0	Polypodiaceae	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	1322.0	0.30257186081694404
431	Stojakowits_a5	1.0	180.0	Pteridium	Pteridium aquilinum	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	1322.0	0.07564296520423601
144	Stojakowits_a5	1.0	144.0	Sphagnum	Sphagnum	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	1322.0	
