var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
5	Svobodova_a11	14.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	310.0	4.516129032258064
12	Svobodova_a11	22.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	310.0	7.096774193548387
16	Svobodova_a11	1.0	16.0	Carpinus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	310.0	0.3225806451612903
201	Svobodova_a11	1.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	310.0	0.3225806451612903
192	Svobodova_a11	7.0	42.0	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	310.0	2.258064516129032
190	Svobodova_a11	3.0	190.0	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	310.0	0.967741935483871
57	Svobodova_a11	1.0	57.0	Juglans	Juglans	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	310.0	0.3225806451612903
442	Svobodova_a11	1.0	68.0	Olea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	310.0	0.3225806451612903
126	Svobodova_a11	44.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	310.0	14.193548387096774
75	Svobodova_a11	132.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	310.0	42.58064516129032
189	Svobodova_a11	9.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	310.0	2.903225806451613
540	Svobodova_a11	2.0	540.0	Vaccinium	Vaccinium	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	310.0	0.6451612903225806
2510	Svobodova_a11	1.0	25.0	C. Cichoriaceae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	310.0	0.3225806451612903
33	Svobodova_a11	17.0	33.0	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	310.0	5.483870967741936
30	Svobodova_a11	1.0	30.0	Plantago coronopus	Plantago coronopus-type	HERB	Herbs	HERB	True	True	Herbs	5	310.0	0.3225806451612903
60	Svobodova_a11	3.0	60.0	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	310.0	0.967741935483871
80	Svobodova_a11	38.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	310.0	12.258064516129032
135	Svobodova_a11	1.0	135.0	Ranunculaceae	Ranunculaceae	HERB	Herbs	HERB	True	True	Herbs	5	310.0	0.3225806451612903
727	Svobodova_a11	3.0	94.0	Rumex	Rumex/Oxyria	HERB	Herbs	HERB	True	True	Herbs	5	310.0	0.967741935483871
256	Svobodova_a11	1.0	256.0	Secale cereale	Secale cereale	HERB	Herbs	HERB	True	True	Herbs	5	310.0	0.3225806451612903
652	Svobodova_a11	8.0	652.0	Urtica	Urtica	HERB	Herbs	HERB	True	True	Herbs	5	310.0	2.5806451612903225
2522	Svobodova_a11	70.0	559.0	Lycopodiums counted	Lycopodium (counted)	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	310.0	
