var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
5	Svobodova_b7	20.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	267.0	7.490636704119851
12	Svobodova_b7	35.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	267.0	13.108614232209737
16	Svobodova_b7	2.0	16.0	Carpinus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	267.0	0.7490636704119851
201	Svobodova_b7	2.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	267.0	0.7490636704119851
192	Svobodova_b7	4.0	42.0	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	267.0	1.4981273408239701
190	Svobodova_b7	1.0	190.0	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	267.0	0.37453183520599254
57	Svobodova_b7	2.0	57.0	Juglans	Juglans	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	267.0	0.7490636704119851
2518	Svobodova_b7	4.0	2518.0	Larix	Larix/Pseudo	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	267.0	1.4981273408239701
126	Svobodova_b7	70.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	267.0	26.217228464419474
75	Svobodova_b7	67.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	267.0	25.0936329588015
189	Svobodova_b7	7.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	267.0	2.6217228464419478
99	Svobodova_b7	6.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	267.0	2.247191011235955
187	Svobodova_b7	1.0	187.0	Tilia	Tilia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	267.0	0.37453183520599254
2529	Svobodova_b7	1.0	6.0	Umbellifereae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	267.0	0.37453183520599254
7	Svobodova_b7	4.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	267.0	1.4981273408239701
33	Svobodova_b7	1.0	33.0	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	267.0	0.37453183520599254
2507	Svobodova_b7	1.0	3.0	Achillea	Matricaria-type	HERB	Herbs	HERB	True	True	Herbs	5	267.0	0.37453183520599254
80	Svobodova_b7	37.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	267.0	13.857677902621724
135	Svobodova_b7	1.0	135.0	Ranunculaceae	Ranunculaceae	HERB	Herbs	HERB	True	True	Herbs	5	267.0	0.37453183520599254
727	Svobodova_b7	1.0	94.0	Rumex	Rumex/Oxyria	HERB	Herbs	HERB	True	True	Herbs	5	267.0	0.37453183520599254
