var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
4092	Swieta_h1	1.0	3044.0	Rosaceae undifferentiated		TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1408.0	0.07102272727272728
5	Swieta_h1	152.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1408.0	10.795454545454545
1240	Swieta_h1	244.0	128.0	Betula alba-type	Betula pubescens-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1408.0	17.329545454545457
3213	Swieta_h1	16.0	3212.0	Calluna vulgaris	Calluna vulgaris	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	1408.0	1.1363636363636365
563	Swieta_h1	10.0	16.0	Carpinus betulus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1408.0	0.7102272727272727
31	Swieta_h1	81.0	31.0	Corylus avellana	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1408.0	5.752840909090909
42	Swieta_h1	27.0	42.0	Fagus sylvatica	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1408.0	1.9176136363636365
47	Swieta_h1	2.0	47.0	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1408.0	0.14204545454545456
941	Swieta_h1	6.0	58.0	Juniperus communis	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1408.0	0.4261363636363636
783	Swieta_h1	9.0	783.0	Picea abies	Picea abies-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1408.0	0.6392045454545455
788	Swieta_h1	352.0	125.0	Pinus sylvestris	Pinus sylvestris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1408.0	25.0
189	Swieta_h1	65.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1408.0	4.6164772727272725
99	Swieta_h1	6.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1408.0	0.4261363636363636
1232	Swieta_h1	3.0	107.0	Sorbus-type	Sorbus-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1408.0	0.2130681818181818
187	Swieta_h1	7.0	187.0	Tilia	Tilia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1408.0	0.4971590909090909
154	Swieta_h1	2.0	154.0	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1408.0	0.14204545454545456
3703	Swieta_h1	2.0	3049.0	Leguminosae undifferentiated		HERB	Herbs	HERB	True	True	Herbs	5	1408.0	0.14204545454545456
6	Swieta_h1	1.0	6.0	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	1408.0	0.07102272727272728
7	Swieta_h1	14.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	1408.0	0.9943181818181818
134	Swieta_h1	3.0	134.0	Asteraceae	Asteraceae	HERB	Herbs	HERB	True	True	Herbs	5	1408.0	0.2130681818181818
1215	Swieta_h1	2.0	1111.0	Avena-type	Avena-type	HERB	Herbs	HERB	True	True	Herbs	5	1408.0	0.14204545454545456
13	Swieta_h1	9.0	13.0	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	1408.0	0.6392045454545455
821	Swieta_h1	4.0	462.0	Centaurea cyanus	Centaurea cyanus-type	HERB	Herbs	HERB	True	True	Herbs	5	1408.0	0.2840909090909091
1065	Swieta_h1	2.0	22.0	Cerealia-type	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	1408.0	0.14204545454545456
24	Swieta_h1	8.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	1408.0	0.5681818181818182
1242	Swieta_h1	4.0	1242.0	Cichorium-type	Crepis-type	HERB	Herbs	HERB	True	True	Herbs	5	1408.0	0.2840909090909091
1249	Swieta_h1	1.0	1138.0	Fallopia convolvulus-type	Fallopia	HERB	Herbs	HERB	True	True	Herbs	5	1408.0	0.07102272727272728
949	Swieta_h1	5.0	258.0	Hordeum-type	Hordeum-type	HERB	Herbs	HERB	True	True	Herbs	5	1408.0	0.35511363636363635
3220	Swieta_h1	7.0	205.0	Cannabaceae	Humulus/Cannabis	HERB	Herbs	HERB	True	True	Herbs	5	1408.0	0.4971590909090909
1038	Swieta_h1	1.0	950.0	Lathyrus	Lathyrus-type	HERB	Herbs	HERB	True	True	Herbs	5	1408.0	0.07102272727272728
589	Swieta_h1	2.0	3.0	Anthemis-type	Matricaria-type	HERB	Herbs	HERB	True	True	Herbs	5	1408.0	0.14204545454545456
60	Swieta_h1	13.0	60.0	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	1408.0	0.9232954545454546
79	Swieta_h1	1.0	79.0	Plantago major	Plantago major	HERB	Herbs	HERB	True	True	Herbs	5	1408.0	0.07102272727272728
80	Swieta_h1	136.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	1408.0	9.659090909090908
626	Swieta_h1	1.0	512.0	Potentilla-type	Potentilla-type	HERB	Herbs	HERB	True	True	Herbs	5	1408.0	0.07102272727272728
