var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
3069	Swieta_i6	1.0	3069.0	Aesculus	Aesculus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2647.0	0.037778617302606725
5	Swieta_i6	23.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2647.0	0.8689081979599547
12	Swieta_i6	263.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2647.0	9.93577635058557
3212	Swieta_i6	1.0	3212.0	Calluna	Calluna vulgaris	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	2647.0	0.037778617302606725
201	Swieta_i6	11.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2647.0	0.415564790328674
192	Swieta_i6	26.0	42.0	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2647.0	0.9822440498677748
190	Swieta_i6	2.0	190.0	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2647.0	0.07555723460521345
58	Swieta_i6	1.0	58.0	Juniperus	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2647.0	0.037778617302606725
126	Swieta_i6	4.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2647.0	0.1511144692104269
75	Swieta_i6	548.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2647.0	20.702682281828487
81	Swieta_i6	2.0	81.0	Populus	Populus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2647.0	0.07555723460521345
189	Swieta_i6	119.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2647.0	4.495655459010201
99	Swieta_i6	2.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2647.0	0.07555723460521345
481	Swieta_i6	6.0	407.0	Sambucus	Sambucus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2647.0	0.22667170381564036
187	Swieta_i6	4.0	187.0	Tilia	Tilia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	2647.0	0.1511144692104269
586	Swieta_i6	7.0	586.0	Ambrosia	Ambrosia	HERB	Herbs	HERB	True	True	Herbs	5	2647.0	0.26445032111824707
588	Swieta_i6	163.0	588.0	Anemone	Anemone nemorosa-type	HERB	Herbs	HERB	True	True	Herbs	5	2647.0	6.157914620324896
7	Swieta_i6	60.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	2647.0	2.2667170381564032
597	Swieta_i6	2.0	11.0	Aster-type	Aster-type	HERB	Herbs	HERB	True	True	Herbs	5	2647.0	0.07555723460521345
1357	Swieta_i6	2.0	818.0	Triticum	Avena/Triticum-type	HERB	Herbs	HERB	True	True	Herbs	5	2647.0	0.07555723460521345
13	Swieta_i6	2.0	13.0	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	2647.0	0.07555723460521345
821	Swieta_i6	3.0	462.0	Centaurea cyanus	Centaurea cyanus-type	HERB	Herbs	HERB	True	True	Herbs	5	2647.0	0.11333585190782018
104	Swieta_i6	1.0	22.0	Secale	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	2647.0	0.037778617302606725
24	Swieta_i6	8.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	2647.0	0.3022289384208538
1572	Swieta_i6	4.0	258.0	Hordeum	Hordeum-type	HERB	Herbs	HERB	True	True	Herbs	5	2647.0	0.1511144692104269
589	Swieta_i6	2.0	3.0	Anthemis-type	Matricaria-type	HERB	Herbs	HERB	True	True	Herbs	5	2647.0	0.07555723460521345
473	Swieta_i6	1.0	473.0	Melampyrum	Melampyrum	HERB	Herbs	HERB	True	True	Herbs	5	2647.0	0.037778617302606725
73	Swieta_i6	1.0	73.0	Peucedanum	Peucedanum-type	HERB	Herbs	HERB	True	True	Herbs	5	2647.0	0.037778617302606725
60	Swieta_i6	12.0	60.0	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	2647.0	0.4533434076312807
1169	Swieta_i6	2.0	698.0	Plantago media	Plantago media	HERB	Herbs	HERB	True	True	Herbs	5	2647.0	0.07555723460521345
80	Swieta_i6	166.0	80.0	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	2647.0	6.271250472232716
954	Swieta_i6	4.0	87.0	Ranunculus acris	Ranunculus acris-type	HERB	Herbs	HERB	True	True	Herbs	5	2647.0	0.1511144692104269
95	Swieta_i6	9.0	95.0	Rumex acetosa	Rumex acetosa-type	HERB	Herbs	HERB	True	True	Herbs	5	2647.0	0.34000755572346053
96	Swieta_i6	18.0	96.0	Rumex acetosella	Rumex acetosella	HERB	Herbs	HERB	True	True	Herbs	5	2647.0	0.6800151114469211
652	Swieta_i6	16.0	652.0	Urtica	Urtica	HERB	Herbs	HERB	True	True	Herbs	5	2647.0	0.6044578768417076
1247	Swieta_i6	1067.0	772.0	Dryopteris-type	Dryopteris-type	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	2647.0	40.30978466188137
3778	Swieta_i6	69.0	146.0	Monolete fern spores	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	2647.0	2.6067245938798638
146	Swieta_i6	14.0	146.0	Polypodiaceae	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	2647.0	0.5289006422364941
4229	Swieta_i6	1.0	4228.0	Sphagnum	Sphagnum	BRYO	Bryophytes	VACR	True	True	Ferns	6	2647.0	0.037778617302606725
3443	Swieta_i6	10.0	3075.0	Cyperaceae		AQUA	Aquatics	AQUA	False	True	Aquatics	7	2647.0	0.37778617302606726
3815	Swieta_i6	3.0	3075.0	Oenanthe		AQUA	Aquatics	AQUA	False	True	Aquatics	7	2647.0	0.11333585190782018
4325	Swieta_i6	2.0	3075.0	Typha latifolia		AQUA	Aquatics	AQUA	False	True	Aquatics	7	2647.0	0.07555723460521345
