var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
5	Tantau_a9	10.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	317.0	3.1545741324921135
12	Tantau_a9	12.0	12.0	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	317.0	3.7854889589905363
563	Tantau_a9	19.0	16.0	Carpinus betulus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	317.0	5.993690851735016
31	Tantau_a9	14.0	31.0	Corylus avellana	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	317.0	4.416403785488959
42	Tantau_a9	8.0	42.0	Fagus sylvatica	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	317.0	2.5236593059936907
774	Tantau_a9	1.0	44.0	F. ornus	Fraxinus ornus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	317.0	0.31545741324921134
57	Tantau_a9	2.0	57.0	Juglans	Juglans	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	317.0	0.6309148264984227
783	Tantau_a9	3.0	783.0	Picea abies	Picea abies-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	317.0	0.9463722397476341
75	Tantau_a9	5.0	75.0	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	317.0	1.5772870662460567
189	Tantau_a9	29.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	317.0	9.14826498422713
99	Tantau_a9	4.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	317.0	1.2618296529968454
6	Tantau_a9	1.0	6.0	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	317.0	0.31545741324921134
7	Tantau_a9	3.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	317.0	0.9463722397476341
761	Tantau_a9	26.0	160.0	Asteroideae	Asteraceae subf. Asteroideae	HERB	Herbs	HERB	True	True	Herbs	5	317.0	8.201892744479496
770	Tantau_a9	1.0	25.0	Cichoroideae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	317.0	0.31545741324921134
162	Tantau_a9	1.0	162.0	Boraginaceae	Boraginaceae	HERB	Herbs	HERB	True	True	Herbs	5	317.0	0.31545741324921134
764	Tantau_a9	5.0	764.0	Cannabis	Cannabis sativa	HERB	Herbs	HERB	True	True	Herbs	5	317.0	1.5772870662460567
766	Tantau_a9	1.0	18.0	Caryophylaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	Herbs	HERB	True	True	Herbs	5	317.0	0.31545741324921134
757	Tantau_a9	1.0	267.0	Centaurea	Centaurea	HERB	Herbs	HERB	True	True	Herbs	5	317.0	0.31545741324921134
796	Tantau_a9	10.0	22.0	Poaceae>40	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	317.0	3.1545741324921135
769	Tantau_a9	1.0	24.0	Chenopodiaceae/Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	317.0	0.31545741324921134
163	Tantau_a9	1.0	163.0	Convolvulaceae	Convolvulaceae	HERB	Herbs	HERB	True	True	Herbs	5	317.0	0.31545741324921134
33	Tantau_a9	7.0	33.0	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	317.0	2.2082018927444795
41	Tantau_a9	4.0	41.0	Fabaceae	Fabaceae	HERB	Herbs	HERB	True	True	Herbs	5	317.0	1.2618296529968454
59	Tantau_a9	4.0	59.0	Lamiaceae	Lamiaceae	HERB	Herbs	HERB	True	True	Herbs	5	317.0	1.2618296529968454
798	Tantau_a9	3.0	231.0	Polygonum persicaria	Persicaria maculosa-type	HERB	Herbs	HERB	True	True	Herbs	5	317.0	0.9463722397476341
515	Tantau_a9	3.0	515.0	Phragmites	Phragmites australis-type	HERB	Herbs	HERB	True	True	Herbs	5	317.0	0.9463722397476341
60	Tantau_a9	20.0	60.0	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	317.0	6.309148264984227
