var_	samplename	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
2	Theuerkauf_a16	1.0	2.0	Acer	Acer campestre-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	739.0	0.13531799729364005
5	Theuerkauf_a16	133.0	5.0	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	739.0	17.997293640054128
2115	Theuerkauf_a16	90.0	128.0	Betula pubescens-type	Betula pubescens-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	739.0	12.178619756427606
3212	Theuerkauf_a16	1.0	3212.0	Calluna	Calluna vulgaris	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	739.0	0.13531799729364005
16	Theuerkauf_a16	6.0	16.0	Carpinus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	739.0	0.8119079837618403
201	Theuerkauf_a16	3.0	31.0	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	739.0	0.40595399188092013
192	Theuerkauf_a16	19.0	42.0	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	739.0	2.571041948579161
126	Theuerkauf_a16	2.0	126.0	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	739.0	0.2706359945872801
785	Theuerkauf_a16	322.0	125.0	Pinus diploxylon	Pinus sylvestris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	739.0	43.5723951285521
189	Theuerkauf_a16	41.0	189.0	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	739.0	5.548037889039242
99	Theuerkauf_a16	3.0	99.0	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	739.0	0.40595399188092013
187	Theuerkauf_a16	4.0	187.0	Tilia	Tilia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	739.0	0.5412719891745602
154	Theuerkauf_a16	1.0	154.0	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	739.0	0.13531799729364005
3641	Theuerkauf_a16	1.0	3049.0	Humulus lupulus/Cannabis		HERB	Herbs	HERB	True	True	Herbs	5	739.0	0.13531799729364005
590	Theuerkauf_a16	1.0	6.0	Umbelliferae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	739.0	0.13531799729364005
7	Theuerkauf_a16	4.0	7.0	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	739.0	0.5412719891745602
3164	Theuerkauf_a16	1.0	818.0	Avena/Triticum-group	Avena/Triticum-type	HERB	Herbs	HERB	True	True	Herbs	5	739.0	0.13531799729364005
104	Theuerkauf_a16	19.0	22.0	Secale	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	739.0	2.571041948579161
24	Theuerkauf_a16	3.0	24.0	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	739.0	0.40595399188092013
589	Theuerkauf_a16	1.0	3.0	Anthemis-type	Matricaria-type	HERB	Herbs	HERB	True	True	Herbs	5	739.0	0.13531799729364005
60	Theuerkauf_a16	6.0	60.0	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	739.0	0.8119079837618403
1601	Theuerkauf_a16	42.0	80.0	Gramineae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	739.0	5.683355886332882
630	Theuerkauf_a16	1.0	87.0	Ranunculus acris-type	Ranunculus acris-type	HERB	Herbs	HERB	True	True	Herbs	5	739.0	0.13531799729364005
3570	Theuerkauf_a16	1.0	3140.0	Galium	Rubiaceae	HERB	Herbs	HERB	True	True	Herbs	5	739.0	0.13531799729364005
634	Theuerkauf_a16	14.0	95.0	Rumex acetosa-type	Rumex acetosa-type	HERB	Herbs	HERB	True	True	Herbs	5	739.0	1.8944519621109608
4110	Theuerkauf_a16	14.0	95.0	Rumex acetosa/R. acetosella	Rumex acetosa-type	HERB	Herbs	HERB	True	True	Herbs	5	739.0	1.8944519621109608
3779	Theuerkauf_a16	3.0	3166.0	Monolete fern spores (psilate)		VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	739.0	0.40595399188092013
145	Theuerkauf_a16	2.0	145.0	Equisetum	Equisetum	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	739.0	0.2706359945872801
3443	Theuerkauf_a16	4.0	3075.0	Cyperaceae		AQUA	Aquatics	AQUA	False	True	Aquatics	7	739.0	0.5412719891745602
3658	Theuerkauf_a16	6.0	177.0	Indeterminable: unknown	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	739.0	
